Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.14_17.18.49",7.042794,43.618616,63,4G,LTE,-106,-14,1.0,10,-107,0,0,187,187,I,LOG START,,,,14augs
"
2022.08.14_17.18.50",7.042827,43.618626,63,4G,LTE,-106,-14,1.0,10,-107,0,0,187,187,I,,,,,14augs
"
2022.08.14_17.18.50",7.042827,43.618626,63,4G,LTE,-106,-14,1.0,10,-107,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.18.51",7.042827,43.618626,63,4G,LTE,-106,-14,1.0,9,-109,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.18.52",7.042827,43.618626,63,4G,LTE,-106,-14,1.0,9,-109,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.18.53",7.042827,43.618626,63,4G,LTE,-106,-7,1.0,15,-107,3,21,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.18.54",7.042827,43.618626,63,4G,LTE,-106,-7,1.0,15,-107,200,135,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.18.55",7.042827,43.618626,63,4G,LTE,-106,-12,2.0,8,-107,253,116,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.18.56",7.042827,43.618626,63,4G,LTE,-106,-12,2.0,8,-105,226,155,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.18.57",7.042827,43.618626,63,4G,LTE,-104,-6,1.0,14,-105,260,364,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.18.58",7.042827,43.618626,63,4G,LTE,-104,-6,1.0,14,-105,19,1,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.18.59",7.042642,43.618618,63,4G,LTE,-104,-6,1.0,14,-105,19,1,187,187,D,,,,,14augs
"
2022.08.14_17.18.59",7.042642,43.618618,63,4G,LTE,-104,-6,1.0,14,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.00",7.042642,43.618618,63,4G,LTE,-104,-6,1.0,14,-105,72,23,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.01",7.042642,43.618618,63,4G,LTE,-105,-11,1.0,15,-105,15,3,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.02",7.042642,43.618618,63,4G,LTE,-105,-11,1.0,15,-105,10,3,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.03",7.042642,43.618618,63,4G,LTE,-106,-8,1.0,10,-107,68,21,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.04",7.042642,43.618618,63,4G,LTE,-106,-8,1.0,10,-109,24,4,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.05",7.042642,43.618618,63,4G,LTE,-108,-10,1.0,15,-109,11,5,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.06",7.042642,43.618618,63,4G,LTE,-108,-10,1.0,15,-109,0,2,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.07",7.042642,43.618618,63,4G,LTE,-107,-7,1.0,14,-107,20,7,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.08",7.042642,43.618618,63,4G,LTE,-107,-7,1.0,14,-107,47,12,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.09",7.042642,43.618618,63,4G,LTE,-106,-7,1.0,8,-107,10,3,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.10",7.042642,43.618618,63,4G,LTE,-106,-7,1.0,8,-105,0,12,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.11",7.042642,43.618618,63,4G,LTE,-104,-11,2.0,15,-105,96,22,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.12",7.042642,43.618618,63,4G,LTE,-104,-11,2.0,15,-105,18,24,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.13",7.042642,43.618618,63,4G,LTE,-105,-6,1.0,13,-105,0,0,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.14",7.042642,43.618618,63,4G,LTE,-105,-6,1.0,13,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.15",7.042642,43.618618,63,4G,LTE,-105,-6,1.0,13,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.16",7.042642,43.618618,63,4G,LTE,-105,-6,1.0,13,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.17",7.042642,43.618618,63,4G,LTE,-103,-10,1.0,15,-105,2,0,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.18",7.042642,43.618618,63,4G,LTE,-103,-10,1.0,15,-105,1,0,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.19",7.042642,43.618618,63,4G,LTE,-104,-13,1.0,8,-105,0,0,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.20",7.042642,43.618618,63,4G,LTE,-104,-13,1.0,8,-105,0,0,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.21",7.042642,43.618618,63,4G,LTE,-104,-13,1.0,15,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.22",7.042642,43.618618,63,4G,LTE,-104,-13,1.0,15,-105,0,12,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.23",7.042642,43.618618,63,4G,LTE,-105,-9,1.0,10,-105,6,0,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.24",7.042642,43.618618,63,4G,LTE,-105,-9,1.0,10,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.25",7.042642,43.618618,63,4G,LTE,-105,-9,1.0,10,-105,1,2,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.26",7.042642,43.618618,63,4G,LTE,-105,-9,1.0,10,-103,6,5,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.27",7.042642,43.618618,63,4G,LTE,-102,-8,1.0,15,-103,0,0,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.28",7.042642,43.618618,63,4G,LTE,-102,-8,1.0,15,-103,0,0,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.29",7.042642,43.618618,63,4G,LTE,-102,-8,1.0,15,-103,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.30",7.042642,43.618618,63,4G,LTE,-102,-8,1.0,15,-103,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.31",7.042642,43.618618,63,4G,LTE,-102,-8,1.0,15,-103,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.32",7.042642,43.618618,63,4G,LTE,-102,-8,1.0,15,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.33",7.042642,43.618618,63,4G,LTE,-105,-11,1.0,15,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.34",7.042642,43.618618,63,4G,LTE,-105,-11,1.0,15,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.35",7.042642,43.618618,63,4G,LTE,-104,-10,2.0,15,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.36",7.042642,43.618618,63,4G,LTE,-104,-10,2.0,15,-105,0,0,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.37",7.042642,43.618618,63,4G,LTE,-105,-11,2.0,11,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.38",7.042642,43.618618,63,4G,LTE,-105,-11,2.0,11,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.39",7.042642,43.618618,63,4G,LTE,-105,-11,2.0,11,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.41",7.042642,43.618618,63,4G,LTE,-105,-11,2.0,11,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.41",7.042642,43.618618,63,4G,LTE,-105,-11,2.0,11,-105,1,0,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.43",7.042642,43.618618,63,4G,LTE,-105,-11,2.0,11,-105,1,1,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.44",7.042642,43.618618,63,4G,LTE,-106,-7,1.0,14,-105,0,0,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.45",7.042642,43.618618,63,4G,LTE,-106,-7,1.0,14,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.46",7.042642,43.618618,63,4G,LTE,-106,-7,1.0,14,-105,0,1,187,187,D,PERIODIC,,,,14augs
"
2022.08.14_17.19.47",7.042642,43.618618,63,4G,LTE,-106,-7,1.0,14,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.48",7.042642,43.618618,63,4G,LTE,-106,-7,1.0,14,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.49",7.042642,43.618618,63,4G,LTE,-106,-7,1.0,14,-105,0,0,187,187,I,PERIODIC,,,,14augs
"
2022.08.14_17.19.50",7.042642,43.618618,63,4G,LTE,-105,-12,1.0,10,-105,0,0,187,187,I,PERIODIC,,,,14augs
