Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.19_16.03.06",7.088075999999999,43.602748,61.0,5G,5G,-99.0,-3.0,13.0,10.0,-,66.0,27.0,137.0,137.0,D,LOG START,-102.0,-10.0,5.0,2A19aug
"
2022.08.19_16.03.06",7.088075999999999,43.602748,61.0,5G,5G,-99.0,-3.0,13.0,10.0,-,66.0,27.0,136.0,136.0,D,,-102.0,-10.0,5.0,2A19aug
"
2022.08.19_16.03.07",7.088075999999999,43.602748,61.0,5G,5G,-99.0,-3.0,13.0,10.0,-,0.0,0.0,136.0,136.0,D,PERIODIC,-102.0,-10.0,5.0,2A19aug
"
2022.08.19_16.03.08",7.088075999999999,43.602748,61.0,5G,5G,-94.0,-3.0,19.0,11.0,-,1.0,1.0,136.0,136.0,D,PERIODIC,-103.0,-10.0,6.0,2A19aug
"
2022.08.19_16.03.09",7.088075999999999,43.602748,61.0,5G,5G,-94.0,-3.0,19.0,11.0,-,0.0,2.0,136.0,136.0,D,PERIODIC,-103.0,-10.0,6.0,2A19aug
"
2022.08.19_16.03.10",7.088075999999999,43.602748,61.0,5G,5G,-94.0,-3.0,19.0,12.0,-,0.0,0.0,136.0,136.0,D,PERIODIC,-103.0,-12.0,11.0,2A19aug
"
2022.08.19_16.03.11",7.088075999999999,43.602748,61.0,5G,5G,-94.0,-3.0,19.0,12.0,-,0.0,0.0,136.0,136.0,I,PERIODIC,-103.0,-12.0,11.0,2A19aug
"
2022.08.19_16.03.12",7.088075999999999,43.602748,61.0,5G,5G,-98.0,-3.0,17.0,7.0,-,0.0,1.0,136.0,136.0,D,PERIODIC,-104.0,-10.0,8.0,2A19aug
"
2022.08.19_16.03.13",7.088075999999999,43.602748,61.0,5G,5G,-98.0,-3.0,17.0,7.0,-,0.0,0.0,136.0,136.0,I,PERIODIC,-104.0,-10.0,8.0,2A19aug
"
2022.08.19_16.03.14",7.088075999999999,43.602748,61.0,5G,5G,-99.0,-3.0,15.0,10.0,-,0.0,0.0,136.0,136.0,I,PERIODIC,-101.0,-15.0,3.0,2A19aug
