Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.11_17.02.35",7.086995,43.602633000000004,71.0,5G,5G,-91.0,-3.0,12.0,8,-,0.0,0.0,142.0,142.0,I,LOG START,-76.0,-13.0,5.0,2M11aug
"
2022.08.11_17.02.35",7.086995,43.602633000000004,71.0,5G,5G,-91.0,-3.0,12.0,8,-,0.0,0.0,142.0,142.0,I,PERIODIC,-76.0,-13.0,1.0,2M11aug
"
2022.08.11_17.02.36",7.087092999999999,43.602647,71.0,5G,5G,-91.0,-3.0,12.0,8,-,0.0,0.0,142.0,142.0,I,,-76.0,-13.0,1.0,2M11aug
"
2022.08.11_17.02.36",7.087092999999999,43.602647,71.0,5G,5G,-91.0,-3.0,12.0,8,-,1.0,1.0,142.0,142.0,D,PERIODIC,-78.0,-13.0,1.0,2M11aug
"
2022.08.11_17.02.37",7.087092999999999,43.602647,71.0,5G,5G,-97.0,-3.0,16.0,8,-,0.0,0.0,142.0,142.0,I,PERIODIC,-78.0,-13.0,2.0,2M11aug
"
2022.08.11_17.02.38",7.087289999999999,43.602671,71.0,5G,5G,-97.0,-3.0,16.0,8,-,0.0,0.0,143.0,143.0,I,,-78.0,-13.0,2.0,2M11aug
"
2022.08.11_17.02.38",7.087289999999999,43.602671,71.0,5G,5G,-92.0,-3.0,18.0,4,-,0.0,0.0,143.0,143.0,I,PERIODIC,-79.0,-15.0,2.0,2M11aug
"
2022.08.11_17.02.39",7.087289999999999,43.602671,71.0,5G,5G,-92.0,-3.0,15.0,4,-,0.0,0.0,143.0,143.0,I,PERIODIC,-79.0,-15.0,6.0,2M11aug
"
2022.08.11_17.02.40",7.087467999999999,43.602712,71.0,5G,5G,-92.0,-3.0,15.0,4,-,0.0,0.0,142.0,142.0,I,,-79.0,-15.0,6.0,2M11aug
"
2022.08.11_17.02.40",7.087467999999999,43.602712,71.0,5G,5G,-94.0,-3.0,18.0,13,-,0.0,0.0,142.0,142.0,I,PERIODIC,-82.0,-14.0,6.0,2M11aug
"
2022.08.11_17.02.41",7.087467999999999,43.602712,71.0,5G,5G,-94.0,-3.0,18.0,13,-,0.0,0.0,142.0,142.0,I,PERIODIC,-82.0,-14.0,6.0,2M11aug
"
2022.08.11_17.02.42",7.087637,43.602744,71.0,5G,5G,-94.0,-3.0,18.0,13,-,0.0,0.0,142.0,142.0,I,,-82.0,-14.0,6.0,2M11aug
"
2022.08.11_17.02.42",7.087637,43.602744,71.0,5G,5G,-94.0,-3.0,18.0,6,-,0.0,0.0,142.0,142.0,I,PERIODIC,-85.0,-14.0,6.0,2M11aug
"
2022.08.11_17.02.43",7.087637,43.602744,71.0,5G,5G,-94.0,-3.0,18.0,6,-,0.0,0.0,142.0,142.0,I,PERIODIC,-85.0,-14.0,6.0,2M11aug
"
2022.08.11_17.02.44",7.087781,43.602773,71.0,5G,5G,-94.0,-3.0,18.0,6,-,0.0,0.0,142.0,142.0,I,,-85.0,-14.0,6.0,2M11aug
"
2022.08.11_17.02.44",7.087781,43.602773,71.0,5G,5G,-94.0,-3.0,18.0,11,-,0.0,0.0,142.0,142.0,I,PERIODIC,-86.0,-14.0,6.0,2M11aug
"
2022.08.11_17.02.45",7.087781,43.602773,71.0,5G,5G,-95.0,-3.0,16.0,11,-,0.0,0.0,142.0,142.0,I,PERIODIC,-86.0,-14.0,5.0,2M11aug
"
2022.08.11_17.02.46",7.087781,43.602773,71.0,5G,5G,-92.0,-3.0,16.0,11,-,0.0,0.0,142.0,142.0,I,PERIODIC,-84.0,-14.0,6.0,2M11aug
"
2022.08.11_17.02.47",7.087925,43.602802000000004,71.0,5G,5G,-89.0,-3.0,17.0,11,-,0.0,0.0,142.0,142.0,I,,-84.0,-14.0,6.0,2M11aug
