Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.25_11.39.46",7.058938,43.617728,4G,LTE,-106.0,-21.0,-11.0,2,-99.0,0.0,0.0,184.0,184.0,I,LOG START,2M25auglte
"
2022.08.25_11.39.46",7.059067,43.617681,4G,LTE,-106.0,-21.0,-11.0,2,-99.0,0.0,0.0,184.0,184.0,I,,2M25auglte
"
2022.08.25_11.39.46",7.059067,43.617681,4G,LTE,-106.0,-21.0,-11.0,2,-105.0,0.0,0.0,184.0,184.0,I,PERIODIC,2M25auglte
"
2022.08.25_11.39.47",7.05921,43.617653999999995,4G,LTE,-106.0,-21.0,-11.0,2,-105.0,0.0,0.0,184.0,184.0,I,,2M25auglte
"
2022.08.25_11.39.47",7.05921,43.617653999999995,4G,LTE,-106.0,-15.0,0.0,6,-105.0,0.0,0.0,184.0,184.0,I,HANDOVER_DATA_4G4G,2M25auglte
"
2022.08.25_11.39.48",7.05921,43.617653999999995,4G,LTE,-106.0,-15.0,0.0,6,-105.0,0.0,0.0,184.0,184.0,I,PERIODIC,2M25auglte
"
2022.08.25_11.39.49",7.059382,43.617616999999996,4G,LTE,-106.0,-15.0,0.0,6,-105.0,0.0,0.0,185.0,185.0,I,,2M25auglte
"
2022.08.25_11.39.49",7.059382,43.617616999999996,4G,LTE,-102.0,-18.0,-4.0,7,-103.0,165.0,38.0,185.0,185.0,D,PERIODIC,2M25auglte
"
2022.08.25_11.39.50",7.059382,43.617616999999996,4G,LTE,-102.0,-18.0,-4.0,7,-101.0,58.0,5.0,185.0,185.0,D,PERIODIC,2M25auglte
"
2022.08.25_11.39.51",7.059516,43.617566,4G,LTE,-102.0,-18.0,-4.0,7,-101.0,58.0,5.0,184.0,184.0,D,,2M25auglte
"
2022.08.25_11.39.51",7.059516,43.617566,4G,LTE,-100.0,-16.0,0.0,8,-105.0,0.0,0.0,184.0,184.0,D,PERIODIC,2M25auglte
"
2022.08.25_11.39.53",7.059516,43.617566,4G,LTE,-100.0,-16.0,0.0,8,-103.0,33.0,31.0,184.0,184.0,D,PERIODIC,2M25auglte
"
2022.08.25_11.39.53",7.0596119999999996,43.617495,4G,LTE,-100.0,-16.0,0.0,8,-103.0,33.0,31.0,184.0,184.0,D,,2M25auglte
"
2022.08.25_11.39.54",7.0596119999999996,43.617495,4G,LTE,-103.0,-14.0,2.0,10,-105.0,27.0,5.0,184.0,184.0,D,PERIODIC,2M25auglte
"
2022.08.25_11.39.54",7.0596119999999996,43.617495,4G,LTE,-103.0,-14.0,2.0,10,-105.0,215.0,75.0,184.0,184.0,D,PERIODIC,2M25auglte
