Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.23_19.37.34",7.119532,43.585342,72.0,5G,5G,-99.0,-3.0,18.0,6.0,-,0.0,0.0,65.0,65.0,I,LOG START,-72.0,-13.0,-6.0,2P23aug
"
2022.08.23_19.37.35",7.119532,43.585342,72.0,5G,5G,-99.0,-3.0,18.0,11.0,-,0.0,0.0,65.0,65.0,I,PERIODIC,-74.0,-14.0,-6.0,2P23aug
"
2022.08.23_19.37.35",7.119536999999999,43.585291,72.0,5G,5G,-99.0,-3.0,18.0,11.0,-,0.0,0.0,65.0,65.0,I,,-74.0,-14.0,-6.0,2P23aug
"
2022.08.23_19.37.36",7.119536999999999,43.585291,72.0,5G,5G,-103.0,-3.0,19.0,11.0,-,0.0,0.0,65.0,65.0,I,PERIODIC,-74.0,-14.0,-6.0,2P23aug
"
2022.08.23_19.37.37",7.119536999999999,43.585291,72.0,5G,5G,-99.0,-3.0,15.0,9.0,-,0.0,0.0,65.0,65.0,I,PERIODIC,-78.0,-13.0,2.0,2P23aug
"
2022.08.23_19.37.38",7.119536999999999,43.585291,72.0,5G,5G,-99.0,-3.0,15.0,9.0,-,0.0,0.0,65.0,65.0,D,PERIODIC,-78.0,-13.0,2.0,2P23aug
"
2022.08.23_19.37.38",7.119597,43.585183,72.0,5G,5G,-99.0,-3.0,15.0,9.0,-,0.0,0.0,64.0,64.0,D,,-78.0,-13.0,2.0,2P23aug
"
2022.08.23_19.37.39",7.119597,43.585183,72.0,5G,5G,-98.0,-3.0,19.0,11.0,-,133.0,67.0,64.0,64.0,D,PERIODIC,-71.0,-12.0,2.0,2P23aug
"
2022.08.23_19.37.40",7.119597,43.585183,72.0,5G,5G,-96.0,-3.0,20.0,11.0,-,65.0,10.0,64.0,64.0,D,PERIODIC,-71.0,-12.0,2.0,2P23aug
"
2022.08.23_19.37.41",7.119597,43.585183,72.0,5G,5G,-96.0,-3.0,20.0,11.0,-,0.0,0.0,64.0,64.0,D,PERIODIC,-71.0,-13.0,1.0,2P23aug
