Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.25_10.49.27",7.0447169999999995,43.619729,63.0,4G,LTE,-92.0,-8.0,18.0,8.0,-93.0,0.0,0.0,190.0,190.0,I,LOG START,2P23auglte
"
2022.08.25_10.49.28",7.044728,43.619756,63.0,4G,LTE,-92.0,-8.0,18.0,8.0,-93.0,0.0,0.0,192.0,192.0,I,,2P23auglte
"
2022.08.25_10.49.28",7.044728,43.619756,63.0,4G,LTE,-92.0,-8.0,18.0,8.0,-93.0,0.0,0.0,192.0,192.0,I,PERIODIC,2P23auglte
"
2022.08.25_10.49.29",7.044728,43.619756,63.0,4G,LTE,-92.0,-8.0,18.0,8.0,-93.0,0.0,0.0,192.0,192.0,I,PERIODIC,2P23auglte
"
2022.08.25_10.49.30",7.044728,43.619756,63.0,4G,LTE,-92.0,-8.0,18.0,8.0,-97.0,0.0,2.0,192.0,192.0,D,PERIODIC,2P23auglte
"
2022.08.25_10.49.31",7.044728,43.619756,63.0,4G,LTE,-92.0,-8.0,18.0,8.0,-97.0,72.0,8.0,192.0,192.0,D,PERIODIC,2P23auglte
"
2022.08.25_10.49.32",7.044728,43.619756,63.0,4G,LTE,-98.0,-7.0,9.0,14.0,-97.0,58.0,6.0,192.0,192.0,D,PERIODIC,2P23auglte
"
2022.08.25_10.49.33",7.044728,43.619756,63.0,4G,LTE,-98.0,-7.0,9.0,14.0,-97.0,14.0,5.0,192.0,192.0,D,PERIODIC,2P23auglte
"
2022.08.25_10.49.34",7.044728,43.619756,63.0,4G,LTE,-95.0,-7.0,11.0,14.0,-95.0,15.0,2.0,192.0,192.0,D,PERIODIC,2P23auglte
"
2022.08.25_10.49.35",7.044728,43.619756,63.0,4G,LTE,-95.0,-7.0,11.0,14.0,-97.0,55.0,22.0,192.0,192.0,D,PERIODIC,2P23auglte
"
2022.08.25_10.49.36",7.044728,43.619756,63.0,4G,LTE,-97.0,-7.0,6.0,9.0,-97.0,1.0,0.0,192.0,192.0,D,PERIODIC,2P23auglte
"
2022.08.25_10.49.37",7.044728,43.619756,63.0,4G,LTE,-97.0,-7.0,6.0,9.0,-97.0,0.0,0.0,192.0,192.0,I,PERIODIC,2P23auglte
"
2022.08.25_10.49.38",7.044728,43.619756,63.0,4G,LTE,-97.0,-7.0,6.0,9.0,-97.0,0.0,0.0,192.0,192.0,I,PERIODIC,2P23auglte
"
2022.08.25_10.49.39",7.044728,43.619756,63.0,4G,LTE,-97.0,-7.0,6.0,9.0,-93.0,0.0,0.0,192.0,192.0,I,PERIODIC,2P23auglte
"
2022.08.25_10.49.40",7.044728,43.619756,63.0,4G,LTE,-92.0,-7.0,-9.0,14.0,-95.0,0.0,0.0,192.0,192.0,I,PERIODIC,2P23auglte
"
2022.08.25_10.49.41",7.044728,43.619756,63.0,4G,LTE,-92.0,-7.0,-9.0,14.0,-97.0,0.0,0.0,192.0,192.0,I,PERIODIC,2P23auglte
"
2022.08.25_10.49.42",7.044728,43.619756,63.0,4G,LTE,-95.0,-10.0,-11.0,14.0,-97.0,0.0,0.0,192.0,192.0,I,PERIODIC,2P23auglte
"
2022.08.25_10.49.43",7.044728,43.619756,63.0,4G,LTE,-95.0,-10.0,-11.0,14.0,-103.0,0.0,0.0,192.0,192.0,I,PERIODIC,2P23auglte
