Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.09_10.32.04",7.075135,43.618108,5G,5G,-118.0,-5.0,2.0,5,-,0.0,0.0,166.0,166.0,D,LOG START,-111.0,-17.0,-7.0,2P9aug
"
2022.08.09_10.32.04",7.075135,43.618108,5G,5G,-118.0,-5.0,2.0,5,-,0.0,0.0,166.0,166.0,D,PERIODIC,-111.0,-17.0,-7.0,2P9aug
"
2022.08.09_10.32.04",7.075194000000001,43.618117,5G,5G,-118.0,-5.0,2.0,5,-,0.0,0.0,176.0,176.0,D,,-111.0,-17.0,-7.0,2P9aug
"
2022.08.09_10.32.05",7.075194000000001,43.618117,5G,5G,-118.0,-5.0,2.0,5,-,0.0,0.0,176.0,176.0,I,PERIODIC,-111.0,-17.0,-7.0,2P9aug
"
2022.08.09_10.32.06",7.075194000000001,43.618117,5G,5G,-118.0,-5.0,2.0,-,-,0.0,1.0,176.0,176.0,D,PERIODIC,-109.0,-15.0,-7.0,2P9aug
"
2022.08.09_10.32.07",7.075194000000001,43.618117,5G,5G,-118.0,-5.0,2.0,-,-,0.0,0.0,176.0,176.0,I,PERIODIC,-109.0,-15.0,-7.0,2P9aug
"
2022.08.09_10.32.08",7.075194000000001,43.618117,4G,LTE,-110.0,-12.0,0.0,9,-109,21.0,25.0,176.0,176.0,D,PERIODIC,,,,2P9aug
"
2022.08.09_10.32.08",7.075194000000001,43.618117,4G,LTE,-110.0,-12.0,0.0,9,-109,21.0,25.0,176.0,176.0,D,,,,,2P9aug
"
2022.08.09_10.32.09",7.075194000000001,43.618117,4G,LTE,-110.0,-12.0,0.0,9,-109,0.0,0.0,176.0,176.0,D,PERIODIC,,,,2P9aug
"
2022.08.09_10.32.10",7.075194000000001,43.618117,4G,LTE,-108.0,-13.0,0.0,7,-109,0.0,1.0,176.0,176.0,D,PERIODIC,,,,2P9aug
"
2022.08.09_10.32.11",7.075194000000001,43.618117,4G,LTE,-108.0,-13.0,0.0,7,-109,0.0,0.0,176.0,176.0,I,PERIODIC,,,,2P9aug
"
2022.08.09_10.32.12",7.075194000000001,43.618117,4G,LTE,-109.0,-14.0,0.0,6,-109,0.0,0.0,176.0,176.0,I,PERIODIC,,,,2P9aug
"
2022.08.09_10.32.13",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,2.0,6,-,0.0,0.0,176.0,176.0,I,PERIODIC,-109.0,-14.0,-2.0,2P9aug
"
2022.08.09_10.32.13",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,2.0,6,-,0.0,0.0,176.0,176.0,I,,-109.0,-14.0,-2.0,2P9aug
"
2022.08.09_10.32.14",7.075194000000001,43.618117,5G,5G,-111.0,-3.0,4.0,8,-,0.0,0.0,176.0,176.0,I,PERIODIC,-111.0,-16.0,-2.0,2P9aug
"
2022.08.09_10.32.15",7.075194000000001,43.618117,5G,5G,-111.0,-3.0,4.0,8,-,0.0,0.0,176.0,176.0,I,PERIODIC,-111.0,-16.0,-2.0,2P9aug
"
2022.08.09_10.32.16",7.075194000000001,43.618117,5G,5G,-111.0,-3.0,6.0,9,-,0.0,0.0,176.0,176.0,I,PERIODIC,-108.0,-12.0,-4.0,2P9aug
"
2022.08.09_10.32.17",7.075194000000001,43.618117,5G,5G,-111.0,-3.0,6.0,9,-,0.0,0.0,176.0,176.0,I,PERIODIC,-108.0,-12.0,-4.0,2P9aug
"
2022.08.09_10.32.18",7.075194000000001,43.618117,5G,5G,-111.0,-3.0,6.0,-,-,0.0,1.0,176.0,176.0,D,PERIODIC,-109.0,-14.0,-4.0,2P9aug
"
2022.08.09_10.32.19",7.075194000000001,43.618117,5G,5G,-111.0,-3.0,6.0,-,-,0.0,0.0,176.0,176.0,I,PERIODIC,-109.0,-14.0,-4.0,2P9aug
"
2022.08.09_10.32.20",7.075194000000001,43.618117,4G,LTE,-109.0,-14.0,0.0,-,-111,0.0,0.0,176.0,176.0,I,PERIODIC,,,,2P9aug
"
2022.08.09_10.32.20",7.075194000000001,43.618117,4G,LTE,-109.0,-14.0,0.0,-,-111,0.0,0.0,176.0,176.0,I,,,,,2P9aug
"
2022.08.09_10.32.21",7.075194000000001,43.618117,4G,LTE,-109.0,-14.0,0.0,-,-111,0.0,0.0,176.0,176.0,I,PERIODIC,,,,2P9aug
"
2022.08.09_10.32.22",7.075194000000001,43.618117,4G,LTE,-112.0,-14.0,0.0,10,-111,0.0,1.0,176.0,176.0,D,IRAT_HANDOVER_DATA_5G4G,,,,2P9aug
"
2022.08.09_10.32.23",7.075194000000001,43.618117,5G,5G,-108.0,-3.0,9.0,10,-,0.0,0.0,176.0,176.0,I,PERIODIC,-112.0,-14.0,-7.0,2P9aug
"
2022.08.09_10.32.23",7.075194000000001,43.618117,5G,5G,-108.0,-3.0,9.0,10,-,0.0,0.0,176.0,176.0,I,,-112.0,-14.0,-7.0,2P9aug
"
2022.08.09_10.32.24",7.075194000000001,43.618117,5G,5G,-108.0,-3.0,9.0,7,-,0.0,0.0,176.0,176.0,I,PERIODIC,-112.0,-13.0,-7.0,2P9aug
"
2022.08.09_10.32.25",7.075194000000001,43.618117,5G,5G,-108.0,-3.0,9.0,7,-,0.0,0.0,176.0,176.0,I,PERIODIC,-112.0,-13.0,-7.0,2P9aug
"
2022.08.09_10.32.26",7.075194000000001,43.618117,5G,5G,-108.0,-3.0,9.0,9,-,0.0,0.0,176.0,176.0,I,PERIODIC,-112.0,-12.0,-7.0,2P9aug
"
2022.08.09_10.32.27",7.075194000000001,43.618117,5G,5G,-108.0,-3.0,9.0,9,-,19.0,31.0,176.0,176.0,D,PERIODIC,-112.0,-12.0,-7.0,2P9aug
"
2022.08.09_10.32.28",7.075194000000001,43.618117,5G,5G,-108.0,-3.0,9.0,8,-,0.0,10.0,176.0,176.0,D,PERIODIC,-113.0,-14.0,-7.0,2P9aug
"
2022.08.09_10.32.29",7.075194000000001,43.618117,5G,5G,-108.0,-3.0,9.0,8,-,113.0,118.0,176.0,176.0,D,PERIODIC,-113.0,-14.0,-7.0,2P9aug
"
2022.08.09_10.32.30",7.075194000000001,43.618117,5G,5G,-111.0,-3.0,9.0,9,-,84.0,33.0,176.0,176.0,D,PERIODIC,-113.0,-13.0,-4.0,2P9aug
"
2022.08.09_10.32.31",7.075194000000001,43.618117,5G,5G,-111.0,-3.0,9.0,9,-,31.0,10.0,176.0,176.0,D,PERIODIC,-113.0,-13.0,-4.0,2P9aug
"
2022.08.09_10.32.32",7.075194000000001,43.618117,5G,5G,-111.0,-3.0,9.0,9,-,0.0,1.0,176.0,176.0,D,PERIODIC,-113.0,-13.0,-4.0,2P9aug
"
2022.08.09_10.32.33",7.075194000000001,43.618117,5G,5G,-111.0,-3.0,9.0,9,-,90.0,34.0,176.0,176.0,D,PERIODIC,-113.0,-13.0,-4.0,2P9aug
"
2022.08.09_10.32.34",7.075194000000001,43.618117,5G,5G,-111.0,-3.0,9.0,10,-,103.0,8.0,176.0,176.0,D,PERIODIC,-113.0,-13.0,-4.0,2P9aug
"
2022.08.09_10.32.35",7.075194000000001,43.618117,5G,5G,-111.0,-3.0,9.0,10,-,0.0,0.0,176.0,176.0,I,PERIODIC,-113.0,-13.0,-4.0,2P9aug
"
2022.08.09_10.32.36",7.075194000000001,43.618117,5G,5G,-111.0,-3.0,9.0,9,-,0.0,0.0,176.0,176.0,I,PERIODIC,-113.0,-14.0,-4.0,2P9aug
"
2022.08.09_10.32.37",7.075194000000001,43.618117,5G,5G,-111.0,-3.0,9.0,9,-,0.0,0.0,176.0,176.0,I,PERIODIC,-113.0,-14.0,-4.0,2P9aug
"
2022.08.09_10.32.38",7.075194000000001,43.618117,5G,5G,-111.0,-3.0,9.0,10,-,0.0,0.0,176.0,176.0,I,PERIODIC,-113.0,-12.0,-4.0,2P9aug
"
2022.08.09_10.32.39",7.075194000000001,43.618117,5G,5G,-114.0,-4.0,4.0,10,-,0.0,0.0,176.0,176.0,I,PERIODIC,-113.0,-12.0,-5.0,2P9aug
"
2022.08.09_10.32.40",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,10,-,23.0,56.0,176.0,176.0,D,PERIODIC,-112.0,-13.0,-6.0,2P9aug
"
2022.08.09_10.32.41",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,10,-,33.0,35.0,176.0,176.0,D,PERIODIC,-112.0,-13.0,-6.0,2P9aug
"
2022.08.09_10.32.42",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,10,-,0.0,0.0,176.0,176.0,D,PERIODIC,-112.0,-14.0,-6.0,2P9aug
"
2022.08.09_10.32.43",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,10,-,0.0,0.0,176.0,176.0,I,PERIODIC,-112.0,-14.0,-6.0,2P9aug
"
2022.08.09_10.32.44",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,7,-,0.0,0.0,176.0,176.0,I,PERIODIC,-112.0,-16.0,-6.0,2P9aug
"
2022.08.09_10.32.45",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,7,-,0.0,0.0,176.0,176.0,I,PERIODIC,-112.0,-16.0,-6.0,2P9aug
"
2022.08.09_10.32.46",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,8,-,71.0,50.0,176.0,176.0,D,PERIODIC,-112.0,-15.0,-6.0,2P9aug
"
2022.08.09_10.32.47",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,8,-,885.0,201.0,176.0,176.0,D,PERIODIC,-112.0,-15.0,-6.0,2P9aug
"
2022.08.09_10.32.48",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,10,-,1417.0,378.0,176.0,176.0,D,PERIODIC,-112.0,-13.0,-6.0,2P9aug
"
2022.08.09_10.32.49",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,10,-,10259.0,280.0,176.0,176.0,D,PERIODIC,-112.0,-13.0,-6.0,2P9aug
"
2022.08.09_10.32.50",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,10,-,27700.0,134.0,176.0,176.0,D,PERIODIC,-112.0,-12.0,-6.0,2P9aug
"
2022.08.09_10.32.52",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,10,-,25729.0,408.0,176.0,176.0,D,PERIODIC,-112.0,-12.0,-6.0,2P9aug
"
2022.08.09_10.32.52",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,7,-,28724.0,323.0,176.0,176.0,D,PERIODIC,-113.0,-15.0,-6.0,2P9aug
"
2022.08.09_10.32.53",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,7,-,65514.0,328.0,176.0,176.0,D,PERIODIC,-113.0,-15.0,-6.0,2P9aug
"
2022.08.09_10.32.54",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,10,-,72555.0,467.0,176.0,176.0,D,PERIODIC,-113.0,-13.0,-6.0,2P9aug
"
2022.08.09_10.32.55",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,10,-,64963.0,341.0,176.0,176.0,D,PERIODIC,-113.0,-13.0,-6.0,2P9aug
"
2022.08.09_10.32.56",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,11,-,97998.0,548.0,176.0,176.0,D,PERIODIC,-113.0,-12.0,-6.0,2P9aug
"
2022.08.09_10.32.57",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,11,-,72307.0,417.0,176.0,176.0,D,PERIODIC,-113.0,-12.0,-6.0,2P9aug
"
2022.08.09_10.32.59",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,5.0,9,-,117694.0,625.0,176.0,176.0,D,PERIODIC,-112.0,-15.0,-1.0,2P9aug
"
2022.08.09_10.32.59",7.075194000000001,43.618117,5G,5G,-112.0,-8.0,5.0,9,-,83664.0,518.0,176.0,176.0,D,PERIODIC,-112.0,-15.0,-1.0,2P9aug
"
2022.08.09_10.33.01",7.075194000000001,43.618117,5G,5G,-112.0,-8.0,5.0,6,-,101957.0,603.0,176.0,176.0,D,IRAT_HANDOVER_DATA_4G5G,-107.0,-11.0,-1.0,2P9aug
"
2022.08.09_10.33.01",7.075194000000001,43.618117,5G,5G,-111.0,-5.0,6.0,6,-,119967.0,718.0,176.0,176.0,D,PERIODIC,-107.0,-11.0,-1.0,2P9aug
"
2022.08.09_10.33.02",7.075194000000001,43.618117,5G,5G,-111.0,-5.0,6.0,6,-,7.0,10.0,176.0,176.0,D,PERIODIC,-107.0,-11.0,-1.0,2P9aug
"
2022.08.09_10.33.03",7.075194000000001,43.618117,5G,5G,-107.0,-3.0,10.0,8,-,79620.0,476.0,176.0,176.0,D,PERIODIC,-110.0,-13.0,-3.0,2P9aug
"
2022.08.09_10.33.04",7.075194000000001,43.618117,5G,5G,-107.0,-3.0,10.0,8,-,11.0,13.0,176.0,176.0,D,PERIODIC,-110.0,-13.0,-3.0,2P9aug
"
2022.08.09_10.33.05",7.075194000000001,43.618117,5G,5G,-113.0,-3.0,6.0,10,-,7.0,11.0,176.0,176.0,D,HANDOVER_DATA_5G5G,-114.0,-10.0,5.0,2P9aug
"
2022.08.09_10.33.06",7.075194000000001,43.618117,5G,5G,-111.0,-3.0,7.0,10,-,16.0,48.0,176.0,176.0,D,PERIODIC,-114.0,-10.0,10.0,2P9aug
"
2022.08.09_10.33.07",7.075194000000001,43.618117,5G,5G,-112.0,-3.0,7.0,10,-,11925.0,99.0,176.0,176.0,D,PERIODIC,-117.0,-11.0,4.0,2P9aug
"
2022.08.09_10.33.08",7.0750720000000005,43.618136,5G,5G,-112.0,-3.0,7.0,10,-,11925.0,99.0,168.0,168.0,D,,-117.0,-11.0,4.0,2P9aug
"
2022.08.09_10.33.08",7.0750720000000005,43.618136,5G,5G,-112.0,-3.0,7.0,10,-,69778.0,456.0,168.0,168.0,D,PERIODIC,-117.0,-11.0,4.0,2P9aug
"
2022.08.09_10.33.09",7.0750720000000005,43.618136,5G,5G,-113.0,-3.0,8.0,5,-,7.0,10.0,168.0,168.0,D,PERIODIC,-114.0,-11.0,4.0,2P9aug
"
2022.08.09_10.33.10",7.0750720000000005,43.618136,5G,5G,-111.0,-3.0,8.0,5,-,86570.0,582.0,168.0,168.0,D,PERIODIC,-114.0,-11.0,3.0,2P9aug
"
2022.08.09_10.33.11",7.0750720000000005,43.618136,5G,5G,-110.0,-3.0,11.0,8,-,7.0,10.0,168.0,168.0,D,PERIODIC,-110.0,-11.0,1.0,2P9aug
"
2022.08.09_10.33.12",7.0750720000000005,43.618136,5G,5G,-110.0,-3.0,11.0,8,-,7.0,29.0,168.0,168.0,D,PERIODIC,-110.0,-11.0,1.0,2P9aug
"
2022.08.09_10.33.13",7.0750720000000005,43.618136,5G,5G,-110.0,-3.0,11.0,9,-,79726.0,413.0,168.0,168.0,D,PERIODIC,-109.0,-9.0,1.0,2P9aug
"
2022.08.09_10.33.14",7.0750720000000005,43.618136,5G,5G,-109.0,-8.0,10.0,9,-,81152.0,626.0,168.0,168.0,D,PERIODIC,-109.0,-9.0,5.0,2P9aug
"
2022.08.09_10.33.15",7.0750720000000005,43.618136,5G,5G,-110.0,-3.0,9.0,11,-,7.0,10.0,168.0,168.0,D,PERIODIC,-110.0,-10.0,3.0,2P9aug
"
2022.08.09_10.33.16",7.0750720000000005,43.618136,5G,5G,-106.0,-3.0,14.0,11,-,61563.0,365.0,168.0,168.0,D,PERIODIC,-110.0,-10.0,-2.0,2P9aug
"
2022.08.09_10.33.17",7.0750720000000005,43.618136,5G,5G,-106.0,-3.0,14.0,6,-,21615.0,184.0,168.0,168.0,D,PERIODIC,-107.0,-7.0,-2.0,2P9aug
"
2022.08.09_10.33.18",7.0750720000000005,43.618136,5G,5G,-106.0,-3.0,14.0,6,-,47.0,83.0,168.0,168.0,D,PERIODIC,-107.0,-7.0,-2.0,2P9aug
"
2022.08.09_10.33.19",7.0750720000000005,43.618136,5G,5G,-106.0,-3.0,14.0,11,-,137679.0,904.0,168.0,168.0,D,PERIODIC,-108.0,-9.0,-2.0,2P9aug
"
2022.08.09_10.33.20",7.0750720000000005,43.618136,5G,5G,-104.0,-3.0,14.0,11,-,5948.0,61.0,168.0,168.0,D,PERIODIC,-108.0,-9.0,12.0,2P9aug
"
2022.08.09_10.33.21",7.0750720000000005,43.618136,5G,5G,-105.0,-3.0,16.0,15,-,7.0,10.0,168.0,168.0,D,PERIODIC,-107.0,-8.0,1.0,2P9aug
"
2022.08.09_10.33.22",7.0750720000000005,43.618136,5G,5G,-105.0,-3.0,16.0,15,-,80301.0,670.0,168.0,168.0,D,PERIODIC,-107.0,-8.0,1.0,2P9aug
"
2022.08.09_10.33.23",7.074945,43.618149,5G,5G,-105.0,-3.0,16.0,15,-,80301.0,670.0,169.0,169.0,D,,-107.0,-8.0,1.0,2P9aug
"
2022.08.09_10.33.24",7.074945,43.618149,5G,5G,-105.0,-3.0,16.0,8,-,34745.0,232.0,169.0,169.0,D,PERIODIC,-107.0,-8.0,14.0,2P9aug
"
2022.08.09_10.33.24",7.074945,43.618149,5G,5G,-105.0,-3.0,16.0,8,-,16058.0,141.0,169.0,169.0,D,PERIODIC,-107.0,-8.0,14.0,2P9aug
"
2022.08.09_10.33.26",7.074945,43.618149,5G,5G,-105.0,-3.0,16.0,11,-,85340.0,467.0,169.0,169.0,D,PERIODIC,-107.0,-8.0,14.0,2P9aug
"
2022.08.09_10.33.27",7.074945,43.618149,5G,5G,-105.0,-3.0,16.0,11,-,7.0,10.0,169.0,169.0,D,PERIODIC,-107.0,-8.0,14.0,2P9aug
"
2022.08.09_10.33.28",7.074945,43.618149,5G,5G,-105.0,-3.0,16.0,15,-,80501.0,492.0,169.0,169.0,D,PERIODIC,-106.0,-7.0,1.0,2P9aug
"
2022.08.09_10.33.29",7.074945,43.618149,5G,5G,-105.0,-3.0,16.0,15,-,22781.0,134.0,169.0,169.0,D,PERIODIC,-106.0,-7.0,1.0,2P9aug
"
2022.08.09_10.33.30",7.074945,43.618149,5G,5G,-105.0,-3.0,16.0,8,-,59034.0,342.0,169.0,169.0,D,PERIODIC,-106.0,-7.0,14.0,2P9aug
"
2022.08.09_10.33.31",7.074945,43.618149,5G,5G,-105.0,-3.0,16.0,8,-,13.0,30.0,169.0,169.0,D,PERIODIC,-106.0,-7.0,14.0,2P9aug
"
2022.08.09_10.33.31",7.074871000000001,43.618075,5G,5G,-105.0,-4.0,12.0,8,-,13.0,30.0,169.0,169.0,D,,-106.0,-7.0,14.0,2P9aug
