Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.19_16.09.44",7.088075999999999,43.602748,5G,5G,-102.0,-3.0,19.0,6.0,-,0.0,0.0,137.0,137.0,I,LOG START,-102.0,-10.0,-1.0,3A19aug
"
2022.08.19_16.09.45",7.088075999999999,43.602748,5G,5G,-102.0,-3.0,19.0,6.0,-,0.0,0.0,136.0,136.0,I,,-102.0,-10.0,-1.0,3A19aug
"
2022.08.19_16.09.45",7.088075999999999,43.602748,5G,5G,-102.0,-3.0,19.0,12.0,-,0.0,0.0,136.0,136.0,I,PERIODIC,-102.0,-10.0,-10.0,3A19aug
"
2022.08.19_16.09.46",7.088075999999999,43.602748,5G,5G,-102.0,-3.0,19.0,12.0,-,0.0,0.0,136.0,136.0,D,PERIODIC,-102.0,-10.0,-10.0,3A19aug
"
2022.08.19_16.09.47",7.088075999999999,43.602748,5G,5G,-102.0,-3.0,19.0,7.0,-,0.0,0.0,136.0,136.0,I,PERIODIC,-102.0,-12.0,2.0,3A19aug
"
2022.08.19_16.09.48",7.088075999999999,43.602748,5G,5G,-102.0,-3.0,19.0,7.0,-,0.0,0.0,136.0,136.0,I,PERIODIC,-102.0,-12.0,2.0,3A19aug
"
2022.08.19_16.09.49",7.088075999999999,43.602748,5G,5G,-102.0,-3.0,19.0,15.0,-,0.0,0.0,136.0,136.0,I,PERIODIC,-103.0,-10.0,-1.0,3A19aug
"
2022.08.19_16.09.50",7.088075999999999,43.602748,5G,5G,-102.0,-3.0,19.0,15.0,-,0.0,1.0,136.0,136.0,D,PERIODIC,-103.0,-10.0,-1.0,3A19aug
"
2022.08.19_16.09.51",7.088075999999999,43.602748,5G,5G,-102.0,-3.0,19.0,5.0,-,0.0,0.0,136.0,136.0,D,PERIODIC,-103.0,-11.0,-1.0,3A19aug
"
2022.08.19_16.09.52",7.088075999999999,43.602748,5G,5G,-102.0,-3.0,19.0,5.0,-,1.0,2.0,136.0,136.0,D,PERIODIC,-103.0,-11.0,-1.0,3A19aug
"
2022.08.19_16.09.53",7.088075999999999,43.602748,5G,5G,-102.0,-3.0,19.0,13.0,-,0.0,5.0,136.0,136.0,D,PERIODIC,-103.0,-11.0,-2.0,3A19aug
"
2022.08.19_16.09.54",7.088075999999999,43.602748,5G,5G,-102.0,-3.0,19.0,13.0,-,0.0,4.0,136.0,136.0,D,PERIODIC,-103.0,-11.0,-2.0,3A19aug
"
2022.08.19_16.09.55",7.088075999999999,43.602748,5G,5G,-102.0,-3.0,19.0,15.0,-,0.0,0.0,136.0,136.0,D,PERIODIC,-102.0,-10.0,-1.0,3A19aug
"
2022.08.19_16.09.56",7.088075999999999,43.602748,5G,5G,-102.0,-3.0,19.0,15.0,-,0.0,0.0,136.0,136.0,D,PERIODIC,-102.0,-10.0,-1.0,3A19aug
"
2022.08.19_16.09.57",7.088075999999999,43.602748,5G,5G,-102.0,-3.0,19.0,10.0,-,96.0,10.0,136.0,136.0,D,PERIODIC,-103.0,-10.0,4.0,3A19aug
"
2022.08.19_16.09.58",7.088075999999999,43.602748,5G,5G,-106.0,-3.0,13.0,10.0,-,5.0,14.0,136.0,136.0,D,PERIODIC,-103.0,-10.0,4.0,3A19aug
"
2022.08.19_16.09.59",7.088075999999999,43.602748,5G,5G,-106.0,-3.0,13.0,12.0,-,2.0,8.0,136.0,136.0,D,PERIODIC,-105.0,-12.0,4.0,3A19aug
"
2022.08.19_16.10.00",7.088075999999999,43.602748,5G,5G,-106.0,-3.0,13.0,12.0,-,0.0,0.0,136.0,136.0,I,PERIODIC,-105.0,-12.0,4.0,3A19aug
"
2022.08.19_16.10.01",7.088075999999999,43.602748,5G,5G,-106.0,-3.0,13.0,12.0,-,0.0,0.0,136.0,136.0,I,PERIODIC,-105.0,-12.0,4.0,3A19aug
"
2022.08.19_16.10.02",7.088075999999999,43.602748,5G,5G,-106.0,-3.0,13.0,12.0,-,1.0,10.0,136.0,136.0,D,PERIODIC,-105.0,-12.0,4.0,3A19aug
"
2022.08.19_16.10.03",7.088075999999999,43.602748,5G,5G,-106.0,-3.0,13.0,12.0,-,29.0,41.0,136.0,136.0,D,PERIODIC,-103.0,-9.0,-3.0,3A19aug
"
2022.08.19_16.10.05",7.088075999999999,43.602748,5G,5G,-106.0,-3.0,13.0,12.0,-,7.0,2.0,136.0,136.0,D,PERIODIC,-103.0,-9.0,-3.0,3A19aug
"
2022.08.19_16.10.06",7.088075999999999,43.602748,5G,5G,-106.0,-3.0,13.0,9.0,-,0.0,0.0,136.0,136.0,D,PERIODIC,-104.0,-10.0,1.0,3A19aug
"
2022.08.19_16.10.06",7.088075999999999,43.602748,5G,5G,-106.0,-3.0,13.0,9.0,-,58.0,98.0,136.0,136.0,D,PERIODIC,-104.0,-10.0,1.0,3A19aug
"
2022.08.19_16.10.07",7.088075999999999,43.602748,5G,5G,-106.0,-3.0,13.0,11.0,-,124.0,59.0,136.0,136.0,D,PERIODIC,-104.0,-10.0,2.0,3A19aug
"
2022.08.19_16.10.08",7.088075999999999,43.602748,5G,5G,-106.0,-3.0,13.0,11.0,-,82.0,20.0,136.0,136.0,D,PERIODIC,-104.0,-10.0,2.0,3A19aug
"
2022.08.19_16.10.10",7.088075999999999,43.602748,5G,5G,-106.0,-3.0,13.0,10.0,-,184.0,149.0,136.0,136.0,D,PERIODIC,-103.0,-10.0,1.0,3A19aug
"
2022.08.19_16.10.11",7.088075999999999,43.602748,5G,5G,-104.0,-3.0,11.0,10.0,-,136.0,164.0,136.0,136.0,D,PERIODIC,-103.0,-10.0,1.0,3A19aug
"
2022.08.19_16.10.12",7.088075999999999,43.602748,5G,5G,-104.0,-3.0,10.0,11.0,-,202.0,44.0,136.0,136.0,D,PERIODIC,-101.0,-7.0,1.0,3A19aug
