Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.24_17.24.34",7.0640789999999996,43.616568,5G,5G,-118.0,-6.0,6.0,13,-,71.0,13.0,163.0,163.0,D,LOG START,-106.0,-12.0,7.0,3M24auglte
"
2022.08.24_17.24.35",7.0640789999999996,43.616568,5G,5G,-118.0,-6.0,6.0,13,-,0.0,0.0,163.0,163.0,D,PERIODIC,-106.0,-12.0,7.0,3M24auglte
"
2022.08.24_17.24.35",7.063944,43.616572999999995,5G,5G,-118.0,-6.0,6.0,13,-,0.0,0.0,164.0,164.0,D,,-106.0,-12.0,7.0,3M24auglte
"
2022.08.24_17.24.36",7.063944,43.616572999999995,5G,5G,-118.0,-6.0,6.0,10,-,0.0,0.0,164.0,164.0,I,PERIODIC,-105.0,-12.0,4.0,3M24auglte
"
2022.08.24_17.24.36",7.06381,43.616584,5G,5G,-118.0,-6.0,6.0,10,-,0.0,0.0,164.0,164.0,I,,-105.0,-12.0,4.0,3M24auglte
"
2022.08.24_17.24.37",7.06381,43.616584,5G,5G,-118.0,-6.0,6.0,10,-,0.0,0.0,164.0,164.0,D,PERIODIC,-105.0,-12.0,4.0,3M24auglte
"
2022.08.24_17.24.37",7.063686,43.6166,5G,5G,-118.0,-6.0,6.0,10,-,0.0,0.0,165.0,165.0,D,,-105.0,-12.0,4.0,3M24auglte
"
2022.08.24_17.24.38",7.063686,43.6166,5G,5G,-118.0,-6.0,6.0,13,-,0.0,0.0,165.0,165.0,I,PERIODIC,-104.0,-12.0,8.0,3M24auglte
"
2022.08.24_17.24.39",7.063686,43.6166,5G,5G,-118.0,-6.0,6.0,13,-,1.0,9.0,165.0,165.0,D,PERIODIC,-104.0,-12.0,8.0,3M24auglte
"
2022.08.24_17.24.39",7.063459,43.616647,5G,5G,-118.0,-6.0,6.0,13,-,1.0,9.0,165.0,165.0,D,,-104.0,-12.0,8.0,3M24auglte
"
2022.08.24_17.24.40",7.063459,43.616647,5G,5G,-118.0,-6.0,6.0,10,-,74.0,56.0,165.0,165.0,D,PERIODIC,-106.0,-13.0,3.0,3M24auglte
