Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.10.28_18.28.12",7.05513,43.616172,62.0,4G,4G,-108.0,-10.0,13.0,-,-111,0.0,0.0,204.0,204.0,I,LOG START,,,,45Mu28o
"
2022.10.28_18.28.12",7.05513,43.616172,62.0,4G,4G,-111.0,-9.0,9.0,-,-53,0.0,0.0,204.0,204.0,I,PERIODIC,,,,45Mu28o
"
2022.10.28_18.28.12",7.055089,43.61626,62.0,4G,4G,-111.0,-9.0,9.0,-,-53,0.0,0.0,205.0,205.0,I,,,,,45Mu28o
"
2022.10.28_18.28.13",7.055089,43.61626,62.0,4G,4G,-111.0,-9.0,9.0,-,-53,0.0,0.0,205.0,205.0,I,PERIODIC,,,,45Mu28o
"
2022.10.28_18.28.13",7.055047999999999,43.616361,62.0,4G,4G,-111.0,-9.0,9.0,-,-53,0.0,0.0,205.0,205.0,I,,,,,45Mu28o
"
2022.10.28_18.28.14",7.055047999999999,43.616361,62.0,4G,4G,-113.0,-11.0,11.0,-,-55,0.0,0.0,205.0,205.0,I,PERIODIC,,,,45Mu28o
"
2022.10.28_18.28.14",7.055014999999999,43.616454,62.0,4G,4G,-113.0,-11.0,11.0,-,-55,0.0,0.0,206.0,206.0,I,,,,,45Mu28o
"
2022.10.28_18.28.15",7.055014999999999,43.616454,62.0,4G,4G,-113.0,-11.0,11.0,-,-55,0.0,0.0,206.0,206.0,I,PERIODIC,,,,45Mu28o
"
2022.10.28_18.28.16",7.055014999999999,43.616454,62.0,4G,4G,-113.0,-10.0,16.0,-,-57,0.0,0.0,206.0,206.0,I,PERIODIC,,,,45Mu28o
"
2022.10.28_18.28.16",7.054942,43.616618,62.0,4G,4G,-113.0,-10.0,16.0,-,-57,0.0,0.0,206.0,206.0,I,,,,,45Mu28o
"
2022.10.28_18.28.17",7.054942,43.616618,62.0,4G,4G,-113.0,-10.0,16.0,-,-57,155.0,64.0,206.0,206.0,D,PERIODIC,,,,45Mu28o
"
2022.10.28_18.28.18",7.054942,43.616618,62.0,4G,4G,-100.0,-11.0,14.0,11,-111,35.0,11.0,206.0,206.0,D,PERIODIC,,,,45Mu28o
"
2022.10.28_18.28.18",7.0549,43.616789000000004,62.0,4G,4G,-100.0,-11.0,14.0,11,-111,35.0,11.0,206.0,206.0,D,,,,,45Mu28o
"
2022.10.28_18.28.19",7.0549,43.616789000000004,62.0,5G,5G,-119.0,-6.0,3.0,11,-,711.0,48.0,206.0,206.0,D,PERIODIC,-100.0,-11.0,14.0,45Mu28o
"
2022.10.28_18.28.19",7.0549,43.616789000000004,62.0,5G,5G,-119.0,-6.0,3.0,11,-,711.0,48.0,206.0,206.0,D,,-100.0,-11.0,14.0,45Mu28o
"
2022.10.28_18.28.19",7.0548850000000005,43.616888,62.0,5G,5G,-119.0,-6.0,3.0,11,-,711.0,48.0,207.0,207.0,D,,-100.0,-11.0,14.0,45Mu28o
"
2022.10.28_18.28.20",7.0548850000000005,43.616888,62.0,5G,5G,-118.0,-8.0,0.0,12,-,0.0,1.0,207.0,207.0,D,PERIODIC,-100.0,-8.0,12.0,45Mu28o
"
2022.10.28_18.28.20",7.054889999999999,43.616984,62.0,5G,5G,-118.0,-8.0,0.0,12,-,0.0,1.0,208.0,208.0,D,,-100.0,-8.0,12.0,45Mu28o
"
2022.10.28_18.28.21",7.054889999999999,43.616984,62.0,5G,5G,-118.0,-8.0,0.0,12,-,121.0,44.0,208.0,208.0,D,PERIODIC,-100.0,-8.0,12.0,45Mu28o
