Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.20_18.50.33",7.074344,43.617381,4G,LTE,-80.0,-7.0,21.0,15.0,-65,0.0,0.0,181.0,181.0,D,LOG START,4A20s
"
2022.09.20_18.50.33",7.074344,43.617381,4G,LTE,-80.0,-7.0,21.0,15.0,-65,19.0,2.0,181.0,181.0,D,PERIODIC,4A20s
"
2022.09.20_18.50.34",7.074344,43.617381,4G,LTE,-79.0,-6.0,11.0,15.0,-63,0.0,0.0,181.0,181.0,I,PERIODIC,4A20s
"
2022.09.20_18.50.35",7.074344,43.617381,4G,LTE,-79.0,-6.0,11.0,15.0,-63,0.0,0.0,181.0,181.0,I,PERIODIC,4A20s
"
2022.09.20_18.50.36",7.074135000000001,43.616726,4G,LTE,-80.0,-7.0,22.0,15.0,-63,0.0,0.0,181.0,181.0,I,PERIODIC,4A20s
"
2022.09.20_18.50.37",7.074135000000001,43.616726,4G,LTE,-80.0,-7.0,22.0,15.0,-63,0.0,0.0,181.0,181.0,D,PERIODIC,4A20s
"
2022.09.20_18.50.38",7.074135000000001,43.616726,4G,LTE,-80.0,-7.0,19.0,15.0,-63,19.0,2.0,181.0,181.0,D,PERIODIC,4A20s
"
2022.09.20_18.50.39",7.074135000000001,43.616726,4G,LTE,-80.0,-7.0,19.0,15.0,-63,0.0,0.0,181.0,181.0,I,PERIODIC,4A20s
"
2022.09.20_18.50.40",7.073339999999999,43.616759,4G,LTE,-80.0,-8.0,11.0,15.0,-63,0.0,0.0,181.0,181.0,I,PERIODIC,4A20s
"
2022.09.20_18.50.41",7.073339999999999,43.616759,4G,LTE,-80.0,-8.0,11.0,15.0,-63,0.0,0.0,181.0,181.0,I,PERIODIC,4A20s
"
2022.09.20_18.50.42",7.073339999999999,43.616759,4G,LTE,-80.0,-7.0,28.0,15.0,-63,0.0,1.0,181.0,181.0,D,PERIODIC,4A20s
"
2022.09.20_18.50.43",7.073339999999999,43.616759,4G,LTE,-80.0,-7.0,28.0,15.0,-63,18.0,1.0,181.0,181.0,D,PERIODIC,4A20s
"
2022.09.20_18.50.44",7.073339999999999,43.616759,4G,LTE,-80.0,-6.0,13.0,15.0,-73,0.0,0.0,181.0,181.0,I,PERIODIC,4A20s
"
2022.09.20_18.50.45",7.073502,43.616745,4G,LTE,-80.0,-6.0,13.0,14.0,-67,0.0,0.0,181.0,181.0,I,PERIODIC,4A20s
"
2022.09.20_18.50.46",7.073502,43.616745,4G,LTE,-80.0,-9.0,19.0,14.0,-65,0.0,0.0,181.0,181.0,I,PERIODIC,4A20s
"
2022.09.20_18.50.47",7.073502,43.616745,4G,LTE,-80.0,-9.0,19.0,12.0,-63,0.0,1.0,181.0,181.0,D,PERIODIC,4A20s
"
2022.09.20_18.50.49",7.073502,43.616745,4G,LTE,-80.0,-7.0,11.0,12.0,-63,19.0,1.0,181.0,181.0,D,PERIODIC,4A20s
"
2022.09.20_18.50.49",7.073502,43.616745,4G,LTE,-80.0,-7.0,11.0,12.0,-63,0.0,0.0,181.0,181.0,I,PERIODIC,4A20s
"
2022.09.20_18.50.50",7.073502,43.616745,4G,LTE,-82.0,-6.0,23.0,15.0,-68,0.0,0.0,181.0,181.0,I,PERIODIC,4A20s
"
2022.09.20_18.50.51",7.074159,43.616887,4G,LTE,-82.0,-6.0,23.0,13.0,-68,4.0,3.0,181.0,181.0,D,PERIODIC,4A20s
