Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.25_11.19.57",7.045028,43.623638,71.0,4G,LTE,-106.0,-14.0,2.0,9.0,-105.0,0.0,0.0,226.0,226.0,I,LOG START,4A23auglte
"
2022.08.25_11.19.57",7.045028,43.623638,71.0,4G,LTE,-106.0,-15.0,2.0,9.0,-107.0,26.0,49.0,226.0,226.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.19.58",7.044956,43.623637,71.0,4G,LTE,-106.0,-15.0,2.0,9.0,-107.0,26.0,49.0,209.0,209.0,D,,4A23auglte
"
2022.08.25_11.19.58",7.044956,43.623637,71.0,4G,LTE,-106.0,-15.0,2.0,9.0,-107.0,28.0,45.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.19.59",7.044956,43.623637,71.0,4G,LTE,-106.0,-14.0,2.0,6.0,-107.0,46.0,62.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.00",7.044956,43.623637,71.0,4G,LTE,-106.0,-14.0,2.0,6.0,-107.0,38.0,50.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.01",7.044956,43.623637,71.0,4G,LTE,-106.0,-14.0,2.0,6.0,-107.0,38.0,49.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.02",7.044956,43.623637,71.0,4G,LTE,-106.0,-14.0,-1.0,9.0,-107.0,39.0,76.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.03",7.044956,43.623637,71.0,4G,LTE,-107.0,-15.0,3.0,6.0,-107.0,225.0,93.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.04",7.044956,43.623637,71.0,4G,LTE,-107.0,-15.0,3.0,6.0,-107.0,86.0,29.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.05",7.044956,43.623637,71.0,4G,LTE,-106.0,-14.0,0.0,6.0,-107.0,0.0,0.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.06",7.044956,43.623637,71.0,4G,LTE,-106.0,-14.0,0.0,6.0,-105.0,135.0,31.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.07",7.044956,43.623637,71.0,4G,LTE,-105.0,-14.0,0.0,6.0,-105.0,41.0,34.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.09",7.044956,43.623637,71.0,4G,LTE,-105.0,-14.0,0.0,6.0,-105.0,117.0,38.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.09",7.044956,43.623637,71.0,4G,LTE,-105.0,-15.0,-1.0,9.0,-105.0,48.0,80.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.10",7.044956,43.623637,71.0,4G,LTE,-105.0,-15.0,-1.0,9.0,-105.0,0.0,0.0,209.0,209.0,I,PERIODIC,4A23auglte
"
2022.08.25_11.20.11",7.044956,43.623637,71.0,4G,LTE,-105.0,-14.0,3.0,10.0,-105.0,0.0,0.0,209.0,209.0,I,PERIODIC,4A23auglte
"
2022.08.25_11.20.12",7.044956,43.623637,71.0,4G,LTE,-105.0,-14.0,3.0,10.0,-105.0,0.0,0.0,209.0,209.0,I,PERIODIC,4A23auglte
"
2022.08.25_11.20.13",7.044956,43.623637,71.0,4G,LTE,-105.0,-14.0,4.0,7.0,-105.0,0.0,0.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.14",7.044956,43.623637,71.0,4G,LTE,-105.0,-14.0,4.0,7.0,-107.0,0.0,0.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.16",7.044956,43.623637,71.0,4G,LTE,-106.0,-14.0,-11.0,7.0,-107.0,0.0,0.0,209.0,209.0,I,PERIODIC,4A23auglte
"
2022.08.25_11.20.17",7.044956,43.623637,71.0,4G,LTE,-106.0,-14.0,-11.0,7.0,-105.0,0.0,0.0,209.0,209.0,I,PERIODIC,4A23auglte
"
2022.08.25_11.20.18",7.044956,43.623637,71.0,4G,LTE,-105.0,-14.0,3.0,11.0,-105.0,0.0,0.0,209.0,209.0,I,PERIODIC,4A23auglte
"
2022.08.25_11.20.19",7.044956,43.623637,71.0,4G,LTE,-105.0,-14.0,3.0,11.0,-107.0,0.0,0.0,209.0,209.0,I,PERIODIC,4A23auglte
"
2022.08.25_11.20.20",7.044956,43.623637,71.0,4G,LTE,-107.0,-12.0,-11.0,7.0,-105.0,2.0,6.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.21",7.044956,43.623637,71.0,4G,LTE,-107.0,-12.0,-11.0,7.0,-105.0,95.0,34.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.22",7.044956,43.623637,71.0,4G,LTE,-107.0,-10.0,-11.0,7.0,-107.0,0.0,0.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.23",7.044956,43.623637,71.0,4G,LTE,-107.0,-10.0,-11.0,7.0,-105.0,0.0,0.0,209.0,209.0,I,PERIODIC,4A23auglte
"
2022.08.25_11.20.24",7.044956,43.623637,71.0,4G,LTE,-105.0,-12.0,-11.0,7.0,-105.0,0.0,0.0,209.0,209.0,I,PERIODIC,4A23auglte
"
2022.08.25_11.20.25",7.044956,43.623637,71.0,4G,LTE,-105.0,-12.0,-11.0,7.0,-105.0,0.0,0.0,209.0,209.0,I,PERIODIC,4A23auglte
"
2022.08.25_11.20.26",7.044956,43.623637,71.0,4G,LTE,-106.0,-13.0,5.0,7.0,-105.0,0.0,0.0,209.0,209.0,I,PERIODIC,4A23auglte
"
2022.08.25_11.20.27",7.044956,43.623637,71.0,4G,LTE,-106.0,-13.0,5.0,7.0,-105.0,0.0,0.0,209.0,209.0,I,PERIODIC,4A23auglte
"
2022.08.25_11.20.28",7.044956,43.623637,71.0,4G,LTE,-106.0,-13.0,5.0,7.0,-109.0,0.0,0.0,209.0,209.0,I,PERIODIC,4A23auglte
"
2022.08.25_11.20.29",7.044956,43.623637,71.0,4G,LTE,-106.0,-13.0,5.0,7.0,-109.0,0.0,0.0,209.0,209.0,I,PERIODIC,4A23auglte
"
2022.08.25_11.20.30",7.044956,43.623637,71.0,4G,LTE,-108.0,-13.0,2.0,10.0,-109.0,28.0,9.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.31",7.044956,43.623637,71.0,4G,LTE,-108.0,-13.0,2.0,10.0,-109.0,384.0,103.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.32",7.044956,43.623637,71.0,4G,LTE,-108.0,-14.0,4.0,6.0,-109.0,613.0,131.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.33",7.044956,43.623637,71.0,4G,LTE,-108.0,-14.0,4.0,6.0,-109.0,6855.0,135.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.34",7.044956,43.623637,71.0,4G,LTE,-109.0,-14.0,3.0,6.0,-109.0,4947.0,252.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.35",7.044956,43.623637,71.0,4G,LTE,-109.0,-14.0,3.0,6.0,-109.0,4863.0,57.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.36",7.044956,43.623637,71.0,4G,LTE,-107.0,-14.0,3.0,7.0,-109.0,7288.0,89.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.37",7.044956,43.623637,71.0,4G,LTE,-107.0,-14.0,3.0,7.0,-109.0,9161.0,53.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.38",7.044956,43.623637,71.0,4G,LTE,-106.0,-14.0,4.0,6.0,-107.0,6592.0,51.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.39",7.044956,43.623637,71.0,4G,LTE,-106.0,-14.0,4.0,6.0,-107.0,6675.0,44.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.40",7.044956,43.623637,71.0,4G,LTE,-108.0,-15.0,3.0,8.0,-109.0,5732.0,75.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.41",7.044956,43.623637,71.0,4G,LTE,-108.0,-15.0,3.0,8.0,-109.0,3626.0,106.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.42",7.044956,43.623637,71.0,4G,LTE,-108.0,-14.0,5.0,7.0,-109.0,810.0,28.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.43",7.044956,43.623637,71.0,4G,LTE,-108.0,-14.0,5.0,7.0,-109.0,4941.0,64.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.44",7.044956,43.623637,71.0,4G,LTE,-108.0,-13.0,4.0,7.0,-109.0,8997.0,55.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.45",7.044956,43.623637,71.0,4G,LTE,-108.0,-13.0,4.0,7.0,-107.0,6463.0,66.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.46",7.044956,43.623637,71.0,4G,LTE,-106.0,-15.0,3.0,6.0,-107.0,4947.0,41.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.47",7.044956,43.623637,71.0,4G,LTE,-106.0,-15.0,3.0,6.0,-107.0,4646.0,45.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.48",7.044956,43.623637,71.0,4G,LTE,-107.0,-14.0,2.0,6.0,-107.0,5356.0,48.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.49",7.044956,43.623637,71.0,4G,LTE,-107.0,-14.0,2.0,6.0,-107.0,1733.0,19.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.50",7.044956,43.623637,71.0,4G,LTE,-106.0,-14.0,3.0,6.0,-107.0,3.0,5.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.51",7.044956,43.623637,71.0,4G,LTE,-106.0,-14.0,3.0,6.0,-107.0,3437.0,37.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.52",7.044956,43.623637,71.0,4G,LTE,-106.0,-15.0,3.0,6.0,-107.0,5532.0,46.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.53",7.044956,43.623637,71.0,4G,LTE,-106.0,-15.0,3.0,6.0,-107.0,4902.0,43.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.54",7.044956,43.623637,71.0,4G,LTE,-107.0,-15.0,2.0,8.0,-107.0,6305.0,47.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.55",7.044956,43.623637,71.0,4G,LTE,-107.0,-15.0,2.0,8.0,-107.0,5919.0,102.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.56",7.044956,43.623637,71.0,4G,LTE,-107.0,-14.0,2.0,6.0,-107.0,5325.0,49.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.57",7.044956,43.623637,71.0,4G,LTE,-107.0,-14.0,2.0,6.0,-107.0,4481.0,53.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.58",7.044956,43.623637,71.0,4G,LTE,-108.0,-14.0,2.0,7.0,-109.0,3244.0,33.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.20.59",7.044956,43.623637,71.0,4G,LTE,-108.0,-14.0,2.0,7.0,-109.0,5484.0,45.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.21.00",7.044956,43.623637,71.0,4G,LTE,-107.0,-14.0,2.0,7.0,-109.0,6146.0,49.0,209.0,209.0,D,PERIODIC,4A23auglte
"
2022.08.25_11.21.01",7.044956,43.623637,71.0,4G,LTE,-107.0,-14.0,2.0,7.0,-109.0,5989.0,46.0,209.0,209.0,D,PERIODIC,4A23auglte
