Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.26_12.10.46",7.118422,43.586365,62.0,4G,LTE,-90.0,-13.0,3.0,13.0,-,0.0,0.0,169.0,169.0,I,LOG START,4A26
"
2022.08.26_12.10.46",7.118422,43.586365,62.0,4G,LTE,-91.0,-14.0,2.0,13.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4A26
"
2022.08.26_12.10.47",7.118422,43.586365,62.0,4G,LTE,-91.0,-14.0,2.0,10.0,-69,19.0,3.0,169.0,169.0,D,PERIODIC,4A26
"
2022.08.26_12.10.48",7.118422,43.586365,62.0,4G,LTE,-86.0,-12.0,0.0,10.0,-69,0.0,0.0,169.0,169.0,D,PERIODIC,4A26
"
2022.08.26_12.10.49",7.118422,43.586365,62.0,4G,LTE,-86.0,-12.0,0.0,15.0,-69,0.0,0.0,169.0,169.0,I,PERIODIC,4A26
"
2022.08.26_12.10.50",7.118422,43.586365,62.0,4G,LTE,-86.0,-14.0,-3.0,15.0,-69,0.0,0.0,169.0,169.0,I,PERIODIC,4A26
"
2022.08.26_12.10.51",7.118422,43.586365,62.0,4G,LTE,-86.0,-14.0,-3.0,15.0,-69,0.0,0.0,169.0,169.0,I,PERIODIC,4A26
"
2022.08.26_12.10.52",7.118422,43.586365,62.0,4G,LTE,-86.0,-13.0,0.0,14.0,-72,20.0,3.0,169.0,169.0,D,PERIODIC,4A26
"
2022.08.26_12.10.53",7.118422,43.586365,62.0,4G,LTE,-86.0,-13.0,0.0,14.0,-70,0.0,0.0,169.0,169.0,D,PERIODIC,4A26
"
2022.08.26_12.10.55",7.118285,43.586308,62.0,4G,LTE,-87.0,-13.0,10.0,14.0,-70,0.0,0.0,169.0,169.0,I,PERIODIC,4A26
