Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.30_15.53.20",7.074215,43.616821,4G,LTE,-94.0,-7.0,9.0,10.0,-76,0.0,0.0,182.0,182.0,I,LOG START,4A30
"
2022.08.30_15.53.20",7.074215,43.616821,4G,LTE,-94.0,-7.0,9.0,10.0,-76,0.0,0.0,182.0,182.0,I,PERIODIC,4A30
"
2022.08.30_15.53.21",7.074063000000001,43.616706,4G,LTE,-93.0,-6.0,15.0,12.0,-,0.0,1.0,182.0,182.0,D,PERIODIC,4A30
"
2022.08.30_15.53.22",7.074063000000001,43.616706,4G,LTE,-93.0,-6.0,15.0,12.0,-,18.0,1.0,182.0,182.0,D,PERIODIC,4A30
"
2022.08.30_15.53.23",7.074063000000001,43.616706,4G,LTE,-90.0,-6.0,16.0,9.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4A30
"
2022.08.30_15.53.24",7.074063000000001,43.616706,4G,LTE,-90.0,-6.0,16.0,9.0,-,19.0,13.0,182.0,182.0,D,PERIODIC,4A30
"
2022.08.30_15.53.25",7.074063000000001,43.616706,4G,LTE,-93.0,-7.0,13.0,9.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4A30
"
2022.08.30_15.53.26",7.074063000000001,43.616706,4G,LTE,-93.0,-7.0,13.0,8.0,-74,0.0,1.0,182.0,182.0,D,PERIODIC,4A30
"
2022.08.30_15.53.27",7.074063000000001,43.616706,4G,LTE,-92.0,-11.0,13.0,8.0,-74,18.0,1.0,182.0,182.0,D,PERIODIC,4A30
"
2022.08.30_15.53.28",7.074063000000001,43.616706,4G,LTE,-92.0,-11.0,13.0,8.0,-76,207.0,77.0,182.0,182.0,D,PERIODIC,4A30
"
2022.08.30_15.53.29",7.074063000000001,43.616706,4G,LTE,-92.0,-6.0,11.0,8.0,-76,858.0,113.0,182.0,182.0,D,PERIODIC,4A30
"
2022.08.30_15.53.30",7.074063000000001,43.616706,4G,LTE,-92.0,-6.0,11.0,8.0,-76,10.0,4.0,182.0,182.0,D,PERIODIC,4A30
"
2022.08.30_15.53.32",7.074063000000001,43.616706,4G,LTE,-93.0,-8.0,9.0,8.0,-76,91.0,63.0,182.0,182.0,D,PERIODIC,4A30
"
2022.08.30_15.53.32",7.074063000000001,43.616706,4G,LTE,-93.0,-8.0,9.0,8.0,-,1022.0,62.0,182.0,182.0,D,PERIODIC,4A30
"
2022.08.30_15.53.33",7.074063000000001,43.616706,4G,LTE,-91.0,-6.0,15.0,8.0,-,0.0,0.0,182.0,182.0,D,PERIODIC,4A30
"
2022.08.30_15.53.34",7.074063000000001,43.616706,4G,LTE,-91.0,-6.0,15.0,8.0,-75,0.0,0.0,182.0,182.0,I,PERIODIC,4A30
"
2022.08.30_15.53.35",7.074063000000001,43.616706,4G,LTE,-90.0,-6.0,16.0,9.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4A30
"
2022.08.30_15.53.37",7.074063000000001,43.616706,4G,LTE,-90.0,-6.0,16.0,9.0,-,19.0,3.0,182.0,182.0,D,PERIODIC,4A30
"
2022.08.30_15.53.38",7.074063000000001,43.616706,4G,LTE,-91.0,-5.0,10.0,9.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4A30
"
2022.08.30_15.53.39",7.074063000000001,43.616706,4G,LTE,-91.0,-5.0,10.0,9.0,-,0.0,0.0,182.0,182.0,D,PERIODIC,4A30
"
2022.08.30_15.53.40",7.074063000000001,43.616706,4G,LTE,-91.0,-6.0,9.0,7.0,-,0.0,0.0,182.0,182.0,D,PERIODIC,4A30
"
2022.08.30_15.53.40",7.074063000000001,43.616706,4G,LTE,-91.0,-6.0,9.0,9.0,-75,0.0,0.0,182.0,182.0,I,PERIODIC,4A30
"
2022.08.30_15.53.42",7.074063000000001,43.616706,4G,LTE,-92.0,-6.0,15.0,9.0,-75,19.0,3.0,182.0,182.0,D,PERIODIC,4A30
"
2022.08.30_15.53.43",7.074063000000001,43.616706,4G,LTE,-92.0,-6.0,15.0,9.0,-75,0.0,0.0,182.0,182.0,I,PERIODIC,4A30
"
2022.08.30_15.53.44",7.074063000000001,43.616706,4G,LTE,-93.0,-7.0,10.0,9.0,-75,0.0,0.0,182.0,182.0,I,PERIODIC,4A30
"
2022.08.30_15.53.45",7.074063000000001,43.616706,4G,LTE,-93.0,-7.0,10.0,9.0,-75,0.0,0.0,182.0,182.0,I,PERIODIC,4A30
"
2022.08.30_15.53.45",7.074063000000001,43.616706,4G,LTE,-92.0,-6.0,17.0,9.0,-75,1.0,1.0,182.0,182.0,D,PERIODIC,4A30
"
2022.08.30_15.53.47",7.074063000000001,43.616706,4G,LTE,-92.0,-6.0,17.0,9.0,-75,19.0,3.0,182.0,182.0,D,PERIODIC,4A30
