Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.09_16.00.06",7.119756,43.585356,63.0,4G,LTE,-77.0,-7.0,13.0,8.0,-61,0.0,0.0,201.0,201.0,I,LOG START,4A9s2
"
2022.09.09_16.00.07",7.118499000000001,43.585514,63.0,4G,LTE,-79.0,-10.0,19.0,12.0,-61,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.08",7.118499000000001,43.585514,63.0,4G,LTE,-79.0,-10.0,19.0,13.0,-61,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.09",7.118499000000001,43.585514,63.0,4G,LTE,-79.0,-10.0,19.0,10.0,-63,2.0,2.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.10",7.118499000000001,43.585514,63.0,4G,LTE,-78.0,-7.0,12.0,14.0,-61,18.0,1.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.11",7.118499000000001,43.585514,63.0,4G,LTE,-78.0,-7.0,12.0,14.0,-63,0.0,0.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.12",7.118499000000001,43.585514,63.0,4G,LTE,-79.0,-16.0,10.0,14.0,-59,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.13",7.118499000000001,43.585514,63.0,4G,LTE,-79.0,-16.0,10.0,14.0,-59,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.14",7.118499000000001,43.585514,63.0,4G,LTE,-76.0,-7.0,15.0,14.0,-59,0.0,1.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.15",7.118499000000001,43.585514,63.0,4G,LTE,-76.0,-7.0,15.0,14.0,-59,18.0,1.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.16",7.118499000000001,43.585514,63.0,4G,LTE,-77.0,-6.0,16.0,14.0,-59,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.17",7.118499000000001,43.585514,63.0,4G,LTE,-77.0,-6.0,16.0,9.0,-61,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.18",7.118499000000001,43.585514,63.0,4G,LTE,-79.0,-7.0,14.0,9.0,-61,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.19",7.118499000000001,43.585514,63.0,4G,LTE,-79.0,-7.0,14.0,9.0,-61,18.0,2.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.20",7.118499000000001,43.585514,63.0,4G,LTE,-78.0,-7.0,12.0,9.0,-61,0.0,0.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.21",7.118499000000001,43.585514,63.0,4G,LTE,-78.0,-7.0,12.0,9.0,-61,0.0,0.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.22",7.118499000000001,43.585514,63.0,4G,LTE,-77.0,-7.0,9.0,9.0,-61,11.0,11.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.23",7.118499000000001,43.585514,63.0,4G,LTE,-77.0,-7.0,9.0,9.0,-61,13.0,34.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.24",7.118499000000001,43.585514,63.0,4G,LTE,-78.0,-8.0,13.0,9.0,-61,10.0,4.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.25",7.118499000000001,43.585514,63.0,4G,LTE,-78.0,-8.0,13.0,9.0,-61,47.0,30.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.26",7.118499000000001,43.585514,63.0,4G,LTE,-77.0,-9.0,13.0,9.0,-61,15.0,2.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.27",7.118499000000001,43.585514,63.0,4G,LTE,-77.0,-9.0,13.0,9.0,-61,4.0,16.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.28",7.118499000000001,43.585514,63.0,4G,LTE,-78.0,-8.0,9.0,9.0,-61,193.0,45.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.29",7.118499000000001,43.585514,63.0,4G,LTE,-78.0,-8.0,9.0,9.0,-61,18.0,2.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.30",7.118499000000001,43.585514,63.0,4G,LTE,-78.0,-10.0,13.0,9.0,-61,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.31",7.118499000000001,43.585514,63.0,4G,LTE,-78.0,-10.0,13.0,9.0,-61,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.32",7.118499000000001,43.585514,63.0,4G,LTE,-78.0,-12.0,9.0,9.0,-61,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.33",7.118499000000001,43.585514,63.0,4G,LTE,-78.0,-12.0,9.0,9.0,-61,10.0,3.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.35",7.118499000000001,43.585514,63.0,4G,LTE,-78.0,-9.0,9.0,9.0,-61,0.0,1.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.36",7.118499000000001,43.585514,63.0,4G,LTE,-78.0,-9.0,9.0,14.0,-61,17.0,1.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.37",7.118499000000001,43.585514,63.0,4G,LTE,-78.0,-9.0,11.0,14.0,-61,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.38",7.118499000000001,43.585514,63.0,4G,LTE,-78.0,-9.0,11.0,13.0,-59,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.39",7.118499000000001,43.585514,63.0,4G,LTE,-77.0,-8.0,8.0,8.0,-58,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.40",7.118499000000001,43.585514,63.0,4G,LTE,-77.0,-8.0,8.0,14.0,-63,18.0,2.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.41",7.118499000000001,43.585514,63.0,4G,LTE,-80.0,-15.0,2.0,14.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.42",7.118499000000001,43.585514,63.0,4G,LTE,-80.0,-15.0,2.0,14.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.43",7.118499000000001,43.585514,63.0,4G,LTE,-82.0,-9.0,4.0,14.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.44",7.118499000000001,43.585514,63.0,4G,LTE,-82.0,-9.0,4.0,14.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.45",7.118499000000001,43.585514,63.0,4G,LTE,-82.0,-9.0,8.0,14.0,-65,18.0,3.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.46",7.118499000000001,43.585514,63.0,4G,LTE,-82.0,-9.0,8.0,14.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.47",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-7.0,7.0,14.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.48",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-7.0,7.0,13.0,-67,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.49",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-9.0,7.0,13.0,-67,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.50",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-9.0,7.0,13.0,-67,18.0,2.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.51",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-9.0,8.0,12.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.52",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-9.0,8.0,12.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.53",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-14.0,8.0,12.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.54",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-14.0,8.0,12.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.55",7.118499000000001,43.585514,63.0,4G,LTE,-82.0,-8.0,9.0,12.0,-65,18.0,3.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.00.56",7.118499000000001,43.585514,63.0,4G,LTE,-82.0,-8.0,9.0,12.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.57",7.118499000000001,43.585514,63.0,4G,LTE,-84.0,-13.0,7.0,12.0,-67,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.58",7.118499000000001,43.585514,63.0,4G,LTE,-84.0,-13.0,7.0,12.0,-67,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.00.59",7.118499000000001,43.585514,63.0,4G,LTE,-84.0,-8.0,10.0,12.0,-67,3.0,2.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.01.00",7.118499000000001,43.585514,63.0,4G,LTE,-84.0,-8.0,10.0,12.0,-67,18.0,3.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.01.01",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-10.0,7.0,12.0,-67,15.0,15.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.01.02",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-10.0,7.0,12.0,-67,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.01.03",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-9.0,9.0,12.0,-67,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.01.04",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-9.0,9.0,12.0,-67,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.01.05",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-9.0,7.0,12.0,-67,18.0,3.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.01.06",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-9.0,7.0,12.0,-67,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.01.07",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-8.0,11.0,12.0,-67,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.01.08",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-8.0,11.0,12.0,-67,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.01.09",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-8.0,9.0,12.0,-67,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.01.10",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-8.0,9.0,12.0,-67,20.0,3.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.01.11",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-9.0,5.0,12.0,-67,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.01.12",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-9.0,5.0,12.0,-69,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.01.13",7.118499000000001,43.585514,63.0,4G,LTE,-84.0,-8.0,16.0,12.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.01.14",7.118499000000001,43.585514,63.0,4G,LTE,-84.0,-8.0,16.0,12.0,-65,0.0,0.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.01.15",7.118499000000001,43.585514,63.0,4G,LTE,-82.0,-8.0,10.0,12.0,-65,20.0,3.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.01.16",7.118499000000001,43.585514,63.0,4G,LTE,-82.0,-8.0,10.0,12.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.01.17",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-9.0,8.0,12.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.01.18",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-9.0,8.0,12.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.01.19",7.118499000000001,43.585514,63.0,4G,LTE,-82.0,-10.0,6.0,12.0,-65,0.0,0.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.01.20",7.118499000000001,43.585514,63.0,4G,LTE,-82.0,-10.0,6.0,12.0,-65,18.0,2.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.01.21",7.118499000000001,43.585514,63.0,4G,LTE,-82.0,-15.0,3.0,12.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.01.22",7.118499000000001,43.585514,63.0,4G,LTE,-82.0,-15.0,3.0,12.0,-65,2.0,2.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.01.23",7.118499000000001,43.585514,63.0,4G,LTE,-87.0,-13.0,3.0,12.0,-72,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.01.24",7.118499000000001,43.585514,63.0,4G,LTE,-87.0,-13.0,3.0,12.0,-72,2.0,3.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.01.25",7.118499000000001,43.585514,63.0,4G,LTE,-88.0,-10.0,4.0,13.0,-70,18.0,1.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.01.26",7.118499000000001,43.585514,63.0,4G,LTE,-88.0,-10.0,4.0,13.0,-70,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.01.27",7.118499000000001,43.585514,63.0,4G,LTE,-87.0,-8.0,6.0,13.0,-70,0.0,0.0,201.0,201.0,I,PERIODIC,4A9s2
"
2022.09.09_16.01.28",7.118499000000001,43.585514,63.0,4G,LTE,-87.0,-8.0,6.0,13.0,-70,8.0,27.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.01.29",7.118499000000001,43.585514,63.0,4G,LTE,-82.0,-9.0,12.0,10.0,-65,76.0,63.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.01.30",7.118499000000001,43.585514,63.0,4G,LTE,-82.0,-9.0,12.0,7.0,-72,1307.0,362.0,201.0,201.0,D,PERIODIC,4A9s2
"
2022.09.09_16.01.32",7.118499000000001,43.585514,63.0,4G,LTE,-89.0,-10.0,8.0,14.0,-74,6013.0,521.0,201.0,201.0,D,PERIODIC,4A9s2
