Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.30_16.57.22",7.074314,43.616929,63.0,4G,LTE,-84.0,-8.0,20.0,10.0,-68,0.0,0.0,182.0,182.0,I,LOG START,4Ae30
"
2022.08.30_16.57.22",7.074314,43.616929,63.0,4G,LTE,-84.0,-8.0,20.0,10.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Ae30
"
2022.08.30_16.57.23",7.074314,43.616929,63.0,4G,LTE,-84.0,-6.0,20.0,10.0,-68,19.0,3.0,182.0,182.0,D,PERIODIC,4Ae30
"
2022.08.30_16.57.24",7.074314,43.616929,63.0,4G,LTE,-84.0,-6.0,20.0,10.0,-68,18.0,13.0,182.0,182.0,D,PERIODIC,4Ae30
"
2022.08.30_16.57.26",7.074314,43.616929,63.0,4G,LTE,-85.0,-7.0,20.0,10.0,-68,0.0,0.0,182.0,182.0,D,PERIODIC,4Ae30
"
2022.08.30_16.57.27",7.074314,43.616929,63.0,4G,LTE,-85.0,-7.0,20.0,10.0,-70,0.0,0.0,182.0,182.0,I,PERIODIC,4Ae30
"
2022.08.30_16.57.28",7.074314,43.616929,63.0,4G,LTE,-85.0,-7.0,16.0,11.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Ae30
"
2022.08.30_16.57.29",7.074314,43.616929,63.0,4G,LTE,-85.0,-7.0,16.0,11.0,-68,61.0,41.0,182.0,182.0,D,PERIODIC,4Ae30
"
2022.08.30_16.57.30",7.074314,43.616929,63.0,4G,LTE,-85.0,-7.0,10.0,11.0,-68,3.0,1.0,182.0,182.0,D,PERIODIC,4Ae30
"
2022.08.30_16.57.31",7.074314,43.616929,63.0,4G,LTE,-85.0,-7.0,10.0,11.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Ae30
"
2022.08.30_16.57.32",7.074314,43.616929,63.0,4G,LTE,-85.0,-7.0,20.0,11.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Ae30
"
2022.08.30_16.57.33",7.074314,43.616929,63.0,4G,LTE,-85.0,-7.0,20.0,11.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Ae30
"
2022.08.30_16.57.34",7.074314,43.616929,63.0,4G,LTE,-85.0,-8.0,19.0,11.0,-68,19.0,3.0,182.0,182.0,D,PERIODIC,4Ae30
"
2022.08.30_16.57.35",7.074314,43.616929,63.0,4G,LTE,-85.0,-8.0,19.0,11.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Ae30
"
2022.08.30_16.57.36",7.074314,43.616929,63.0,4G,LTE,-85.0,-6.0,10.0,11.0,-68,14.0,8.0,182.0,182.0,D,PERIODIC,4Ae30
"
2022.08.30_16.57.37",7.074314,43.616929,63.0,4G,LTE,-85.0,-6.0,10.0,11.0,-68,60.0,41.0,182.0,182.0,D,PERIODIC,4Ae30
"
2022.08.30_16.57.38",7.074314,43.616929,63.0,4G,LTE,-83.0,-6.0,9.0,13.0,-66,72.0,22.0,182.0,182.0,D,PERIODIC,4Ae30
"
2022.08.30_16.57.39",7.074314,43.616929,63.0,4G,LTE,-83.0,-6.0,9.0,12.0,-68,19.0,2.0,182.0,182.0,D,PERIODIC,4Ae30
"
2022.08.30_16.57.40",7.074314,43.616929,63.0,4G,LTE,-86.0,-8.0,18.0,12.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Ae30
"
2022.08.30_16.57.41",7.074314,43.616929,63.0,4G,LTE,-86.0,-8.0,18.0,12.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Ae30
"
2022.08.30_16.57.42",7.074314,43.616929,63.0,4G,LTE,-86.0,-8.0,17.0,12.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Ae30
"
2022.08.30_16.57.43",7.074314,43.616929,63.0,4G,LTE,-86.0,-8.0,17.0,12.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Ae30
"
2022.08.30_16.57.44",7.074314,43.616929,63.0,4G,LTE,-85.0,-7.0,18.0,12.0,-68,19.0,2.0,182.0,182.0,D,PERIODIC,4Ae30
"
2022.08.30_16.57.45",7.074314,43.616929,63.0,4G,LTE,-85.0,-7.0,18.0,12.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Ae30
"
2022.08.30_16.57.46",7.074314,43.616929,63.0,4G,LTE,-85.0,-7.0,23.0,12.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Ae30
"
2022.08.30_16.57.47",7.074314,43.616929,63.0,4G,LTE,-85.0,-7.0,23.0,12.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Ae30
"
2022.08.30_16.57.48",7.074314,43.616929,63.0,4G,LTE,-85.0,-7.0,23.0,12.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Ae30
"
2022.08.30_16.57.49",7.074314,43.616929,63.0,4G,LTE,-85.0,-6.0,11.0,11.0,-66,19.0,2.0,182.0,182.0,D,PERIODIC,4Ae30
"
2022.08.30_16.57.50",7.074314,43.616929,63.0,4G,LTE,-85.0,-6.0,11.0,11.0,-66,0.0,0.0,182.0,182.0,I,PERIODIC,4Ae30
"
2022.08.30_16.57.51",7.074314,43.616929,63.0,4G,LTE,-84.0,-8.0,19.0,13.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Ae30
