Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.26_14.58.19",7.117936,43.585728,63.0,4G,LTE,-75.0,-7.0,18.0,9.0,-63,41.0,10.0,169.0,169.0,D,LOG START,4Ai26
"
2022.08.26_14.58.19",7.117936,43.585728,63.0,4G,LTE,-81.0,-9.0,10.0,9.0,-63,41.0,10.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.20",7.117936,43.585728,63.0,4G,LTE,-81.0,-9.0,10.0,9.0,-60,72.0,28.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.21",7.117936,43.585728,63.0,4G,LTE,-78.0,-7.0,16.0,12.0,-63,0.0,0.0,169.0,169.0,I,PERIODIC,4Ai26
"
2022.08.26_14.58.22",7.118811999999999,43.586363,63.0,4G,LTE,-78.0,-7.0,16.0,11.0,-57,0.0,0.0,169.0,169.0,I,PERIODIC,4Ai26
"
2022.08.26_14.58.23",7.118811999999999,43.586363,63.0,4G,LTE,-73.0,-9.0,13.0,14.0,-59,0.0,0.0,169.0,169.0,I,PERIODIC,4Ai26
"
2022.08.26_14.58.24",7.118811999999999,43.586363,63.0,4G,LTE,-73.0,-9.0,13.0,10.0,-57,0.0,1.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.25",7.118811999999999,43.586363,63.0,4G,LTE,-73.0,-7.0,16.0,10.0,-57,18.0,1.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.26",7.118811999999999,43.586363,63.0,4G,LTE,-73.0,-7.0,16.0,10.0,-62,0.0,0.0,169.0,169.0,I,PERIODIC,4Ai26
"
2022.08.26_14.58.27",7.118811999999999,43.586363,63.0,4G,LTE,-76.0,-7.0,23.0,9.0,-62,0.0,0.0,169.0,169.0,I,PERIODIC,4Ai26
"
2022.08.26_14.58.28",7.120082000000001,43.584311,63.0,4G,LTE,-76.0,-7.0,23.0,9.0,-65,0.0,0.0,169.0,169.0,I,PERIODIC,4Ai26
"
2022.08.26_14.58.29",7.120082000000001,43.584311,63.0,4G,LTE,-80.0,-7.0,22.0,12.0,-63,0.0,1.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.30",7.120082000000001,43.584311,63.0,4G,LTE,-80.0,-7.0,22.0,12.0,-63,18.0,1.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.31",7.120082000000001,43.584311,63.0,4G,LTE,-80.0,-6.0,24.0,15.0,-61,0.0,0.0,169.0,169.0,I,PERIODIC,4Ai26
"
2022.08.26_14.58.32",7.117936,43.585728,63.0,4G,LTE,-80.0,-6.0,24.0,8.0,-63,0.0,0.0,169.0,169.0,I,PERIODIC,4Ai26
"
2022.08.26_14.58.33",7.117936,43.585728,63.0,4G,LTE,-81.0,-8.0,21.0,8.0,-63,0.0,0.0,169.0,169.0,I,PERIODIC,4Ai26
"
2022.08.26_14.58.34",7.117936,43.585728,63.0,4G,LTE,-81.0,-8.0,21.0,9.0,-65,19.0,2.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.36",7.117936,43.585728,63.0,4G,LTE,-81.0,-9.0,23.0,9.0,-65,0.0,0.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.37",7.117936,43.585728,63.0,4G,LTE,-81.0,-9.0,23.0,9.0,-65,0.0,0.0,169.0,169.0,I,PERIODIC,4Ai26
"
2022.08.26_14.58.37",7.117936,43.585728,63.0,4G,LTE,-81.0,-14.0,21.0,9.0,-65,0.0,0.0,169.0,169.0,I,PERIODIC,4Ai26
"
2022.08.26_14.58.38",7.117936,43.585728,63.0,4G,LTE,-81.0,-14.0,21.0,9.0,-65,16.0,16.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.39",7.117936,43.585728,63.0,4G,LTE,-82.0,-14.0,20.0,9.0,-65,19.0,2.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.41",7.117936,43.585728,63.0,4G,LTE,-82.0,-14.0,20.0,9.0,-65,0.0,0.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.41",7.117936,43.585728,63.0,4G,LTE,-81.0,-8.0,23.0,15.0,-63,0.0,0.0,169.0,169.0,I,PERIODIC,4Ai26
"
2022.08.26_14.58.42",7.117936,43.585728,63.0,4G,LTE,-81.0,-8.0,23.0,9.0,-65,0.0,0.0,169.0,169.0,I,PERIODIC,4Ai26
"
2022.08.26_14.58.43",7.117936,43.585728,63.0,4G,LTE,-84.0,-6.0,28.0,12.0,-67,0.0,0.0,169.0,169.0,I,PERIODIC,4Ai26
"
2022.08.26_14.58.44",7.117936,43.585728,63.0,4G,LTE,-84.0,-6.0,28.0,12.0,-67,19.0,3.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.45",7.117936,43.585728,63.0,4G,LTE,-82.0,-8.0,21.0,12.0,-65,0.0,0.0,169.0,169.0,I,PERIODIC,4Ai26
"
2022.08.26_14.58.46",7.117936,43.585728,63.0,4G,LTE,-82.0,-8.0,21.0,12.0,-65,19.0,13.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.47",7.117936,43.585728,63.0,4G,LTE,-83.0,-8.0,11.0,12.0,-65,15.0,9.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.48",7.117936,43.585728,63.0,4G,LTE,-83.0,-8.0,11.0,12.0,-65,14.0,7.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.50",7.117936,43.585728,63.0,4G,LTE,-83.0,-8.0,20.0,12.0,-65,19.0,3.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.51",7.117936,43.585728,63.0,4G,LTE,-83.0,-8.0,20.0,12.0,-65,158.0,88.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.52",7.117936,43.585728,63.0,4G,LTE,-84.0,-13.0,11.0,15.0,-65,75.0,23.0,169.0,169.0,D,PERIODIC,4Ai26
"
2022.08.26_14.58.52",7.117936,43.585728,63.0,4G,LTE,-84.0,-13.0,11.0,9.0,-63,0.0,0.0,169.0,169.0,I,PERIODIC,4Ai26
