Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.31_18.00.57",7.076318,43.618632,4G,LTE,-92.0,-6.0,22.0,12.0,-76,19.0,2.0,182.0,182.0,D,LOG START,4Ar31
"
2022.08.31_18.00.57",7.076318,43.618632,4G,LTE,-92.0,-6.0,22.0,13.0,-74,0.0,0.0,182.0,182.0,D,PERIODIC,4Ar31
"
2022.08.31_18.00.59",7.076318,43.618632,4G,LTE,-91.0,-5.0,21.0,13.0,-74,0.0,0.0,182.0,182.0,I,PERIODIC,4Ar31
"
2022.08.31_18.00.59",7.076318,43.618632,4G,LTE,-91.0,-5.0,21.0,11.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Ar31
"
2022.08.31_18.01.00",7.076318,43.618632,4G,LTE,-90.0,-5.0,21.0,11.0,-,18.0,23.0,182.0,182.0,D,PERIODIC,4Ar31
"
2022.08.31_18.01.01",7.076318,43.618632,4G,LTE,-90.0,-5.0,21.0,10.0,-,0.0,1.0,182.0,182.0,D,PERIODIC,4Ar31
"
2022.08.31_18.01.03",7.076318,43.618632,4G,LTE,-89.0,-12.0,20.0,10.0,-74,18.0,1.0,182.0,182.0,D,PERIODIC,4Ar31
"
2022.08.31_18.01.03",7.076318,43.618632,4G,LTE,-89.0,-12.0,20.0,11.0,-76,7.0,18.0,182.0,182.0,D,PERIODIC,4Ar31
"
2022.08.31_18.01.05",7.076318,43.618632,4G,LTE,-92.0,-7.0,21.0,11.0,-76,42.0,30.0,182.0,182.0,D,PERIODIC,4Ar31
"
2022.08.31_18.01.05",7.076318,43.618632,4G,LTE,-92.0,-7.0,21.0,11.0,-76,0.0,0.0,182.0,182.0,D,PERIODIC,4Ar31
"
2022.08.31_18.01.07",7.076318,43.618632,4G,LTE,-93.0,-6.0,19.0,11.0,-76,19.0,2.0,182.0,182.0,D,PERIODIC,4Ar31
"
2022.08.31_18.01.08",7.076318,43.618632,4G,LTE,-93.0,-6.0,19.0,11.0,-76,0.0,0.0,182.0,182.0,D,PERIODIC,4Ar31
"
2022.08.31_18.01.09",7.076318,43.618632,4G,LTE,-94.0,-6.0,11.0,11.0,-76,0.0,0.0,182.0,182.0,I,PERIODIC,4Ar31
"
2022.08.31_18.01.10",7.076318,43.618632,4G,LTE,-94.0,-6.0,11.0,11.0,-76,9.0,4.0,182.0,182.0,D,PERIODIC,4Ar31
"
2022.08.31_18.01.11",7.076318,43.618632,4G,LTE,-94.0,-7.0,11.0,11.0,-76,55.0,38.0,182.0,182.0,D,PERIODIC,4Ar31
"
2022.08.31_18.01.12",7.076318,43.618632,4G,LTE,-94.0,-7.0,11.0,11.0,-76,90.0,23.0,182.0,182.0,D,PERIODIC,4Ar31
"
2022.08.31_18.01.13",7.076318,43.618632,4G,LTE,-94.0,-6.0,22.0,11.0,-76,0.0,0.0,182.0,182.0,D,PERIODIC,4Ar31
"
2022.08.31_18.01.14",7.076318,43.618632,4G,LTE,-94.0,-6.0,22.0,12.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Ar31
"
2022.08.31_18.01.15",7.076318,43.618632,4G,LTE,-90.0,-8.0,18.0,12.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Ar31
"
2022.08.31_18.01.16",7.076318,43.618632,4G,LTE,-90.0,-8.0,18.0,11.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Ar31
"
2022.08.31_18.01.17",7.076318,43.618632,4G,LTE,-92.0,-6.0,18.0,11.0,-,20.0,3.0,182.0,182.0,D,PERIODIC,4Ar31
"
2022.08.31_18.01.18",7.076318,43.618632,4G,LTE,-92.0,-6.0,18.0,10.0,-74,0.0,0.0,182.0,182.0,D,PERIODIC,4Ar31
"
2022.08.31_18.01.19",7.076318,43.618632,4G,LTE,-91.0,-8.0,16.0,9.0,-76,0.0,0.0,182.0,182.0,I,PERIODIC,4Ar31
"
2022.08.31_18.01.20",7.076318,43.618632,4G,LTE,-91.0,-8.0,16.0,9.0,-76,0.0,0.0,182.0,182.0,I,PERIODIC,4Ar31
"
2022.08.31_18.01.21",7.076318,43.618632,4G,LTE,-92.0,-6.0,21.0,9.0,-76,0.0,0.0,182.0,182.0,I,PERIODIC,4Ar31
"
2022.08.31_18.01.22",7.076318,43.618632,4G,LTE,-92.0,-6.0,21.0,9.0,-76,19.0,3.0,182.0,182.0,D,PERIODIC,4Ar31
"
2022.08.31_18.01.23",7.076318,43.618632,4G,LTE,-93.0,-7.0,22.0,9.0,-76,0.0,0.0,182.0,182.0,D,PERIODIC,4Ar31
"
2022.08.31_18.01.24",7.076318,43.618632,4G,LTE,-93.0,-7.0,22.0,10.0,-74,0.0,0.0,182.0,182.0,I,PERIODIC,4Ar31
