Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.10_18.26.46",7.088774000000001,43.602543,61.0,4G,LTE,-103.0,-11.0,5.0,7.0,-84,0.0,0.0,214.0,214.0,I,LOG START,4At
"
2022.09.10_18.26.47",7.088774000000001,43.602543,61.0,4G,LTE,-100.0,-11.0,5.0,11.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4At
"
2022.09.10_18.26.48",7.088774000000001,43.602543,61.0,4G,LTE,-100.0,-11.0,5.0,8.0,-88,0.0,0.0,214.0,214.0,I,PERIODIC,4At
"
2022.09.10_18.26.49",7.088774000000001,43.602543,61.0,4G,LTE,-105.0,-9.0,5.0,8.0,-88,4.0,1.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.26.50",7.088774000000001,43.602543,61.0,4G,LTE,-105.0,-9.0,5.0,13.0,-86,102.0,19.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.26.51",7.088774000000001,43.602543,61.0,4G,LTE,-105.0,-9.0,5.0,13.0,-86,0.0,0.0,214.0,214.0,I,PERIODIC,4At
"
2022.09.10_18.26.52",7.088774000000001,43.602543,61.0,4G,LTE,-104.0,-10.0,8.0,7.0,-88,57.0,24.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.26.53",7.088774000000001,43.602543,61.0,4G,LTE,-104.0,-10.0,8.0,7.0,-88,7.0,7.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.26.54",7.088774000000001,43.602543,61.0,4G,LTE,-105.0,-10.0,3.0,7.0,-88,74.0,44.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.26.55",7.088774000000001,43.602543,61.0,4G,LTE,-105.0,-10.0,3.0,7.0,-88,5.0,0.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.26.56",7.088774000000001,43.602543,61.0,4G,LTE,-105.0,-13.0,9.0,7.0,-88,0.0,0.0,214.0,214.0,I,PERIODIC,4At
"
2022.09.10_18.26.57",7.088774000000001,43.602543,61.0,4G,LTE,-105.0,-13.0,9.0,7.0,-88,0.0,0.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.26.58",7.088774000000001,43.602543,61.0,4G,LTE,-105.0,-13.0,9.0,7.0,-88,18.0,2.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.26.59",7.088774000000001,43.602543,61.0,4G,LTE,-103.0,-13.0,6.0,8.0,-88,4.0,23.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.27.00",7.088774000000001,43.602543,61.0,4G,LTE,-103.0,-13.0,6.0,11.0,-,56.0,21.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.27.01",7.088774000000001,43.602543,61.0,4G,LTE,-100.0,-7.0,6.0,12.0,-,18.0,9.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.27.02",7.088774000000001,43.602543,61.0,4G,LTE,-100.0,-7.0,6.0,9.0,-87,23.0,10.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.27.03",7.088774000000001,43.602543,61.0,4G,LTE,-104.0,-9.0,7.0,10.0,-85,98.0,25.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.27.05",7.088774000000001,43.602543,61.0,4G,LTE,-104.0,-9.0,7.0,10.0,-85,348.0,195.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.27.05",7.088774000000001,43.602543,61.0,4G,LTE,-103.0,-10.0,4.0,10.0,-83,104.0,9.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.27.06",7.088774000000001,43.602543,61.0,4G,LTE,-103.0,-10.0,4.0,12.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4At
"
2022.09.10_18.27.07",7.088774000000001,43.602543,61.0,4G,LTE,-100.0,-10.0,10.0,12.0,-90,0.0,0.0,214.0,214.0,I,PERIODIC,4At
"
2022.09.10_18.27.08",7.088774000000001,43.602543,61.0,4G,LTE,-100.0,-10.0,10.0,12.0,-90,0.0,1.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.27.09",7.088774000000001,43.602543,61.0,4G,LTE,-107.0,-8.0,14.0,8.0,-86,18.0,1.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.27.10",7.088774000000001,43.602543,61.0,4G,LTE,-107.0,-8.0,14.0,14.0,-84,0.0,0.0,214.0,214.0,I,PERIODIC,4At
"
2022.09.10_18.27.11",7.088774000000001,43.602543,61.0,4G,LTE,-103.0,-9.0,9.0,8.0,-86,0.0,0.0,214.0,214.0,I,PERIODIC,4At
"
2022.09.10_18.27.12",7.088774000000001,43.602543,61.0,4G,LTE,-103.0,-9.0,9.0,8.0,-86,0.0,0.0,214.0,214.0,I,PERIODIC,4At
"
2022.09.10_18.27.13",7.088774000000001,43.602543,61.0,4G,LTE,-103.0,-9.0,9.0,8.0,-86,18.0,2.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.27.14",7.088774000000001,43.602543,61.0,4G,LTE,-102.0,-9.0,15.0,9.0,-84,0.0,0.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.27.15",7.088774000000001,43.602543,61.0,4G,LTE,-102.0,-9.0,15.0,9.0,-89,0.0,0.0,214.0,214.0,I,PERIODIC,4At
"
2022.09.10_18.27.16",7.088774000000001,43.602543,61.0,4G,LTE,-104.0,-13.0,6.0,9.0,-89,0.0,0.0,214.0,214.0,I,PERIODIC,4At
"
2022.09.10_18.27.17",7.088774000000001,43.602543,61.0,4G,LTE,-104.0,-13.0,6.0,11.0,-87,0.0,0.0,214.0,214.0,I,PERIODIC,4At
"
2022.09.10_18.27.18",7.088774000000001,43.602543,61.0,4G,LTE,-104.0,-9.0,10.0,5.0,-83,18.0,3.0,214.0,214.0,D,PERIODIC,4At
"
2022.09.10_18.27.19",7.088774000000001,43.602543,61.0,4G,LTE,-104.0,-9.0,10.0,5.0,-83,0.0,0.0,214.0,214.0,I,PERIODIC,4At
"
2022.09.10_18.27.20",7.088774000000001,43.602543,61.0,4G,LTE,-99.0,-9.0,8.0,5.0,-83,0.0,0.0,214.0,214.0,I,PERIODIC,4At
"
2022.09.10_18.27.21",7.088774000000001,43.602543,61.0,4G,LTE,-99.0,-9.0,8.0,9.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4At
