Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.30_17.09.41",7.074314,43.616929,4G,LTE,-89.0,-17.0,0.0,6.0,-72,4.0,5.0,182.0,182.0,D,LOG START,4At30
"
2022.08.30_17.09.42",7.074314,43.616929,4G,LTE,-89.0,-17.0,0.0,7.0,-69,4.0,5.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.09.43",7.074314,43.616929,4G,LTE,-87.0,-17.0,-1.0,7.0,-69,3.0,5.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.09.44",7.074314,43.616929,4G,LTE,-87.0,-17.0,-1.0,7.0,-69,23.0,8.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.09.45",7.074314,43.616929,4G,LTE,-86.0,-15.0,2.0,8.0,-71,3.0,5.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.09.46",7.074314,43.616929,4G,LTE,-86.0,-15.0,2.0,6.0,-69,3.0,5.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.09.47",7.074314,43.616929,4G,LTE,-86.0,-17.0,-1.0,5.0,-66,4.0,6.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.09.48",7.074314,43.616929,4G,LTE,-86.0,-17.0,-1.0,8.0,-68,4.0,5.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.09.49",7.074314,43.616929,4G,LTE,-84.0,-16.0,2.0,8.0,-68,532.0,111.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.09.50",7.074314,43.616929,4G,LTE,-84.0,-16.0,2.0,7.0,-64,448.0,35.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.09.51",7.074314,43.616929,4G,LTE,-82.0,-14.0,0.0,7.0,-64,4.0,5.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.09.52",7.074314,43.616929,4G,LTE,-82.0,-14.0,0.0,6.0,-67,4.0,6.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.09.53",7.074314,43.616929,4G,LTE,-84.0,-17.0,-2.0,7.0,-64,4.0,5.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.09.54",7.074314,43.616929,4G,LTE,-84.0,-17.0,-2.0,9.0,-62,23.0,8.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.09.55",7.074314,43.616929,4G,LTE,-82.0,-16.0,-2.0,8.0,-65,3.0,5.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.09.56",7.074314,43.616929,4G,LTE,-82.0,-16.0,-2.0,8.0,-65,3.0,9.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.09.57",7.074314,43.616929,4G,LTE,-87.0,-15.0,-1.0,6.0,-70,76.0,47.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.09.58",7.074314,43.616929,4G,LTE,-87.0,-15.0,-1.0,7.0,-67,20.0,10.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.09.59",7.074314,43.616929,4G,LTE,-84.0,-16.0,-2.0,5.0,-70,34.0,41.0,182.0,182.0,D,PERIODIC,4At30
"
2022.08.30_17.10.00",7.074314,43.616929,4G,LTE,-84.0,-16.0,-2.0,5.0,-70,0.0,0.0,182.0,182.0,I,PERIODIC,4At30
"
2022.08.30_17.10.01",7.074314,43.616929,4G,LTE,-88.0,-17.0,-3.0,5.0,-70,0.0,0.0,182.0,182.0,I,PERIODIC,4At30
