Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.29_19.25.44",7.074215,43.616821,71.0,4G,LTE,-91.0,-14.0,-2.0,9.0,-,20.0,3.0,182.0,182.0,D,LOG START,4Av29
"
2022.08.29_19.25.45",7.074215,43.616821,71.0,4G,LTE,-91.0,-14.0,-2.0,8.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Av29
"
2022.08.29_19.25.46",7.074215,43.616821,71.0,4G,LTE,-90.0,-15.0,-1.0,5.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Av29
"
2022.08.29_19.25.47",7.074215,43.616821,71.0,4G,LTE,-90.0,-15.0,-1.0,8.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Av29
"
2022.08.29_19.25.48",7.074215,43.616821,71.0,4G,LTE,-90.0,-16.0,0.0,8.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Av29
"
2022.08.29_19.25.49",7.074215,43.616821,71.0,4G,LTE,-90.0,-16.0,0.0,8.0,-,20.0,3.0,182.0,182.0,D,PERIODIC,4Av29
"
2022.08.29_19.25.50",7.074215,43.616821,71.0,4G,LTE,-92.0,-15.0,1.0,10.0,-,0.0,0.0,182.0,182.0,D,PERIODIC,4Av29
"
2022.08.29_19.25.51",7.074215,43.616821,71.0,4G,LTE,-92.0,-15.0,1.0,12.0,-72,0.0,0.0,182.0,182.0,I,PERIODIC,4Av29
"
2022.08.29_19.25.52",7.074215,43.616821,71.0,4G,LTE,-90.0,-14.0,5.0,13.0,-74,0.0,0.0,182.0,182.0,I,PERIODIC,4Av29
"
2022.08.29_19.25.53",7.074215,43.616821,71.0,4G,LTE,-90.0,-14.0,5.0,10.0,-,0.0,1.0,182.0,182.0,D,PERIODIC,4Av29
"
2022.08.29_19.25.54",7.074215,43.616821,71.0,4G,LTE,-92.0,-14.0,2.0,7.0,-,18.0,1.0,182.0,182.0,D,PERIODIC,4Av29
"
2022.08.29_19.25.55",7.074215,43.616821,71.0,4G,LTE,-92.0,-14.0,2.0,5.0,-74,0.0,0.0,182.0,182.0,I,PERIODIC,4Av29
"
2022.08.29_19.25.56",7.074215,43.616821,71.0,4G,LTE,-90.0,-15.0,1.0,6.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Av29
"
2022.08.29_19.25.57",7.074215,43.616821,71.0,4G,LTE,-90.0,-15.0,1.0,6.0,-,17.0,23.0,182.0,182.0,D,PERIODIC,4Av29
"
2022.08.29_19.25.58",7.074215,43.616821,71.0,4G,LTE,-92.0,-15.0,-1.0,6.0,-,19.0,3.0,182.0,182.0,D,PERIODIC,4Av29
"
2022.08.29_19.25.59",7.074215,43.616821,71.0,4G,LTE,-92.0,-15.0,-1.0,6.0,-,19.0,12.0,182.0,182.0,D,PERIODIC,4Av29
"
2022.08.29_19.26.00",7.074215,43.616821,71.0,4G,LTE,-93.0,-15.0,3.0,8.0,-74,1.0,2.0,182.0,182.0,D,PERIODIC,4Av29
"
2022.08.29_19.26.01",7.074215,43.616821,71.0,4G,LTE,-93.0,-15.0,3.0,8.0,-74,11.0,1.0,182.0,182.0,D,PERIODIC,4Av29
"
2022.08.29_19.26.02",7.074215,43.616821,71.0,4G,LTE,-91.0,-15.0,2.0,8.0,-,143.0,87.0,182.0,182.0,D,PERIODIC,4Av29
"
2022.08.29_19.26.03",7.074215,43.616821,71.0,4G,LTE,-91.0,-15.0,2.0,8.0,-,33.0,6.0,182.0,182.0,D,PERIODIC,4Av29
"
2022.08.29_19.26.04",7.074215,43.616821,71.0,4G,LTE,-90.0,-15.0,-1.0,6.0,-,0.0,0.0,182.0,182.0,D,PERIODIC,4Av29
"
2022.08.29_19.26.05",7.074215,43.616821,71.0,4G,LTE,-90.0,-15.0,-1.0,6.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Av29
"
2022.08.29_19.26.06",7.074215,43.616821,71.0,4G,LTE,-92.0,-14.0,4.0,6.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Av29
"
2022.08.29_19.26.07",7.074215,43.616821,71.0,4G,LTE,-92.0,-14.0,4.0,10.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Av29
"
2022.08.29_19.26.08",7.074215,43.616821,71.0,4G,LTE,-90.0,-14.0,3.0,11.0,-72,19.0,2.0,182.0,182.0,D,PERIODIC,4Av29
"
2022.08.29_19.26.09",7.074215,43.616821,71.0,4G,LTE,-90.0,-14.0,3.0,5.0,-,0.0,0.0,182.0,182.0,D,PERIODIC,4Av29
"
2022.08.29_19.26.10",7.074215,43.616821,71.0,4G,LTE,-91.0,-12.0,-1.0,5.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Av29
"
2022.08.29_19.26.11",7.074215,43.616821,71.0,4G,LTE,-91.0,-12.0,-1.0,5.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Av29
"
2022.08.29_19.26.12",7.074215,43.616821,71.0,4G,LTE,-90.0,-16.0,-1.0,5.0,-75,0.0,0.0,182.0,182.0,I,PERIODIC,4Av29
"
2022.08.29_19.26.13",7.074215,43.616821,71.0,4G,LTE,-90.0,-16.0,-1.0,8.0,-,19.0,3.0,182.0,182.0,D,PERIODIC,4Av29
