Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.29_19.31.34",7.074215,43.616821,71.0,4G,LTE,-84.0,-12.0,7.0,9.0,-73.0,0.0,1.0,182.0,182.0,D,LOG START,4Ay29
"
2022.08.29_19.31.34",7.074215,43.616821,71.0,4G,LTE,-89.0,-15.0,4.0,9.0,-73.0,18.0,1.0,182.0,182.0,D,PERIODIC,4Ay29
"
2022.08.29_19.31.35",7.074215,43.616821,71.0,4G,LTE,-89.0,-15.0,4.0,7.0,-71.0,0.0,0.0,182.0,182.0,I,PERIODIC,4Ay29
"
2022.08.29_19.31.36",7.074215,43.616821,71.0,4G,LTE,-89.0,-12.0,4.0,7.0,-71.0,0.0,0.0,182.0,182.0,I,PERIODIC,4Ay29
"
2022.08.29_19.31.37",7.074215,43.616821,71.0,4G,LTE,-89.0,-12.0,4.0,7.0,-71.0,1.0,0.0,182.0,182.0,D,PERIODIC,4Ay29
"
2022.08.29_19.31.38",7.074215,43.616821,71.0,4G,LTE,-88.0,-12.0,5.0,7.0,-71.0,0.0,1.0,182.0,182.0,D,PERIODIC,4Ay29
"
2022.08.29_19.31.39",7.074215,43.616821,71.0,4G,LTE,-88.0,-12.0,5.0,7.0,-71.0,0.0,0.0,182.0,182.0,D,PERIODIC,4Ay29
"
2022.08.29_19.31.40",7.074215,43.616821,71.0,4G,LTE,-89.0,-11.0,2.0,7.0,-71.0,0.0,0.0,182.0,182.0,I,PERIODIC,4Ay29
"
2022.08.29_19.31.41",7.074215,43.616821,71.0,4G,LTE,-89.0,-11.0,2.0,7.0,-71.0,0.0,0.0,182.0,182.0,I,PERIODIC,4Ay29
"
2022.08.29_19.31.42",7.074215,43.616821,71.0,4G,LTE,-87.0,-10.0,8.0,7.0,-71.0,0.0,0.0,182.0,182.0,I,PERIODIC,4Ay29
"
2022.08.29_19.31.43",7.074215,43.616821,71.0,4G,LTE,-87.0,-10.0,8.0,7.0,-71.0,20.0,3.0,182.0,182.0,D,PERIODIC,4Ay29
"
2022.08.29_19.31.44",7.074215,43.616821,71.0,4G,LTE,-88.0,-10.0,6.0,7.0,-71.0,0.0,0.0,182.0,182.0,D,PERIODIC,4Ay29
"
2022.08.29_19.31.45",7.074215,43.616821,71.0,4G,LTE,-88.0,-10.0,6.0,7.0,-71.0,0.0,0.0,182.0,182.0,I,PERIODIC,4Ay29
