Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.12_13.26.05",7.068973,43.615305,82.0,4G,LTE,-107.0,-11.0,7.0,8.0,-90,0.0,0.0,182.0,182.0,I,LOG START,4I12
"
2022.09.12_13.26.06",7.068973,43.615305,82.0,4G,LTE,-109.0,-12.0,6.0,11.0,-94,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.26.07",7.068973,43.615305,82.0,4G,LTE,-109.0,-12.0,6.0,10.0,-91,18.0,3.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.08",7.068973,43.615305,82.0,4G,LTE,-109.0,-13.0,8.0,12.0,-91,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.26.09",7.068973,43.615305,82.0,4G,LTE,-109.0,-13.0,8.0,13.0,-89,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.26.10",7.068973,43.615305,82.0,4G,LTE,-105.0,-14.0,10.0,14.0,-87,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.26.11",7.068973,43.615305,82.0,4G,LTE,-105.0,-14.0,10.0,14.0,-87,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.26.12",7.068973,43.615305,82.0,4G,LTE,-106.0,-12.0,9.0,7.0,-89,20.0,3.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.13",7.068973,43.615305,82.0,4G,LTE,-106.0,-12.0,9.0,7.0,-89,132.0,76.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.14",7.068973,43.615305,82.0,4G,LTE,-105.0,-12.0,7.0,7.0,-89,662.0,98.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.15",7.068973,43.615305,82.0,4G,LTE,-105.0,-12.0,7.0,7.0,-89,0.0,0.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.16",7.068973,43.615305,82.0,4G,LTE,-103.0,-13.0,10.0,11.0,-87,18.0,19.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.17",7.068973,43.615305,82.0,4G,LTE,-103.0,-13.0,10.0,11.0,-87,86.0,28.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.18",7.068973,43.615305,82.0,4G,LTE,-103.0,-13.0,11.0,14.0,-85,0.0,0.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.19",7.068973,43.615305,82.0,4G,LTE,-103.0,-13.0,11.0,14.0,-85,58.0,21.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.20",7.068973,43.615305,82.0,4G,LTE,-106.0,-13.0,10.0,11.0,-89,0.0,0.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.21",7.068973,43.615305,82.0,4G,LTE,-106.0,-13.0,10.0,12.0,-87,2.0,2.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.22",7.068973,43.615305,82.0,4G,LTE,-103.0,-13.0,13.0,12.0,-87,64.0,13.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.23",7.068973,43.615305,82.0,4G,LTE,-103.0,-13.0,13.0,12.0,-87,81.0,22.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.24",7.068973,43.615305,82.0,4G,LTE,-103.0,-13.0,7.0,12.0,-87,3.0,0.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.25",7.068973,43.615305,82.0,4G,LTE,-103.0,-13.0,7.0,12.0,-87,57.0,89.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.26",7.068973,43.615305,82.0,4G,LTE,-105.0,-14.0,5.0,12.0,-87,155.0,104.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.27",7.068973,43.615305,82.0,4G,LTE,-105.0,-14.0,5.0,12.0,-87,20.0,4.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.28",7.068973,43.615305,82.0,4G,LTE,-103.0,-12.0,13.0,12.0,-87,3093.0,354.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.29",7.068973,43.615305,82.0,4G,LTE,-103.0,-12.0,13.0,12.0,-87,184.0,13.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.32",7.068973,43.615305,82.0,4G,LTE,-104.0,-13.0,10.0,12.0,-87,328.0,84.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.32",7.068973,43.615305,82.0,4G,LTE,-104.0,-13.0,10.0,12.0,-87,328.0,84.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.33",7.068973,43.615305,82.0,4G,LTE,-103.0,-14.0,8.0,12.0,-87,152.0,30.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.34",7.068973,43.615305,82.0,4G,LTE,-103.0,-14.0,8.0,12.0,-87,0.0,0.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.35",7.068973,43.615305,82.0,4G,LTE,-104.0,-13.0,8.0,12.0,-87,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.26.36",7.068973,43.615305,82.0,4G,LTE,-104.0,-13.0,8.0,12.0,-87,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.26.37",7.068973,43.615305,82.0,4G,LTE,-105.0,-13.0,7.0,12.0,-87,18.0,2.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.38",7.068973,43.615305,82.0,4G,LTE,-105.0,-13.0,7.0,11.0,-87,0.0,0.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.39",7.068973,43.615305,82.0,4G,LTE,-105.0,-12.0,5.0,6.0,-85,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.26.40",7.068973,43.615305,82.0,4G,LTE,-105.0,-12.0,5.0,6.0,-85,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.26.41",7.068973,43.615305,82.0,4G,LTE,-102.0,-12.0,7.0,6.0,-85,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.26.42",7.068973,43.615305,82.0,4G,LTE,-102.0,-12.0,7.0,6.0,-85,18.0,3.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.43",7.068973,43.615305,82.0,4G,LTE,-103.0,-13.0,5.0,6.0,-85,0.0,0.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.44",7.068973,43.615305,82.0,4G,LTE,-103.0,-13.0,5.0,6.0,-85,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.26.45",7.068973,43.615305,82.0,4G,LTE,-102.0,-11.0,4.0,6.0,-85,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.26.46",7.068973,43.615305,82.0,4G,LTE,-102.0,-11.0,4.0,6.0,-85,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.26.47",7.068973,43.615305,82.0,4G,LTE,-101.0,-10.0,4.0,6.0,-85,18.0,3.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.48",7.068973,43.615305,82.0,4G,LTE,-101.0,-10.0,4.0,6.0,-85,0.0,0.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.49",7.068973,43.615305,82.0,4G,LTE,-101.0,-11.0,3.0,6.0,-85,23.0,27.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.50",7.068973,43.615305,82.0,4G,LTE,-101.0,-11.0,3.0,6.0,-85,0.0,0.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.51",7.068973,43.615305,82.0,4G,LTE,-101.0,-11.0,4.0,6.0,-85,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.26.52",7.068973,43.615305,82.0,4G,LTE,-101.0,-11.0,4.0,6.0,-85,18.0,3.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.53",7.068973,43.615305,82.0,4G,LTE,-102.0,-11.0,3.0,6.0,-85,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.26.54",7.068973,43.615305,82.0,4G,LTE,-102.0,-11.0,3.0,6.0,-85,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.26.55",7.068973,43.615305,82.0,4G,LTE,-102.0,-11.0,3.0,6.0,-85,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.26.56",7.068973,43.615305,82.0,4G,LTE,-102.0,-11.0,3.0,11.0,-,0.0,0.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.57",7.068973,43.615305,82.0,4G,LTE,-100.0,-11.0,7.0,9.0,-85,18.0,3.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.58",7.068973,43.615305,82.0,4G,LTE,-100.0,-11.0,7.0,11.0,-,0.0,0.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.26.59",7.068973,43.615305,82.0,4G,LTE,-101.0,-12.0,6.0,13.0,-85,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.27.00",7.068973,43.615305,82.0,4G,LTE,-101.0,-12.0,6.0,11.0,-87,0.0,0.0,182.0,182.0,I,PERIODIC,4I12
"
2022.09.12_13.27.01",7.068973,43.615305,82.0,4G,LTE,-104.0,-13.0,1.0,11.0,-87,0.0,0.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.02",7.068973,43.615305,82.0,4G,LTE,-104.0,-13.0,1.0,15.0,-84,24.0,5.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.03",7.068973,43.615305,82.0,4G,LTE,-101.0,-12.0,0.0,15.0,-86,0.0,0.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.04",7.068973,43.615305,82.0,4G,LTE,-101.0,-12.0,0.0,15.0,-86,87.0,27.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.05",7.068973,43.615305,82.0,4G,LTE,-102.0,-11.0,7.0,15.0,-83,772.0,99.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.06",7.068973,43.615305,82.0,4G,LTE,-102.0,-11.0,7.0,15.0,-83,1340.0,363.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.07",7.068973,43.615305,82.0,4G,LTE,-100.0,-12.0,4.0,8.0,-86,2190.0,336.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.08",7.068973,43.615305,82.0,4G,LTE,-100.0,-12.0,4.0,8.0,-86,13261.0,138.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.09",7.068973,43.615305,82.0,4G,LTE,-103.0,-13.0,2.0,8.0,-86,16318.0,375.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.10",7.068973,43.615305,82.0,4G,LTE,-103.0,-13.0,2.0,8.0,-86,12197.0,125.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.11",7.068973,43.615305,82.0,4G,LTE,-103.0,-12.0,3.0,8.0,-86,15058.0,121.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.12",7.068973,43.615305,82.0,4G,LTE,-103.0,-12.0,3.0,8.0,-86,21283.0,146.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.13",7.068973,43.615305,82.0,4G,LTE,-102.0,-12.0,4.0,8.0,-86,14474.0,127.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.15",7.068973,43.615305,82.0,4G,LTE,-102.0,-12.0,4.0,8.0,-86,17797.0,490.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.15",7.068973,43.615305,82.0,4G,LTE,-104.0,-12.0,1.0,8.0,-86,15540.0,132.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.17",7.068973,43.615305,82.0,4G,LTE,-104.0,-12.0,1.0,8.0,-86,14857.0,126.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.17",7.068973,43.615305,82.0,4G,LTE,-102.0,-12.0,1.0,8.0,-86,18655.0,140.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.18",7.068973,43.615305,82.0,4G,LTE,-102.0,-12.0,1.0,8.0,-86,21764.0,145.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.19",7.068973,43.615305,82.0,4G,LTE,-102.0,-13.0,4.0,8.0,-88,21186.0,142.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.20",7.068973,43.615305,82.0,4G,LTE,-102.0,-13.0,4.0,8.0,-88,13871.0,113.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.22",7.068973,43.615305,82.0,4G,LTE,-104.0,-12.0,2.0,9.0,-86,15063.0,162.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.23",7.068973,43.615305,82.0,4G,LTE,-104.0,-12.0,2.0,9.0,-86,16566.0,166.0,182.0,182.0,D,PERIODIC,4I12
"
2022.09.12_13.27.24",7.068973,43.615305,82.0,4G,LTE,-103.0,-12.0,2.0,9.0,-88,13294.0,113.0,182.0,182.0,D,PERIODIC,4I12
