Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.10.20_17.19.41",7.068929,43.615344,4G,LTE,-114.0,-10.0,4.0,12,-51.0,0.0,0.0,181.0,181.0,I,LOG START,4I20o
"
2022.10.20_17.19.42",7.068929,43.615344,4G,LTE,-114.0,-12.0,-12.0,9,-51.0,0.0,0.0,181.0,181.0,D,PERIODIC,4I20o
"
2022.10.20_17.19.42",7.0689470000000005,43.615303000000004,4G,LTE,-114.0,-12.0,-12.0,9,-51.0,0.0,0.0,180.0,180.0,D,,4I20o
"
2022.10.20_17.19.43",7.0689470000000005,43.615303000000004,4G,LTE,-114.0,-12.0,-12.0,9,-51.0,0.0,0.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.19.44",7.0689470000000005,43.615303000000004,4G,LTE,-108.0,-12.0,1.0,11,-109.0,0.0,2.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.19.45",7.0689470000000005,43.615303000000004,4G,LTE,-108.0,-12.0,1.0,11,-109.0,0.0,0.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.19.46",7.0689470000000005,43.615303000000004,4G,LTE,-108.0,-12.0,3.0,-,-109.0,0.0,0.0,180.0,180.0,I,PERIODIC,4I20o
"
2022.10.20_17.19.47",7.0689470000000005,43.615303000000004,4G,LTE,-108.0,-12.0,3.0,-,-113.0,0.0,0.0,180.0,180.0,I,PERIODIC,4I20o
"
2022.10.20_17.19.48",7.0689470000000005,43.615303000000004,4G,LTE,-114.0,-10.0,3.0,9,-59.0,16.0,25.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.19.49",7.0689470000000005,43.615303000000004,4G,LTE,-114.0,-10.0,3.0,9,-59.0,1.0,0.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.19.50",7.0689470000000005,43.615303000000004,4G,LTE,-116.0,-13.0,6.0,8,-53.0,0.0,0.0,180.0,180.0,I,PERIODIC,4I20o
"
2022.10.20_17.19.51",7.0689470000000005,43.615303000000004,4G,LTE,-116.0,-13.0,6.0,8,-53.0,0.0,0.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.19.52",7.0689470000000005,43.615303000000004,4G,LTE,-110.0,-12.0,-10.0,13,-109.0,0.0,0.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.19.53",7.0689470000000005,43.615303000000004,4G,LTE,-110.0,-12.0,-10.0,13,-111.0,0.0,0.0,180.0,180.0,I,PERIODIC,4I20o
"
2022.10.20_17.19.54",7.0689470000000005,43.615303000000004,4G,LTE,-110.0,-13.0,-10.0,13,-111.0,0.0,0.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.19.55",7.0689470000000005,43.615303000000004,4G,LTE,-110.0,-13.0,-10.0,13,-111.0,0.0,0.0,180.0,180.0,I,PERIODIC,4I20o
"
2022.10.20_17.19.56",7.0689470000000005,43.615303000000004,4G,LTE,-109.0,-13.0,-10.0,14,-111.0,75.0,69.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.19.57",7.0689470000000005,43.615303000000004,4G,LTE,-109.0,-13.0,-10.0,14,-111.0,92.0,49.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.19.58",7.0689470000000005,43.615303000000004,4G,LTE,-111.0,-13.0,-3.0,13,-113.0,65.0,45.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.19.59",7.0689470000000005,43.615303000000004,4G,LTE,-111.0,-13.0,-3.0,13,-107.0,223.0,44.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.20.00",7.0689470000000005,43.615303000000004,4G,LTE,-107.0,-10.0,7.0,6,-111.0,0.0,3.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.20.01",7.0689470000000005,43.615303000000004,4G,LTE,-107.0,-10.0,7.0,6,-111.0,55.0,25.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.20.02",7.0689470000000005,43.615303000000004,4G,LTE,-111.0,-12.0,2.0,6,-113.0,658.0,71.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.20.03",7.0689470000000005,43.615303000000004,4G,LTE,-111.0,-12.0,2.0,6,-113.0,6601.0,102.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.20.04",7.0689470000000005,43.615303000000004,4G,LTE,-112.0,-12.0,3.0,5,-113.0,1074.0,279.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.20.05",7.0689470000000005,43.615303000000004,4G,LTE,-112.0,-12.0,3.0,5,-113.0,9945.0,429.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.20.06",7.0689470000000005,43.615303000000004,4G,LTE,-113.0,-13.0,3.0,5,-113.0,12354.0,93.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.20.07",7.0689470000000005,43.615303000000004,4G,LTE,-113.0,-13.0,3.0,5,-111.0,17600.0,131.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.20.08",7.0689470000000005,43.615303000000004,4G,LTE,-113.0,-13.0,3.0,5,-113.0,13130.0,77.0,180.0,180.0,D,PERIODIC,4I20o
"
2022.10.20_17.20.09",7.0689470000000005,43.615303000000004,4G,LTE,-113.0,-12.0,4.0,5,-113.0,2051.0,31.0,180.0,180.0,D,PERIODIC,4I20o
