Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.23_20.28.20",7.042345,43.618803,63.0,4G,LTE,-98.0,-9.0,7.0,13.0,-79,19.0,2.0,181.0,181.0,D,LOG START,4I23s
"
2022.09.23_20.28.20",7.042345,43.618803,63.0,4G,LTE,-97.0,-9.0,7.0,7.0,-81,19.0,2.0,181.0,181.0,D,PERIODIC,4I23s
"
2022.09.23_20.28.21",7.042345,43.618803,63.0,4G,LTE,-97.0,-9.0,7.0,7.0,-81,0.0,0.0,181.0,181.0,D,PERIODIC,4I23s
"
2022.09.23_20.28.22",7.042345,43.618803,63.0,4G,LTE,-97.0,-8.0,10.0,7.0,-81,0.0,0.0,181.0,181.0,I,PERIODIC,4I23s
"
2022.09.23_20.28.23",7.042345,43.618803,63.0,4G,LTE,-97.0,-8.0,10.0,6.0,-79,42.0,7.0,181.0,181.0,D,PERIODIC,4I23s
"
2022.09.23_20.28.24",7.042345,43.618803,63.0,4G,LTE,-97.0,-7.0,9.0,13.0,-81,20.0,23.0,181.0,181.0,D,PERIODIC,4I23s
"
2022.09.23_20.28.25",7.042345,43.618803,63.0,4G,LTE,-97.0,-7.0,9.0,13.0,-81,29.0,3.0,181.0,181.0,D,PERIODIC,4I23s
"
2022.09.23_20.28.26",7.042345,43.618803,63.0,4G,LTE,-96.0,-9.0,7.0,13.0,-79,46.0,43.0,181.0,181.0,D,PERIODIC,4I23s
"
2022.09.23_20.28.27",7.042345,43.618803,63.0,4G,LTE,-96.0,-9.0,7.0,8.0,-81,56.0,23.0,181.0,181.0,D,PERIODIC,4I23s
"
2022.09.23_20.28.28",7.042345,43.618803,63.0,4G,LTE,-98.0,-11.0,8.0,8.0,-81,87.0,44.0,181.0,181.0,D,PERIODIC,4I23s
"
2022.09.23_20.28.29",7.042345,43.618803,63.0,4G,LTE,-98.0,-11.0,8.0,8.0,-81,26.0,5.0,181.0,181.0,D,PERIODIC,4I23s
"
2022.09.23_20.28.30",7.042345,43.618803,63.0,4G,LTE,-97.0,-12.0,9.0,8.0,-81,77.0,22.0,181.0,181.0,D,PERIODIC,4I23s
"
2022.09.23_20.28.31",7.042345,43.618803,63.0,4G,LTE,-97.0,-12.0,9.0,8.0,-83,43.0,5.0,181.0,181.0,D,PERIODIC,4I23s
