Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.26_12.47.30",7.042364,43.618812,4G,LTE,-115.0,-9.0,6.0,10.0,-81,0.0,0.0,194.0,194.0,I,LOG START,4I26s
"
2022.09.26_12.47.30",7.042364,43.618812,4G,LTE,-99.0,-10.0,7.0,10.0,-81,0.0,0.0,194.0,194.0,I,PERIODIC,4I26s
"
2022.09.26_12.47.31",7.042364,43.618812,4G,LTE,-99.0,-10.0,7.0,10.0,-81,0.0,0.0,194.0,194.0,I,PERIODIC,4I26s
"
2022.09.26_12.47.32",7.042364,43.618812,4G,LTE,-99.0,-11.0,9.0,10.0,-81,19.0,3.0,194.0,194.0,D,PERIODIC,4I26s
"
2022.09.26_12.47.33",7.042364,43.618812,4G,LTE,-99.0,-11.0,9.0,11.0,-79,0.0,0.0,194.0,194.0,D,PERIODIC,4I26s
"
2022.09.26_12.47.34",7.042364,43.618812,4G,LTE,-95.0,-12.0,16.0,11.0,-83,0.0,0.0,194.0,194.0,I,PERIODIC,4I26s
"
2022.09.26_12.47.35",7.042364,43.618812,4G,LTE,-95.0,-12.0,16.0,11.0,-79,0.0,0.0,194.0,194.0,I,PERIODIC,4I26s
"
2022.09.26_12.47.36",7.042364,43.618812,4G,LTE,-95.0,-12.0,16.0,12.0,-80,0.0,6.0,194.0,194.0,D,PERIODIC,4I26s
"
2022.09.26_12.47.37",7.042364,43.618812,4G,LTE,-98.0,-8.0,12.0,12.0,-82,32.0,18.0,194.0,194.0,D,PERIODIC,4I26s
"
2022.09.26_12.47.38",7.042364,43.618812,4G,LTE,-98.0,-8.0,12.0,12.0,-82,115.0,18.0,194.0,194.0,D,PERIODIC,4I26s
"
2022.09.26_12.47.39",7.042364,43.618812,4G,LTE,-99.0,-12.0,12.0,12.0,-82,5.0,3.0,194.0,194.0,D,PERIODIC,4I26s
"
2022.09.26_12.47.40",7.042364,43.618812,4G,LTE,-99.0,-12.0,12.0,12.0,-82,59.0,50.0,194.0,194.0,D,PERIODIC,4I26s
"
2022.09.26_12.47.41",7.042364,43.618812,4G,LTE,-98.0,-11.0,9.0,12.0,-82,2.0,3.0,194.0,194.0,D,PERIODIC,4I26s
"
2022.09.26_12.47.42",7.042364,43.618812,4G,LTE,-98.0,-11.0,9.0,12.0,-82,19.0,3.0,194.0,194.0,D,PERIODIC,4I26s
