Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.30_16.17.02",7.075724,43.618369,4G,LTE,-113,-11,-1.0,9,-94,0,0,182,182,I,LOG START,,,,4I30
"
2022.08.30_16.17.02",7.075724,43.618369,4G,LTE,-113,-11,-1.0,10,-94,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.04",7.075724,43.618369,4G,LTE,-111,-14,2.0,8,-,19,3,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.05",7.075724,43.618369,4G,LTE,-111,-14,2.0,8,-,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.06",7.075724,43.618369,4G,LTE,-105,-7,3.0,8,-,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.07",7.075724,43.618369,4G,LTE,-105,-7,3.0,8,-,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.08",7.075724,43.618369,4G,LTE,-105,-7,5.0,8,-,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.08",7.075724,43.618369,4G,LTE,-105,-7,5.0,8,-,19,3,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.10",7.075724,43.618369,4G,LTE,-105,-7,6.0,8,-,19,24,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.10",7.075724,43.618369,4G,LTE,-105,-7,6.0,8,-,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.12",7.075724,43.618369,4G,LTE,-106,-8,2.0,8,-,18,11,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.13",7.075724,43.618369,4G,LTE,-106,-8,2.0,8,-,0,0,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.14",7.075724,43.618369,4G,LTE,-105,-8,5.0,8,-,19,3,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.15",7.075724,43.618369,4G,LTE,-105,-8,5.0,8,-,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.16",7.075724,43.618369,4G,LTE,-106,-7,5.0,13,-92,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.17",7.075724,43.618369,4G,LTE,-106,-7,5.0,13,-92,11,4,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.18",7.075724,43.618369,4G,LTE,-109,-9,2.0,9,-94,56,46,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.19",7.075724,43.618369,4G,LTE,-109,-9,2.0,13,-89,115,17,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.20",7.075724,43.618369,4G,LTE,-108,-7,7.0,13,-91,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.21",7.075724,43.618369,4G,LTE,-108,-7,7.0,13,-91,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.22",7.075724,43.618369,4G,LTE,-110,-12,1.0,10,-93,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.23",7.075724,43.618369,4G,LTE,-110,-12,1.0,10,-,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.24",7.075724,43.618369,4G,LTE,-105,-7,10.0,14,-,19,3,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.25",7.075724,43.618369,4G,LTE,-105,-7,10.0,14,-88,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.26",7.075724,43.618369,4G,LTE,-108,-8,2.0,13,-90,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.27",7.075724,43.618369,4G,LTE,-108,-8,2.0,13,-90,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.28",7.075724,43.618369,4G,LTE,-107,-9,3.0,13,-90,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.29",7.075724,43.618369,4G,LTE,-107,-9,3.0,14,-89,19,3,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.30",7.075724,43.618369,4G,LTE,-105,-7,2.0,13,-87,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.31",7.075724,43.618369,4G,LTE,-105,-7,2.0,13,-87,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.32",7.075724,43.618369,4G,LTE,-105,-8,0.0,13,-87,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.33",7.075724,43.618369,4G,LTE,-105,-8,0.0,10,-89,0,0,182,182,I,PERIODIC,,,,4I30
"
2022.08.30_16.17.34",7.075724,43.618369,4G,LTE,-106,-8,1.0,10,-89,19,3,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.35",7.075724,43.618369,4G,LTE,-106,-8,1.0,10,-89,0,2,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.36",7.075724,43.618369,4G,LTE,-106,-8,-1.0,10,-89,280,39,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.37",7.075724,43.618369,4G,LTE,-106,-8,-1.0,10,-89,329,126,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.38",7.075724,43.618369,4G,LTE,-105,-9,1.0,7,-91,8259,371,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.39",7.075724,43.618369,4G,LTE,-105,-9,1.0,7,-91,1881,101,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.40",7.075724,43.618369,4G,LTE,-105,-9,1.0,7,-91,1505,66,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.41",7.075724,43.618369,4G,LTE,-108,-10,1.0,12,-88,8173,91,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.42",7.075724,43.618369,4G,LTE,-108,-10,1.0,12,-88,20406,134,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.43",7.075724,43.618369,4G,LTE,-105,-12,3.0,12,-88,28267,175,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.44",7.075724,43.618369,4G,LTE,-105,-12,3.0,12,-88,23533,139,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.45",7.075724,43.618369,4G,LTE,-106,-12,7.0,5,-83,18458,97,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.46",7.075724,43.618369,4G,LTE,-106,-12,7.0,5,-83,17081,99,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.47",7.075724,43.618369,4G,LTE,-100,-14,7.0,5,-83,19523,124,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.48",7.075724,43.618369,4G,LTE,-100,-14,7.0,5,-83,15118,82,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.49",7.075724,43.618369,4G,LTE,-100,-12,5.0,5,-83,15668,100,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.50",7.075724,43.618369,4G,LTE,-100,-12,5.0,5,-83,24744,147,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.51",7.075724,43.618369,4G,LTE,-100,-14,7.0,8,-,29509,168,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.52",7.075724,43.618369,4G,LTE,-100,-14,7.0,8,-81,44155,242,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.53",7.075724,43.618369,4G,LTE,-98,-10,9.0,8,-81,34735,202,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.54",7.075724,43.618369,4G,LTE,-98,-10,9.0,5,-83,27534,175,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.55",7.075724,43.618369,4G,LTE,-100,-13,7.0,5,-83,34961,190,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.56",7.075724,43.618369,4G,LTE,-100,-13,7.0,5,-83,26859,163,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.57",7.075724,43.618369,4G,LTE,-100,-13,6.0,5,-83,17946,105,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.58",7.075724,43.618369,4G,LTE,-100,-13,6.0,10,-85,5,6,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.17.59",7.075724,43.618369,4G,LTE,-101,-7,7.0,10,-85,4,6,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.18.00",7.075724,43.618369,4G,LTE,-101,-7,7.0,12,-,35,56,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.18.01",7.075724,43.618369,4G,LTE,-101,-10,10.0,12,-,3,5,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.18.02",7.075724,43.618369,4G,LTE,-101,-10,10.0,12,-,3,5,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.18.03",7.075724,43.618369,4G,LTE,-106,-8,11.0,10,-92,4,7,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.18.04",7.075724,43.618369,4G,LTE,-106,-8,11.0,11,-87,23,7,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.18.05",7.075724,43.618369,4G,LTE,-107,-10,6.0,9,-91,3,5,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.18.06",7.075724,43.618369,4G,LTE,-107,-10,6.0,7,-94,7,14,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.18.07",7.075724,43.618369,4G,LTE,-112,-8,7.0,7,-94,12881,128,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.18.08",7.075724,43.618369,4G,LTE,-112,-8,7.0,9,-90,24767,138,182,182,D,PERIODIC,,,,4I30
"
2022.08.30_16.18.09",7.075724,43.618369,4G,LTE,-107,-9,5.0,9,-90,20092,140,182,182,D,PERIODIC,,,,4I30
