Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.08_15.29.36",7.069214,43.61522,4G,LTE,-104.0,-13.0,9.0,10.0,-82,0.0,0.0,181.0,181.0,I,LOG START,4I7s2
"
2022.09.08_15.29.37",7.069214,43.61522,4G,LTE,-102.0,-13.0,10.0,8.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4I7s2
"
2022.09.08_15.29.37",7.069214,43.61522,4G,LTE,-102.0,-13.0,10.0,12.0,-84,0.0,0.0,181.0,181.0,I,PERIODIC,4I7s2
"
2022.09.08_15.29.39",7.069214,43.61522,4G,LTE,-100.0,-13.0,5.0,12.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4I7s2
"
2022.09.08_15.29.39",7.069214,43.61522,4G,LTE,-100.0,-13.0,5.0,10.0,-85,18.0,3.0,181.0,181.0,D,PERIODIC,4I7s2
"
2022.09.08_15.29.41",7.069214,43.61522,4G,LTE,-105.0,-13.0,7.0,8.0,-85,0.0,0.0,181.0,181.0,I,PERIODIC,4I7s2
"
2022.09.08_15.29.42",7.069214,43.61522,4G,LTE,-105.0,-13.0,7.0,8.0,-87,0.0,0.0,181.0,181.0,I,PERIODIC,4I7s2
"
2022.09.08_15.29.43",7.069214,43.61522,4G,LTE,-103.0,-13.0,3.0,9.0,-85,0.0,0.0,181.0,181.0,I,PERIODIC,4I7s2
"
2022.09.08_15.29.44",7.069214,43.61522,4G,LTE,-103.0,-13.0,3.0,8.0,-87,0.0,0.0,181.0,181.0,I,PERIODIC,4I7s2
"
2022.09.08_15.29.45",7.069214,43.61522,4G,LTE,-103.0,-13.0,9.0,8.0,-82,18.0,2.0,181.0,181.0,D,PERIODIC,4I7s2
"
2022.09.08_15.29.46",7.069214,43.61522,4G,LTE,-103.0,-13.0,9.0,8.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4I7s2
"
2022.09.08_15.29.47",7.069214,43.61522,4G,LTE,-101.0,-13.0,6.0,8.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4I7s2
"
2022.09.08_15.29.48",7.069214,43.61522,4G,LTE,-101.0,-13.0,6.0,8.0,-82,0.0,0.0,181.0,181.0,I,PERIODIC,4I7s2
"
2022.09.08_15.29.49",7.069214,43.61522,4G,LTE,-98.0,-12.0,6.0,8.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4I7s2
"
2022.09.08_15.29.50",7.069214,43.61522,4G,LTE,-98.0,-12.0,6.0,9.0,-,18.0,3.0,181.0,181.0,D,PERIODIC,4I7s2
"
2022.09.08_15.29.51",7.069214,43.61522,4G,LTE,-100.0,-12.0,8.0,9.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4I7s2
"
2022.09.08_15.29.52",7.069214,43.61522,4G,LTE,-100.0,-12.0,8.0,9.0,-86,0.0,0.0,181.0,181.0,I,PERIODIC,4I7s2
