Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.15_08.08.00",7.042317,43.618827,4G,LTE,-105.0,-8.0,7.0,11.0,-90,0.0,0.0,193.0,193.0,I,LOG START,4Iciv15
"
2022.09.15_08.08.01",7.042317,43.618827,4G,LTE,-106.0,-7.0,11.0,11.0,-88,20.0,3.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.02",7.042317,43.618827,4G,LTE,-106.0,-7.0,11.0,15.0,-88,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv15
"
2022.09.15_08.08.03",7.042317,43.618827,4G,LTE,-104.0,-6.0,9.0,13.0,-90,98.0,23.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.04",7.042317,43.618827,4G,LTE,-104.0,-6.0,9.0,13.0,-90,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv15
"
2022.09.15_08.08.05",7.042317,43.618827,4G,LTE,-107.0,-9.0,9.0,13.0,-90,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv15
"
2022.09.15_08.08.06",7.042317,43.618827,4G,LTE,-107.0,-9.0,9.0,13.0,-90,19.0,8.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.07",7.042317,43.618827,4G,LTE,-107.0,-9.0,9.0,12.0,-88,13.0,18.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.08",7.042317,43.618827,4G,LTE,-104.0,-11.0,7.0,12.0,-86,62.0,7.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.09",7.042317,43.618827,4G,LTE,-104.0,-11.0,7.0,12.0,-86,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv15
"
2022.09.15_08.08.10",7.042317,43.618827,4G,LTE,-103.0,-12.0,6.0,12.0,-86,58.0,24.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.11",7.042317,43.618827,4G,LTE,-103.0,-12.0,6.0,13.0,-89,64.0,9.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.12",7.042317,43.618827,4G,LTE,-112.0,-7.0,10.0,12.0,-,6.0,7.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.13",7.042317,43.618827,4G,LTE,-112.0,-7.0,10.0,12.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv15
"
2022.09.15_08.08.14",7.042317,43.618827,4G,LTE,-112.0,-7.0,8.0,12.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv15
"
2022.09.15_08.08.15",7.042317,43.618827,4G,LTE,-112.0,-7.0,8.0,12.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv15
"
2022.09.15_08.08.16",7.042317,43.618827,4G,LTE,-110.0,-7.0,9.0,12.0,-91,19.0,2.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.17",7.042317,43.618827,4G,LTE,-110.0,-7.0,9.0,13.0,-89,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv15
"
2022.09.15_08.08.18",7.042317,43.618827,4G,LTE,-104.0,-7.0,9.0,12.0,-87,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv15
"
2022.09.15_08.08.19",7.042317,43.618827,4G,LTE,-104.0,-7.0,9.0,14.0,-85,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv15
"
2022.09.15_08.08.20",7.042317,43.618827,4G,LTE,-104.0,-7.0,9.0,14.0,-85,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv15
"
2022.09.15_08.08.21",7.042317,43.618827,4G,LTE,-102.0,-9.0,5.0,14.0,-85,19.0,2.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.22",7.042317,43.618827,4G,LTE,-103.0,-8.0,11.0,8.0,-88,3.0,4.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.24",7.042317,43.618827,4G,LTE,-103.0,-8.0,11.0,12.0,-86,136.0,120.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.25",7.042317,43.618827,4G,LTE,-103.0,-7.0,8.0,12.0,-86,131.0,132.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.25",7.042317,43.618827,4G,LTE,-103.0,-7.0,8.0,12.0,-86,3731.0,81.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.26",7.042317,43.618827,4G,LTE,-118.0,-7.0,5.0,4.0,-,18.0,1.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.28",7.042317,43.618827,4G,LTE,-118.0,-7.0,5.0,14.0,-,522.0,239.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.29",7.042317,43.618827,4G,LTE,-95.0,-10.0,1.0,14.0,-79,18.0,5.0,193.0,193.0,D,HANDOVER_DATA_4G4G,4Iciv15
"
2022.09.15_08.08.29",7.042317,43.618827,4G,LTE,-95.0,-10.0,1.0,14.0,-77,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv15
"
2022.09.15_08.08.31",7.042317,43.618827,4G,LTE,-98.0,-9.0,9.0,13.0,-85,0.0,1.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.32",7.042317,43.618827,4G,LTE,-98.0,-9.0,9.0,12.0,-85,18.0,1.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.33",7.042317,43.618827,4G,LTE,-101.0,-9.0,9.0,12.0,-85,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv15
"
2022.09.15_08.08.34",7.042317,43.618827,4G,LTE,-101.0,-9.0,9.0,12.0,-85,1.0,0.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.35",7.042317,43.618827,4G,LTE,-103.0,-7.0,9.0,9.0,-84,0.0,0.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.36",7.042317,43.618827,4G,LTE,-103.0,-7.0,9.0,12.0,-,0.0,1.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.37",7.042317,43.618827,4G,LTE,-102.0,-8.0,7.0,12.0,-,18.0,1.0,193.0,193.0,D,PERIODIC,4Iciv15
"
2022.09.15_08.08.38",7.042317,43.618827,4G,LTE,-102.0,-8.0,7.0,12.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv15
"
2022.09.15_08.08.39",7.042317,43.618827,4G,LTE,-102.0,-8.0,8.0,10.0,-80,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv15
