Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.26_16.32.51",7.042356,43.618801,4G,LTE,-108.0,-8.0,4.0,5.0,-89,0.0,0.0,194.0,194.0,D,LOG START,4Id26s
"
2022.09.26_16.32.52",7.042356,43.618801,4G,LTE,-108.0,-8.0,4.0,12.0,-91,19.0,3.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.32.53",7.042356,43.618801,4G,LTE,-108.0,-8.0,4.0,12.0,-91,0.0,0.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.32.54",7.042356,43.618801,4G,LTE,-109.0,-6.0,6.0,12.0,-91,0.0,0.0,194.0,194.0,I,PERIODIC,4Id26s
"
2022.09.26_16.32.55",7.042356,43.618801,4G,LTE,-109.0,-6.0,6.0,7.0,-93,62.0,71.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.32.56",7.042356,43.618801,4G,LTE,-109.0,-10.0,5.0,5.0,-93,29.0,19.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.32.57",7.042356,43.618801,4G,LTE,-109.0,-10.0,5.0,4.0,-,28.0,8.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.32.58",7.042356,43.618801,4G,LTE,-111.0,-9.0,3.0,9.0,-,19.0,9.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.32.59",7.042356,43.618801,4G,LTE,-111.0,-9.0,3.0,9.0,-,66.0,53.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.00",7.042356,43.618801,4G,LTE,-110.0,-9.0,5.0,9.0,-,792.0,147.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.01",7.042356,43.618801,4G,LTE,-110.0,-9.0,5.0,8.0,-91,0.0,0.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.02",7.042356,43.618801,4G,LTE,-107.0,-10.0,2.0,8.0,-91,19.0,2.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.03",7.042356,43.618801,4G,LTE,-107.0,-10.0,2.0,8.0,-91,0.0,0.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.04",7.042356,43.618801,4G,LTE,-109.0,-10.0,5.0,8.0,-91,0.0,0.0,194.0,194.0,I,PERIODIC,4Id26s
"
2022.09.26_16.33.05",7.042356,43.618801,4G,LTE,-109.0,-10.0,5.0,8.0,-91,0.0,0.0,194.0,194.0,I,PERIODIC,4Id26s
"
2022.09.26_16.33.06",7.042356,43.618801,4G,LTE,-107.0,-8.0,1.0,8.0,-91,0.0,0.0,194.0,194.0,I,PERIODIC,4Id26s
"
2022.09.26_16.33.07",7.042356,43.618801,4G,LTE,-107.0,-8.0,1.0,9.0,-89,20.0,3.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.08",7.042356,43.618801,4G,LTE,-106.0,-9.0,4.0,9.0,-89,0.0,0.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.09",7.042356,43.618801,4G,LTE,-106.0,-9.0,4.0,9.0,-91,0.0,0.0,194.0,194.0,I,PERIODIC,4Id26s
"
2022.09.26_16.33.10",7.042356,43.618801,4G,LTE,-108.0,-7.0,7.0,9.0,-91,0.0,0.0,194.0,194.0,I,PERIODIC,4Id26s
"
2022.09.26_16.33.11",7.042356,43.618801,4G,LTE,-108.0,-7.0,7.0,9.0,-91,0.0,0.0,194.0,194.0,I,PERIODIC,4Id26s
"
2022.09.26_16.33.12",7.042356,43.618801,4G,LTE,-109.0,-6.0,9.0,9.0,-91,19.0,2.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.13",7.042356,43.618801,4G,LTE,-109.0,-6.0,9.0,9.0,-91,0.0,3.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.14",7.042356,43.618801,4G,LTE,-108.0,-8.0,4.0,9.0,-91,586.0,81.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.16",7.042356,43.618801,4G,LTE,-108.0,-8.0,4.0,9.0,-91,782.0,255.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.17",7.042356,43.618801,4G,LTE,-109.0,-5.0,10.0,8.0,-94,25074.0,817.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.17",7.042356,43.618801,4G,LTE,-109.0,-5.0,10.0,8.0,-94,19727.0,304.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.18",7.042356,43.618801,4G,LTE,-109.0,-5.0,10.0,8.0,-94,30721.0,293.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.19",7.042356,43.618801,4G,LTE,-116.0,-12.0,7.0,8.0,-94,69926.0,389.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.20",7.042356,43.618801,4G,LTE,-116.0,-12.0,7.0,6.0,-,61790.0,365.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.21",7.042356,43.618801,4G,LTE,-116.0,-13.0,7.0,6.0,-94,88612.0,458.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.22",7.042356,43.618801,4G,LTE,-116.0,-13.0,7.0,6.0,-94,66711.0,539.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.23",7.042356,43.618801,4G,LTE,-92.0,-13.0,0.0,14.0,-,74819.0,384.0,194.0,194.0,D,HANDOVER_DATA_4G4G,4Id26s
"
2022.09.26_16.33.24",7.042356,43.618801,4G,LTE,-92.0,-13.0,0.0,14.0,-,46079.0,262.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.25",7.042356,43.618801,4G,LTE,-92.0,-11.0,7.0,9.0,-,2546.0,40.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.26",7.042356,43.618801,4G,LTE,-92.0,-11.0,7.0,9.0,-,7.0,10.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.27",7.042356,43.618801,4G,LTE,-93.0,-11.0,7.0,9.0,-,7.0,11.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.28",7.042356,43.618801,4G,LTE,-93.0,-11.0,7.0,11.0,-,7.0,11.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.29",7.042356,43.618801,4G,LTE,-90.0,-9.0,11.0,11.0,-,7.0,11.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.30",7.042356,43.618801,4G,LTE,-90.0,-9.0,11.0,11.0,-,15.0,28.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.31",7.042356,43.618801,4G,LTE,-91.0,-10.0,9.0,11.0,-,8.0,12.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.32",7.042356,43.618801,4G,LTE,-91.0,-10.0,9.0,14.0,-,33.0,34.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.33",7.042356,43.618801,4G,LTE,-92.0,-13.0,10.0,14.0,-,7.0,10.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.35",7.042356,43.618801,4G,LTE,-92.0,-13.0,10.0,14.0,-,7.0,10.0,194.0,194.0,D,PERIODIC,4Id26s
"
2022.09.26_16.33.35",7.042356,43.618801,4G,LTE,-90.0,-13.0,9.0,14.0,-,7.0,10.0,194.0,194.0,D,PERIODIC,4Id26s
