Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.26_16.38.19",7.042371000000001,43.618804,4G,LTE,-88.0,-13.0,4.0,9.0,-70,0.0,1.0,194.0,194.0,D,LOG START,4Ie26s
"
2022.09.26_16.38.19",7.042371000000001,43.618804,4G,LTE,-87.0,-14.0,4.0,9.0,-70,0.0,1.0,194.0,194.0,D,PERIODIC,4Ie26s
"
2022.09.26_16.38.20",7.042371000000001,43.618804,4G,LTE,-87.0,-14.0,4.0,9.0,-70,0.0,0.0,194.0,194.0,D,PERIODIC,4Ie26s
"
2022.09.26_16.38.21",7.042371000000001,43.618804,4G,LTE,-88.0,-12.0,4.0,9.0,-70,0.0,0.0,194.0,194.0,I,PERIODIC,4Ie26s
"
2022.09.26_16.38.22",7.042371000000001,43.618804,4G,LTE,-88.0,-12.0,4.0,9.0,-70,0.0,0.0,194.0,194.0,I,PERIODIC,4Ie26s
"
2022.09.26_16.38.23",7.042371000000001,43.618804,4G,LTE,-88.0,-12.0,4.0,8.0,-72,0.0,0.0,194.0,194.0,I,PERIODIC,4Ie26s
"
2022.09.26_16.38.24",7.042371000000001,43.618804,4G,LTE,-88.0,-13.0,3.0,9.0,-69,19.0,3.0,194.0,194.0,D,PERIODIC,4Ie26s
"
2022.09.26_16.38.25",7.042371000000001,43.618804,4G,LTE,-88.0,-13.0,3.0,9.0,-69,52.0,5.0,194.0,194.0,D,PERIODIC,4Ie26s
"
2022.09.26_16.38.26",7.042371000000001,43.618804,4G,LTE,-87.0,-14.0,4.0,7.0,-71,6.0,16.0,194.0,194.0,D,PERIODIC,4Ie26s
"
2022.09.26_16.38.27",7.042371000000001,43.618804,4G,LTE,-87.0,-14.0,4.0,7.0,-71,0.0,0.0,194.0,194.0,D,PERIODIC,4Ie26s
"
2022.09.26_16.38.28",7.042371000000001,43.618804,4G,LTE,-88.0,-14.0,3.0,7.0,-71,0.0,0.0,194.0,194.0,D,PERIODIC,4Ie26s
"
2022.09.26_16.38.29",7.042371000000001,43.618804,4G,LTE,-88.0,-14.0,3.0,7.0,-71,19.0,6.0,194.0,194.0,D,PERIODIC,4Ie26s
"
2022.09.26_16.38.30",7.042371000000001,43.618804,4G,LTE,-87.0,-13.0,3.0,7.0,-71,0.0,3.0,194.0,194.0,D,PERIODIC,4Ie26s
"
2022.09.26_16.38.31",7.042371000000001,43.618804,4G,LTE,-87.0,-13.0,3.0,7.0,-71,0.0,0.0,194.0,194.0,D,PERIODIC,4Ie26s
