Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.14_23.09.20",7.042348,43.618802,73.0,4G,LTE,-91.0,-9.0,6.0,9.0,-,19.0,3.0,193.0,193.0,D,LOG START,4Ipciv14
"
2022.09.14_23.09.21",7.042348,43.618802,73.0,4G,LTE,-91.0,-9.0,6.0,8.0,-72,0.0,0.0,193.0,193.0,I,PERIODIC,4Ipciv14
"
2022.09.14_23.09.22",7.042348,43.618802,73.0,4G,LTE,-91.0,-9.0,4.0,8.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Ipciv14
"
2022.09.14_23.09.23",7.042348,43.618802,73.0,4G,LTE,-91.0,-9.0,4.0,8.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Ipciv14
"
2022.09.14_23.09.24",7.042348,43.618802,73.0,4G,LTE,-92.0,-11.0,4.0,8.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Ipciv14
"
2022.09.14_23.09.25",7.042348,43.618802,73.0,4G,LTE,-92.0,-11.0,4.0,12.0,-73,79.0,12.0,193.0,193.0,D,PERIODIC,4Ipciv14
"
2022.09.14_23.09.26",7.042348,43.618802,73.0,4G,LTE,-90.0,-9.0,4.0,8.0,-74,0.0,0.0,193.0,193.0,I,PERIODIC,4Ipciv14
"
2022.09.14_23.09.27",7.042348,43.618802,73.0,4G,LTE,-90.0,-9.0,4.0,8.0,-,53.0,6.0,193.0,193.0,D,PERIODIC,4Ipciv14
"
2022.09.14_23.09.28",7.042348,43.618802,73.0,4G,LTE,-92.0,-11.0,5.0,12.0,-75,7.0,18.0,193.0,193.0,D,PERIODIC,4Ipciv14
"
2022.09.14_23.09.29",7.042348,43.618802,73.0,4G,LTE,-92.0,-11.0,5.0,12.0,-,45.0,11.0,193.0,193.0,D,PERIODIC,4Ipciv14
"
2022.09.14_23.09.30",7.042348,43.618802,73.0,4G,LTE,-92.0,-10.0,4.0,8.0,-75,22.0,3.0,193.0,193.0,D,PERIODIC,4Ipciv14
"
2022.09.14_23.09.31",7.042348,43.618802,73.0,4G,LTE,-92.0,-10.0,4.0,8.0,-75,0.0,0.0,193.0,193.0,I,PERIODIC,4Ipciv14
"
2022.09.14_23.09.32",7.042348,43.618802,73.0,4G,LTE,-92.0,-8.0,5.0,8.0,-75,0.0,0.0,193.0,193.0,I,PERIODIC,4Ipciv14
