Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.10.25_10.00.24",7.042350999999999,43.618818,63.0,4G,4G,-102.0,-10.0,9.0,-,-103.0,0.0,0.0,192.0,192.0,I,LOG START,4Ir25o
"
2022.10.25_10.00.25",7.042350999999999,43.618818,63.0,4G,4G,-102.0,-11.0,9.0,-,-103.0,0.0,0.0,192.0,192.0,I,PERIODIC,4Ir25o
"
2022.10.25_10.00.26",7.042350999999999,43.618818,63.0,4G,4G,-102.0,-11.0,9.0,-,-103.0,0.0,0.0,192.0,192.0,I,PERIODIC,4Ir25o
"
2022.10.25_10.00.27",7.042350999999999,43.618818,63.0,4G,4G,-103.0,-11.0,9.0,-,-103.0,0.0,0.0,192.0,192.0,I,PERIODIC,4Ir25o
"
2022.10.25_10.00.28",7.042350999999999,43.618818,63.0,4G,4G,-103.0,-11.0,9.0,-,-103.0,103.0,67.0,192.0,192.0,D,PERIODIC,4Ir25o
"
2022.10.25_10.00.29",7.042350999999999,43.618818,63.0,4G,4G,-101.0,-10.0,8.0,10,-101.0,114.0,40.0,192.0,192.0,D,PERIODIC,4Ir25o
"
2022.10.25_10.00.30",7.042350999999999,43.618818,63.0,4G,4G,-101.0,-10.0,8.0,10,-107.0,1880.0,104.0,192.0,192.0,D,PERIODIC,4Ir25o
"
2022.10.25_10.00.31",7.042350999999999,43.618818,63.0,4G,4G,-103.0,-8.0,9.0,10,-105.0,298.0,78.0,192.0,192.0,D,PERIODIC,4Ir25o
"
2022.10.25_10.00.32",7.042350999999999,43.618818,63.0,4G,4G,-103.0,-8.0,9.0,10,-107.0,496.0,531.0,192.0,192.0,D,PERIODIC,4Ir25o
"
2022.10.25_10.00.33",7.042350999999999,43.618818,63.0,4G,4G,-104.0,-8.0,8.0,14,-105.0,763.0,200.0,192.0,192.0,D,PERIODIC,4Ir25o
"
2022.10.25_10.00.34",7.042350999999999,43.618818,63.0,4G,4G,-104.0,-8.0,8.0,14,-105.0,298.0,319.0,192.0,192.0,D,PERIODIC,4Ir25o
"
2022.10.25_10.00.35",7.042350999999999,43.618818,63.0,4G,4G,-104.0,-9.0,8.0,12,-105.0,62.0,109.0,192.0,192.0,D,PERIODIC,4Ir25o
"
2022.10.25_10.00.36",7.042350999999999,43.618818,63.0,4G,4G,-104.0,-9.0,8.0,12,-107.0,32.0,13.0,192.0,192.0,D,PERIODIC,4Ir25o
"
2022.10.25_10.00.37",7.042350999999999,43.618818,63.0,4G,4G,-107.0,-8.0,10.0,11,-107.0,0.0,0.0,192.0,192.0,D,PERIODIC,4Ir25o
"
2022.10.25_10.00.38",7.042350999999999,43.618818,63.0,4G,4G,-107.0,-8.0,10.0,11,-107.0,0.0,0.0,192.0,192.0,D,PERIODIC,4Ir25o
"
2022.10.25_10.00.39",7.042350999999999,43.618818,63.0,4G,4G,-106.0,-8.0,11.0,10,-107.0,10.0,9.0,192.0,192.0,D,PERIODIC,4Ir25o
"
2022.10.25_10.00.40",7.042350999999999,43.618818,63.0,4G,4G,-106.0,-8.0,11.0,10,-107.0,0.0,0.0,192.0,192.0,D,PERIODIC,4Ir25o
"
2022.10.25_10.00.41",7.042350999999999,43.618818,63.0,4G,4G,-106.0,-6.0,12.0,7,-107.0,31.0,46.0,192.0,192.0,D,PERIODIC,4Ir25o
