Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.29_18.54.42",7.06924,43.6152,4G,LTE,-91.0,-8.0,6.0,11.0,-74,0.0,0.0,182.0,182.0,D,LOG START,4Ir29
"
2022.08.29_18.54.43",7.06924,43.6152,4G,LTE,-91.0,-8.0,6.0,11.0,-74,19.0,3.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.54.44",7.06924,43.6152,4G,LTE,-91.0,-10.0,8.0,9.0,-76,0.0,0.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.54.44",7.06924,43.6152,4G,LTE,-91.0,-10.0,8.0,9.0,-76,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.54.46",7.06924,43.6152,4G,LTE,-93.0,-13.0,7.0,4.0,-78,18.0,23.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.54.47",7.06924,43.6152,4G,LTE,-93.0,-13.0,7.0,4.0,-78,0.0,0.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.54.48",7.06924,43.6152,4G,LTE,-95.0,-12.0,5.0,7.0,-80,19.0,3.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.54.49",7.06924,43.6152,4G,LTE,-95.0,-12.0,5.0,12.0,-78,19.0,11.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.54.49",7.06924,43.6152,4G,LTE,-96.0,-12.0,8.0,6.0,-80,10.0,4.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.54.51",7.06924,43.6152,4G,LTE,-96.0,-12.0,8.0,6.0,-80,11.0,3.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.54.52",7.06924,43.6152,4G,LTE,-97.0,-10.0,7.0,6.0,-80,142.0,77.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.54.53",7.06924,43.6152,4G,LTE,-97.0,-10.0,7.0,15.0,-78,24.0,10.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.54.54",7.06924,43.6152,4G,LTE,-95.0,-9.0,6.0,13.0,-76,0.0,0.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.54.55",7.06924,43.6152,4G,LTE,-95.0,-9.0,6.0,13.0,-76,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.54.56",7.06924,43.6152,4G,LTE,-93.0,-10.0,12.0,13.0,-76,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.54.56",7.06924,43.6152,4G,LTE,-93.0,-10.0,12.0,8.0,-80,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.54.58",7.06924,43.6152,4G,LTE,-97.0,-9.0,1.0,14.0,-76,19.0,2.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.54.59",7.06924,43.6152,4G,LTE,-97.0,-9.0,1.0,14.0,-76,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.55.00",7.06924,43.6152,4G,LTE,-97.0,-9.0,1.0,14.0,-76,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.55.01",7.06924,43.6152,4G,LTE,-92.0,-13.0,7.0,14.0,-76,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.55.02",7.06924,43.6152,4G,LTE,-92.0,-13.0,7.0,14.0,-76,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.55.03",7.06924,43.6152,4G,LTE,-92.0,-11.0,4.0,6.0,-78,19.0,2.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.04",7.06924,43.6152,4G,LTE,-92.0,-11.0,4.0,6.0,-80,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.55.05",7.06924,43.6152,4G,LTE,-98.0,-14.0,-1.0,6.0,-80,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.55.06",7.06924,43.6152,4G,LTE,-98.0,-14.0,-1.0,6.0,-80,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.55.07",7.06924,43.6152,4G,LTE,-97.0,-12.0,-1.0,6.0,-80,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.55.08",7.06924,43.6152,4G,LTE,-97.0,-12.0,-1.0,11.0,-78,0.0,0.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.09",7.06924,43.6152,4G,LTE,-95.0,-13.0,6.0,11.0,-78,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.55.10",7.06924,43.6152,4G,LTE,-95.0,-13.0,6.0,11.0,-78,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.55.11",7.06924,43.6152,4G,LTE,-95.0,-12.0,5.0,11.0,-78,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.55.12",7.06924,43.6152,4G,LTE,-95.0,-12.0,5.0,9.0,-78,0.0,1.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.13",7.06924,43.6152,4G,LTE,-95.0,-12.0,10.0,9.0,-78,18.0,1.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.14",7.06924,43.6152,4G,LTE,-95.0,-12.0,10.0,8.0,-80,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.55.15",7.06924,43.6152,4G,LTE,-97.0,-10.0,9.0,8.0,-80,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.55.16",7.06924,43.6152,4G,LTE,-97.0,-10.0,9.0,8.0,-80,0.0,0.0,182.0,182.0,I,PERIODIC,4Ir29
"
2022.08.29_18.55.17",7.06924,43.6152,4G,LTE,-96.0,-9.0,3.0,8.0,-80,0.0,1.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.18",7.06924,43.6152,4G,LTE,-96.0,-9.0,3.0,8.0,-80,18.0,1.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.19",7.06924,43.6152,4G,LTE,-97.0,-11.0,6.0,8.0,-80,0.0,2.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.20",7.06924,43.6152,4G,LTE,-97.0,-11.0,6.0,8.0,-80,278.0,39.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.21",7.06924,43.6152,4G,LTE,-97.0,-10.0,3.0,8.0,-80,332.0,106.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.22",7.06924,43.6152,4G,LTE,-97.0,-10.0,3.0,15.0,-77,1704.0,154.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.23",7.06924,43.6152,4G,LTE,-95.0,-12.0,7.0,15.0,-77,11608.0,272.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.24",7.06924,43.6152,4G,LTE,-95.0,-12.0,7.0,15.0,-77,19773.0,127.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.25",7.06924,43.6152,4G,LTE,-94.0,-12.0,6.0,15.0,-77,5984.0,73.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.26",7.06924,43.6152,4G,LTE,-94.0,-12.0,6.0,15.0,-77,23127.0,129.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.27",7.06924,43.6152,4G,LTE,-94.0,-12.0,6.0,15.0,-77,12878.0,71.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.28",7.06924,43.6152,4G,LTE,-95.0,-12.0,6.0,11.0,-80,6909.0,75.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.29",7.06924,43.6152,4G,LTE,-95.0,-12.0,6.0,11.0,-80,27855.0,141.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.30",7.06924,43.6152,4G,LTE,-97.0,-13.0,6.0,11.0,-80,1600.0,21.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.31",7.06924,43.6152,4G,LTE,-97.0,-13.0,6.0,11.0,-80,27450.0,158.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.32",7.06924,43.6152,4G,LTE,-98.0,-14.0,6.0,11.0,-80,20891.0,117.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.33",7.06924,43.6152,4G,LTE,-98.0,-14.0,6.0,11.0,-80,22408.0,126.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.34",7.06924,43.6152,4G,LTE,-96.0,-10.0,6.0,11.0,-80,4.0,5.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.35",7.06924,43.6152,4G,LTE,-96.0,-10.0,6.0,11.0,-80,26824.0,147.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.36",7.06924,43.6152,4G,LTE,-96.0,-9.0,10.0,7.0,-78,7774.0,51.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.37",7.06924,43.6152,4G,LTE,-96.0,-9.0,10.0,7.0,-78,23.0,8.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.38",7.06924,43.6152,4G,LTE,-95.0,-14.0,10.0,7.0,-78,8.0,18.0,182.0,182.0,D,PERIODIC,4Ir29
"
2022.08.29_18.55.39",7.06924,43.6152,4G,LTE,-95.0,-14.0,10.0,7.0,-78,7305.0,54.0,182.0,182.0,D,PERIODIC,4Ir29
