Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.14_21.32.47",7.042347,43.618804,4G,LTE,-100.0,-12.0,9.0,15.0,-,0.0,0.0,193.0,193.0,I,LOG START,4Irciv14
"
2022.09.14_21.32.47",7.042347,43.618804,4G,LTE,-100.0,-12.0,9.0,15.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Irciv14
"
2022.09.14_21.32.48",7.042347,43.618804,4G,LTE,-100.0,-12.0,9.0,13.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Irciv14
"
2022.09.14_21.32.49",7.042347,43.618804,4G,LTE,-102.0,-12.0,11.0,9.0,-85,0.0,0.0,193.0,193.0,I,PERIODIC,4Irciv14
"
2022.09.14_21.32.50",7.042347,43.618804,4G,LTE,-102.0,-12.0,11.0,10.0,-85,0.0,0.0,193.0,193.0,I,PERIODIC,4Irciv14
"
2022.09.14_21.32.51",7.042347,43.618804,4G,LTE,-102.0,-12.0,11.0,6.0,-,19.0,3.0,193.0,193.0,D,PERIODIC,4Irciv14
"
2022.09.14_21.32.52",7.042347,43.618804,4G,LTE,-100.0,-10.0,9.0,9.0,-,0.0,0.0,193.0,193.0,D,PERIODIC,4Irciv14
"
2022.09.14_21.32.53",7.042347,43.618804,4G,LTE,-100.0,-10.0,9.0,13.0,-,58.0,21.0,193.0,193.0,D,PERIODIC,4Irciv14
"
2022.09.14_21.32.54",7.042347,43.618804,4G,LTE,-104.0,-10.0,7.0,13.0,-,44.0,6.0,193.0,193.0,D,PERIODIC,4Irciv14
"
2022.09.14_21.32.55",7.042347,43.618804,4G,LTE,-104.0,-10.0,7.0,10.0,-,6.0,7.0,193.0,193.0,D,PERIODIC,4Irciv14
"
2022.09.14_21.32.56",7.042347,43.618804,4G,LTE,-102.0,-13.0,8.0,15.0,-,19.0,3.0,193.0,193.0,D,PERIODIC,4Irciv14
"
2022.09.14_21.32.57",7.042347,43.618804,4G,LTE,-102.0,-13.0,8.0,14.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Irciv14
"
2022.09.14_21.32.58",7.042347,43.618804,4G,LTE,-101.0,-12.0,7.0,7.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Irciv14
"
2022.09.14_21.32.59",7.042347,43.618804,4G,LTE,-101.0,-12.0,7.0,13.0,-82,0.0,0.0,193.0,193.0,I,PERIODIC,4Irciv14
"
2022.09.14_21.33.00",7.042347,43.618804,4G,LTE,-99.0,-12.0,8.0,13.0,-82,0.0,0.0,193.0,193.0,I,PERIODIC,4Irciv14
"
2022.09.14_21.33.01",7.042347,43.618804,4G,LTE,-99.0,-12.0,8.0,14.0,-,19.0,3.0,193.0,193.0,D,PERIODIC,4Irciv14
"
2022.09.14_21.33.02",7.042347,43.618804,4G,LTE,-102.0,-12.0,8.0,7.0,-86,0.0,0.0,193.0,193.0,I,PERIODIC,4Irciv14
"
2022.09.14_21.33.03",7.042347,43.618804,4G,LTE,-102.0,-12.0,8.0,7.0,-86,41.0,49.0,193.0,193.0,D,PERIODIC,4Irciv14
"
2022.09.14_21.33.04",7.042347,43.618804,4G,LTE,-104.0,-11.0,9.0,9.0,-88,192.0,149.0,193.0,193.0,D,PERIODIC,4Irciv14
"
2022.09.14_21.33.05",7.042347,43.618804,4G,LTE,-104.0,-11.0,9.0,9.0,-88,1.0,0.0,193.0,193.0,D,PERIODIC,4Irciv14
"
2022.09.14_21.33.06",7.042347,43.618804,4G,LTE,-104.0,-11.0,9.0,9.0,-88,45.0,12.0,193.0,193.0,D,PERIODIC,4Irciv14
"
2022.09.14_21.33.07",7.042347,43.618804,4G,LTE,-105.0,-11.0,12.0,9.0,-88,218.0,112.0,193.0,193.0,D,PERIODIC,4Irciv14
"
2022.09.14_21.33.08",7.042347,43.618804,4G,LTE,-105.0,-11.0,12.0,8.0,-86,21.0,6.0,193.0,193.0,D,PERIODIC,4Irciv14
"
2022.09.14_21.33.09",7.042347,43.618804,4G,LTE,-104.0,-8.0,12.0,8.0,-88,0.0,0.0,193.0,193.0,I,PERIODIC,4Irciv14
