Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.14_21.37.21",7.042347,43.618804,63.0,4G,LTE,-100.0,-6.0,9.0,9.0,-82,19.0,3.0,193.0,193.0,D,LOG START,4Itciv14
"
2022.09.14_21.37.22",7.042347,43.618804,63.0,4G,LTE,-100.0,-6.0,9.0,14.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Itciv14
"
2022.09.14_21.37.23",7.042347,43.618804,63.0,4G,LTE,-104.0,-9.0,10.0,13.0,-88,0.0,0.0,193.0,193.0,I,PERIODIC,4Itciv14
"
2022.09.14_21.37.24",7.042347,43.618804,63.0,4G,LTE,-104.0,-9.0,10.0,8.0,-84,0.0,0.0,193.0,193.0,I,PERIODIC,4Itciv14
"
2022.09.14_21.37.25",7.042347,43.618804,63.0,4G,LTE,-104.0,-8.0,0.0,11.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Itciv14
"
2022.09.14_21.37.26",7.042347,43.618804,63.0,4G,LTE,-104.0,-8.0,0.0,11.0,-,0.0,1.0,193.0,193.0,D,PERIODIC,4Itciv14
"
2022.09.14_21.37.27",7.042347,43.618804,63.0,4G,LTE,-104.0,-9.0,8.0,14.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Itciv14
"
2022.09.14_21.37.28",7.042347,43.618804,63.0,4G,LTE,-104.0,-9.0,8.0,14.0,-88,0.0,0.0,193.0,193.0,I,PERIODIC,4Itciv14
"
2022.09.14_21.37.29",7.042347,43.618804,63.0,4G,LTE,-102.0,-12.0,13.0,8.0,-84,0.0,0.0,193.0,193.0,I,PERIODIC,4Itciv14
"
2022.09.14_21.37.30",7.042347,43.618804,63.0,4G,LTE,-102.0,-12.0,13.0,8.0,-84,0.0,0.0,193.0,193.0,I,PERIODIC,4Itciv14
"
2022.09.14_21.37.31",7.042347,43.618804,63.0,4G,LTE,-102.0,-8.0,7.0,8.0,-84,19.0,3.0,193.0,193.0,D,PERIODIC,4Itciv14
"
2022.09.14_21.37.32",7.042347,43.618804,63.0,4G,LTE,-102.0,-8.0,7.0,9.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Itciv14
"
2022.09.14_21.37.33",7.042347,43.618804,63.0,4G,LTE,-100.0,-8.0,5.0,15.0,-84,0.0,0.0,193.0,193.0,I,PERIODIC,4Itciv14
"
2022.09.14_21.37.34",7.042347,43.618804,63.0,4G,LTE,-100.0,-8.0,5.0,15.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Itciv14
"
2022.09.14_21.37.35",7.042347,43.618804,63.0,4G,LTE,-101.0,-9.0,9.0,15.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Itciv14
"
2022.09.14_21.37.36",7.042347,43.618804,63.0,4G,LTE,-101.0,-9.0,9.0,6.0,-86,20.0,3.0,193.0,193.0,D,PERIODIC,4Itciv14
"
2022.09.14_21.37.37",7.042347,43.618804,63.0,4G,LTE,-102.0,-12.0,8.0,6.0,-86,0.0,0.0,193.0,193.0,I,PERIODIC,4Itciv14
"
2022.09.14_21.37.38",7.042347,43.618804,63.0,4G,LTE,-102.0,-12.0,8.0,13.0,-84,0.0,0.0,193.0,193.0,I,PERIODIC,4Itciv14
"
2022.09.14_21.37.39",7.042347,43.618804,63.0,4G,LTE,-102.0,-13.0,5.0,13.0,-86,0.0,0.0,193.0,193.0,I,PERIODIC,4Itciv14
"
2022.09.14_21.37.40",7.042347,43.618804,63.0,4G,LTE,-102.0,-13.0,5.0,13.0,-86,0.0,0.0,193.0,193.0,I,PERIODIC,4Itciv14
"
2022.09.14_21.37.41",7.042347,43.618804,63.0,4G,LTE,-102.0,-11.0,10.0,7.0,-88,61.0,32.0,193.0,193.0,D,PERIODIC,4Itciv14
"
2022.09.14_21.37.42",7.042347,43.618804,63.0,4G,LTE,-102.0,-11.0,10.0,7.0,-88,35.0,23.0,193.0,193.0,D,PERIODIC,4Itciv14
"
2022.09.14_21.37.44",7.042347,43.618804,63.0,4G,LTE,-105.0,-8.0,13.0,7.0,-88,0.0,0.0,193.0,193.0,D,PERIODIC,4Itciv14
"
2022.09.14_21.37.44",7.042347,43.618804,63.0,4G,LTE,-105.0,-8.0,13.0,7.0,-88,28.0,17.0,193.0,193.0,D,PERIODIC,4Itciv14
"
2022.09.14_21.37.45",7.042347,43.618804,63.0,4G,LTE,-104.0,-9.0,4.0,7.0,-88,136.0,89.0,193.0,193.0,D,PERIODIC,4Itciv14
