Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.12_13.52.07",7.069155,43.615262,62.0,4G,LTE,-104.0,-11.0,9.0,13.0,-86,0.0,0.0,182.0,182.0,I,LOG START,4Iu12
"
2022.09.12_13.52.07",7.069155,43.615262,62.0,4G,LTE,-104.0,-11.0,9.0,13.0,-86,0.0,0.0,182.0,182.0,I,PERIODIC,4Iu12
"
2022.09.12_13.52.08",7.069155,43.615262,62.0,4G,LTE,-104.0,-11.0,9.0,9.0,-88,0.0,0.0,182.0,182.0,I,PERIODIC,4Iu12
"
2022.09.12_13.52.09",7.069155,43.615262,62.0,4G,LTE,-104.0,-13.0,6.0,9.0,-84,0.0,0.0,182.0,182.0,I,PERIODIC,4Iu12
"
2022.09.12_13.52.10",7.069155,43.615262,62.0,4G,LTE,-104.0,-13.0,6.0,9.0,-87,18.0,3.0,182.0,182.0,D,PERIODIC,4Iu12
"
2022.09.12_13.52.11",7.069155,43.615262,62.0,4G,LTE,-103.0,-13.0,8.0,7.0,-89,1.0,0.0,182.0,182.0,D,PERIODIC,4Iu12
"
2022.09.12_13.52.12",7.069155,43.615262,62.0,4G,LTE,-103.0,-13.0,8.0,13.0,-84,0.0,0.0,182.0,182.0,D,PERIODIC,4Iu12
"
2022.09.12_13.52.13",7.069155,43.615262,62.0,4G,LTE,-104.0,-13.0,6.0,10.0,-86,53.0,6.0,182.0,182.0,D,PERIODIC,4Iu12
"
2022.09.12_13.52.14",7.069155,43.615262,62.0,4G,LTE,-104.0,-13.0,6.0,14.0,-88,8.0,18.0,182.0,182.0,D,PERIODIC,4Iu12
"
2022.09.12_13.52.15",7.069155,43.615262,62.0,4G,LTE,-105.0,-13.0,2.0,8.0,-86,65.0,16.0,182.0,182.0,D,PERIODIC,4Iu12
"
2022.09.12_13.52.16",7.069155,43.615262,62.0,4G,LTE,-105.0,-13.0,2.0,7.0,-92,2.0,0.0,182.0,182.0,D,PERIODIC,4Iu12
"
2022.09.12_13.52.17",7.069155,43.615262,62.0,4G,LTE,-107.0,-13.0,6.0,8.0,-87,0.0,0.0,182.0,182.0,I,PERIODIC,4Iu12
"
2022.09.12_13.52.18",7.069155,43.615262,62.0,4G,LTE,-107.0,-13.0,6.0,8.0,-87,0.0,0.0,182.0,182.0,I,PERIODIC,4Iu12
"
2022.09.12_13.52.19",7.069155,43.615262,62.0,4G,LTE,-100.0,-12.0,9.0,12.0,-86,0.0,0.0,182.0,182.0,I,PERIODIC,4Iu12
"
2022.09.12_13.52.20",7.069155,43.615262,62.0,4G,LTE,-100.0,-12.0,9.0,12.0,-86,18.0,3.0,182.0,182.0,D,PERIODIC,4Iu12
"
2022.09.12_13.52.21",7.069155,43.615262,62.0,4G,LTE,-102.0,-13.0,7.0,12.0,-86,0.0,0.0,182.0,182.0,D,PERIODIC,4Iu12
