Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.20_14.46.20",7.068992,43.615292,72.0,4G,LTE,-100.0,-12.0,3.0,12.0,-83,0.0,0.0,181.0,181.0,I,LOG START,4Iu20s
"
2022.09.20_14.46.20",7.068992,43.615292,72.0,4G,LTE,-99.0,-12.0,5.0,12.0,-83,0.0,0.0,181.0,181.0,I,PERIODIC,4Iu20s
"
2022.09.20_14.46.21",7.068992,43.615292,72.0,4G,LTE,-99.0,-12.0,5.0,12.0,-83,0.0,0.0,181.0,181.0,I,PERIODIC,4Iu20s
"
2022.09.20_14.46.22",7.068992,43.615292,72.0,4G,LTE,-99.0,-12.0,2.0,12.0,-83,20.0,3.0,181.0,181.0,D,PERIODIC,4Iu20s
"
2022.09.20_14.46.23",7.068992,43.615292,72.0,4G,LTE,-99.0,-12.0,2.0,9.0,-81,5.0,5.0,181.0,181.0,D,PERIODIC,4Iu20s
"
2022.09.20_14.46.24",7.068992,43.615292,72.0,4G,LTE,-99.0,-12.0,2.0,9.0,-81,45.0,8.0,181.0,181.0,D,PERIODIC,4Iu20s
"
2022.09.20_14.46.25",7.068992,43.615292,72.0,4G,LTE,-99.0,-12.0,2.0,9.0,-81,0.0,0.0,181.0,181.0,D,PERIODIC,4Iu20s
"
2022.09.20_14.46.26",7.068992,43.615292,72.0,4G,LTE,-98.0,-13.0,3.0,9.0,-81,0.0,0.0,181.0,181.0,I,PERIODIC,4Iu20s
"
2022.09.20_14.46.27",7.068992,43.615292,72.0,4G,LTE,-98.0,-13.0,3.0,9.0,-81,19.0,3.0,181.0,181.0,D,PERIODIC,4Iu20s
"
2022.09.20_14.46.28",7.068992,43.615292,72.0,4G,LTE,-98.0,-13.0,3.0,9.0,-81,0.0,0.0,181.0,181.0,I,PERIODIC,4Iu20s
"
2022.09.20_14.46.29",7.068992,43.615292,72.0,4G,LTE,-99.0,-14.0,4.0,9.0,-81,0.0,0.0,181.0,181.0,I,PERIODIC,4Iu20s
"
2022.09.20_14.46.30",7.068992,43.615292,72.0,4G,LTE,-99.0,-14.0,4.0,10.0,-83,0.0,0.0,181.0,181.0,I,PERIODIC,4Iu20s
"
2022.09.20_14.46.31",7.068992,43.615292,72.0,4G,LTE,-100.0,-13.0,0.0,10.0,-83,0.0,0.0,181.0,181.0,I,PERIODIC,4Iu20s
"
2022.09.20_14.46.32",7.068992,43.615292,72.0,4G,LTE,-100.0,-13.0,0.0,10.0,-83,19.0,3.0,181.0,181.0,D,PERIODIC,4Iu20s
"
2022.09.20_14.46.33",7.068992,43.615292,72.0,4G,LTE,-101.0,-13.0,5.0,10.0,-83,0.0,0.0,181.0,181.0,I,PERIODIC,4Iu20s
"
2022.09.20_14.46.34",7.068992,43.615292,72.0,4G,LTE,-101.0,-13.0,5.0,10.0,-83,0.0,0.0,181.0,181.0,I,PERIODIC,4Iu20s
"
2022.09.20_14.46.35",7.068992,43.615292,72.0,4G,LTE,-100.0,-13.0,4.0,10.0,-83,0.0,0.0,181.0,181.0,I,PERIODIC,4Iu20s
"
2022.09.20_14.46.36",7.068992,43.615292,72.0,4G,LTE,-100.0,-13.0,4.0,10.0,-83,83.0,51.0,181.0,181.0,D,PERIODIC,4Iu20s
"
2022.09.20_14.46.37",7.068992,43.615292,72.0,4G,LTE,-100.0,-13.0,4.0,10.0,-83,156.0,59.0,181.0,181.0,D,PERIODIC,4Iu20s
"
2022.09.20_14.46.38",7.068992,43.615292,72.0,4G,LTE,-99.0,-12.0,4.0,10.0,-83,15.0,1.0,181.0,181.0,D,PERIODIC,4Iu20s
"
2022.09.20_14.46.39",7.068992,43.615292,72.0,4G,LTE,-99.0,-12.0,4.0,10.0,-83,39.0,46.0,181.0,181.0,D,PERIODIC,4Iu20s
"
2022.09.20_14.46.40",7.068992,43.615292,72.0,4G,LTE,-99.0,-14.0,-2.0,10.0,-83,18.0,19.0,181.0,181.0,D,PERIODIC,4Iu20s
"
2022.09.20_14.46.41",7.068992,43.615292,72.0,4G,LTE,-99.0,-14.0,-2.0,8.0,-81,68.0,55.0,181.0,181.0,D,PERIODIC,4Iu20s
"
2022.09.20_14.46.42",7.068992,43.615292,72.0,4G,LTE,-98.0,-13.0,0.0,8.0,-81,44.0,12.0,181.0,181.0,D,PERIODIC,4Iu20s
"
2022.09.20_14.46.43",7.068992,43.615292,72.0,4G,LTE,-98.0,-13.0,0.0,9.0,-93,0.0,5.0,181.0,181.0,D,PERIODIC,4Iu20s
"
2022.09.20_14.46.44",7.068992,43.615292,72.0,4G,LTE,-111.0,-14.0,5.0,9.0,-93,966.0,240.0,181.0,181.0,D,PERIODIC,4Iu20s
"
2022.09.20_14.46.45",7.068992,43.615292,72.0,4G,LTE,-111.0,-14.0,5.0,9.0,-,10.0,3.0,181.0,181.0,D,PERIODIC,4Iu20s
