Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.10.21_10.52.28",7.055582000000001,43.626375,61.0,4G,LTE,-83.0,-11.0,16.0,14,-85.0,0.0,0.0,199.0,199.0,I,LOG START,4M21o
"
2022.10.21_10.52.29",7.055689,43.626233,61.0,4G,LTE,-83.0,-11.0,16.0,14,-85.0,0.0,0.0,198.0,198.0,I,,4M21o
"
2022.10.21_10.52.29",7.055689,43.626233,61.0,4G,LTE,-83.0,-11.0,16.0,14,-85.0,0.0,0.0,198.0,198.0,I,PERIODIC,4M21o
"
2022.10.21_10.52.30",7.0557490000000005,43.626151,61.0,4G,LTE,-83.0,-11.0,16.0,14,-85.0,0.0,0.0,198.0,198.0,I,,4M21o
"
2022.10.21_10.52.30",7.0557490000000005,43.626151,61.0,4G,LTE,-83.0,-11.0,16.0,14,-85.0,0.0,0.0,198.0,198.0,I,PERIODIC,4M21o
"
2022.10.21_10.52.31",7.055811,43.626063,61.0,4G,LTE,-83.0,-11.0,16.0,14,-85.0,0.0,0.0,199.0,199.0,I,,4M21o
"
2022.10.21_10.52.31",7.055811,43.626063,61.0,4G,LTE,-83.0,-11.0,16.0,14,-85.0,0.0,0.0,199.0,199.0,I,PERIODIC,4M21o
"
2022.10.21_10.52.32",7.055875,43.625976,61.0,4G,LTE,-83.0,-11.0,16.0,14,-85.0,0.0,0.0,198.0,198.0,D,,4M21o
"
2022.10.21_10.52.32",7.055875,43.625976,61.0,4G,LTE,-83.0,-11.0,16.0,14,-85.0,323.0,133.0,198.0,198.0,D,PERIODIC,4M21o
"
2022.10.21_10.52.33",7.05594,43.625888,61.0,4G,LTE,-83.0,-11.0,16.0,14,-87.0,323.0,133.0,197.0,197.0,D,,4M21o
"
2022.10.21_10.52.33",7.05594,43.625888,61.0,4G,LTE,-85.0,-11.0,24.0,15,-87.0,339.0,85.0,197.0,197.0,D,PERIODIC,4M21o
"
2022.10.21_10.52.34",7.056008,43.625809000000004,61.0,4G,LTE,-85.0,-11.0,24.0,15,-91.0,339.0,85.0,197.0,197.0,D,,4M21o
