Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.10.27_10.20.52",7.037438000000001,43.623965999999996,71.0,4G,4G,-105.0,-14.0,1.0,6.0,-105,2.0,1.0,250.0,250.0,D,LOG START,,,,4M27o
"
2022.10.27_10.20.53",7.037477,43.623956,71.0,4G,4G,-105.0,-14.0,1.0,6.0,-105,2.0,1.0,236.0,236.0,D,,,,,4M27o
"
2022.10.27_10.20.53",7.037477,43.623956,71.0,4G,4G,-105.0,-13.0,-14.0,7.0,-105,122.0,57.0,236.0,236.0,D,PERIODIC,,,,4M27o
"
2022.10.27_10.20.54",7.037477,43.623956,71.0,4G,4G,-105.0,-13.0,-14.0,7.0,-105,7.0,3.0,236.0,236.0,D,PERIODIC,,,,4M27o
"
2022.10.27_10.20.55",7.037477,43.623956,71.0,4G,4G,-105.0,-13.0,1.0,9.0,-105,0.0,0.0,236.0,236.0,I,PERIODIC,,,,4M27o
"
2022.10.27_10.20.56",7.037477,43.623956,71.0,4G,4G,-105.0,-13.0,1.0,9.0,-105,94.0,58.0,236.0,236.0,D,PERIODIC,,,,4M27o
"
2022.10.27_10.20.57",7.037477,43.623956,71.0,4G,4G,-105.0,-13.0,1.0,8.0,-105,36.0,7.0,236.0,236.0,D,PERIODIC,,,,4M27o
"
2022.10.27_10.20.58",7.037477,43.623956,71.0,4G,4G,-105.0,-13.0,1.0,8.0,-105,15.0,7.0,236.0,236.0,D,PERIODIC,,,,4M27o
"
2022.10.27_10.20.59",7.037477,43.623956,71.0,4G,4G,-106.0,-14.0,3.0,8.0,-105,198.0,56.0,236.0,236.0,D,PERIODIC,,,,4M27o
"
2022.10.27_10.21.00",7.037477,43.623956,71.0,4G,4G,-106.0,-14.0,3.0,8.0,-105,206.0,84.0,236.0,236.0,D,PERIODIC,,,,4M27o
