Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.08_16.20.53",7.072474000000001,43.61679,63.0,4G,LTE,-93.0,-8.0,5.0,12.0,-76,0.0,0.0,181.0,181.0,I,LOG START,4M7s
"
2022.09.08_16.20.54",7.072474000000001,43.61679,63.0,4G,LTE,-93.0,-8.0,6.0,12.0,-78,0.0,0.0,181.0,181.0,I,PERIODIC,4M7s
"
2022.09.08_16.20.55",7.072474000000001,43.61679,63.0,4G,LTE,-93.0,-8.0,6.0,12.0,-,18.0,2.0,181.0,181.0,D,PERIODIC,4M7s
"
2022.09.08_16.20.56",7.072474000000001,43.61679,63.0,4G,LTE,-91.0,-8.0,11.0,12.0,-76,0.0,0.0,181.0,181.0,I,PERIODIC,4M7s
"
2022.09.08_16.20.57",7.072474000000001,43.61679,63.0,4G,LTE,-91.0,-8.0,11.0,12.0,-76,0.0,0.0,181.0,181.0,I,PERIODIC,4M7s
"
2022.09.08_16.20.58",7.072474000000001,43.61679,63.0,4G,LTE,-93.0,-9.0,4.0,12.0,-76,0.0,0.0,181.0,181.0,I,PERIODIC,4M7s
"
2022.09.08_16.20.59",7.072474000000001,43.61679,63.0,4G,LTE,-93.0,-9.0,4.0,12.0,-76,0.0,0.0,181.0,181.0,I,PERIODIC,4M7s
"
2022.09.08_16.21.00",7.072474000000001,43.61679,63.0,4G,LTE,-93.0,-9.0,4.0,14.0,-,19.0,2.0,181.0,181.0,D,PERIODIC,4M7s
"
2022.09.08_16.21.01",7.072474000000001,43.61679,63.0,4G,LTE,-90.0,-10.0,6.0,14.0,-,41.0,50.0,181.0,181.0,D,PERIODIC,4M7s
"
2022.09.08_16.21.02",7.072474000000001,43.61679,63.0,4G,LTE,-90.0,-10.0,6.0,13.0,-73,0.0,0.0,181.0,181.0,D,PERIODIC,4M7s
"
2022.09.08_16.21.03",7.072474000000001,43.61679,63.0,4G,LTE,-90.0,-10.0,9.0,7.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4M7s
"
2022.09.08_16.21.04",7.072474000000001,43.61679,63.0,4G,LTE,-90.0,-10.0,9.0,7.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4M7s
"
2022.09.08_16.21.05",7.072474000000001,43.61679,63.0,4G,LTE,-90.0,-9.0,8.0,7.0,-,18.0,2.0,181.0,181.0,D,PERIODIC,4M7s
