Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.09_15.30.00",7.0869919999999995,43.602888,61.0,4G,LTE,-80.0,-12.0,1.0,11.0,-59,0.0,0.0,201.0,201.0,I,LOG START,4M8s2
"
2022.09.09_15.30.01",7.0869919999999995,43.602888,61.0,4G,LTE,-76.0,-12.0,-3.0,12.0,-64,18.0,2.0,201.0,201.0,D,PERIODIC,4M8s2
"
2022.09.09_15.30.01",7.0869919999999995,43.602888,61.0,4G,LTE,-76.0,-12.0,-3.0,12.0,-67,0.0,0.0,201.0,201.0,I,PERIODIC,4M8s2
"
2022.09.09_15.30.02",7.0869919999999995,43.602888,61.0,4G,LTE,-76.0,-12.0,-3.0,12.0,-67,4.0,11.0,201.0,201.0,D,PERIODIC,4M8s2
"
2022.09.09_15.30.04",7.0869919999999995,43.602888,61.0,4G,LTE,-82.0,-12.0,9.0,11.0,-69,17.0,24.0,201.0,201.0,D,PERIODIC,4M8s2
"
2022.09.09_15.30.05",7.0869919999999995,43.602888,61.0,4G,LTE,-82.0,-12.0,9.0,10.0,-65,0.0,1.0,201.0,201.0,D,PERIODIC,4M8s2
"
2022.09.09_15.30.06",7.0869919999999995,43.602888,61.0,4G,LTE,-82.0,-11.0,-4.0,14.0,-67,138.0,32.0,201.0,201.0,D,PERIODIC,4M8s2
"
2022.09.09_15.30.07",7.0869919999999995,43.602888,61.0,4G,LTE,-82.0,-11.0,-4.0,14.0,-67,56.0,14.0,201.0,201.0,D,PERIODIC,4M8s2
"
2022.09.09_15.30.08",7.0869919999999995,43.602888,61.0,4G,LTE,-85.0,-11.0,4.0,11.0,-72,92.0,47.0,201.0,201.0,D,PERIODIC,4M8s2
"
2022.09.09_15.30.09",7.0869919999999995,43.602888,61.0,4G,LTE,-85.0,-11.0,4.0,11.0,-72,106.0,12.0,201.0,201.0,D,PERIODIC,4M8s2
"
2022.09.09_15.30.10",7.0869919999999995,43.602888,61.0,4G,LTE,-85.0,-11.0,4.0,12.0,-72,2.0,2.0,201.0,201.0,D,PERIODIC,4M8s2
"
2022.09.09_15.30.11",7.0869919999999995,43.602888,61.0,4G,LTE,-87.0,-13.0,4.0,11.0,-66,18.0,1.0,201.0,201.0,D,PERIODIC,4M8s2
"
2022.09.09_15.30.12",7.0869919999999995,43.602888,61.0,4G,LTE,-87.0,-13.0,4.0,14.0,-63,0.0,0.0,201.0,201.0,I,PERIODIC,4M8s2
"
2022.09.09_15.30.13",7.0869919999999995,43.602888,61.0,4G,LTE,-81.0,-13.0,-2.0,11.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4M8s2
"
2022.09.09_15.30.14",7.0869919999999995,43.602888,61.0,4G,LTE,-81.0,-13.0,-2.0,13.0,-61,10.0,3.0,201.0,201.0,D,PERIODIC,4M8s2
"
2022.09.09_15.30.15",7.0869919999999995,43.602888,61.0,4G,LTE,-79.0,-13.0,2.0,13.0,-59,0.0,1.0,201.0,201.0,D,PERIODIC,4M8s2
"
2022.09.09_15.30.16",7.0869919999999995,43.602888,61.0,4G,LTE,-79.0,-13.0,2.0,12.0,-69,17.0,1.0,201.0,201.0,D,PERIODIC,4M8s2
"
2022.09.09_15.30.17",7.0869919999999995,43.602888,61.0,4G,LTE,-86.0,-9.0,14.0,14.0,-71,0.0,0.0,201.0,201.0,I,PERIODIC,4M8s2
"
2022.09.09_15.30.18",7.0869919999999995,43.602888,61.0,4G,LTE,-86.0,-9.0,14.0,11.0,-71,0.0,0.0,201.0,201.0,I,PERIODIC,4M8s2
"
2022.09.09_15.30.19",7.0869919999999995,43.602888,61.0,4G,LTE,-87.0,-12.0,2.0,12.0,-68,0.0,0.0,201.0,201.0,I,PERIODIC,4M8s2
"
2022.09.09_15.30.20",7.0869919999999995,43.602888,61.0,4G,LTE,-87.0,-12.0,2.0,13.0,-67,18.0,2.0,201.0,201.0,D,PERIODIC,4M8s2
"
2022.09.09_15.30.21",7.0869919999999995,43.602888,61.0,4G,LTE,-84.0,-12.0,13.0,13.0,-70,0.0,0.0,201.0,201.0,D,PERIODIC,4M8s2
