Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.29_19.16.52",7.074215,43.616821,63.0,4G,LTE,-96.0,-6.0,18.0,12.0,-79,0.0,0.0,182.0,182.0,I,LOG START,4Me29
"
2022.08.29_19.16.52",7.074215,43.616821,63.0,4G,LTE,-96.0,-6.0,18.0,11.0,-75,0.0,0.0,182.0,182.0,I,PERIODIC,4Me29
"
2022.08.29_19.16.54",7.074215,43.616821,63.0,4G,LTE,-92.0,-9.0,19.0,11.0,-75,19.0,2.0,182.0,182.0,D,PERIODIC,4Me29
"
2022.08.29_19.16.55",7.074215,43.616821,63.0,4G,LTE,-92.0,-9.0,19.0,11.0,-75,0.0,0.0,182.0,182.0,I,PERIODIC,4Me29
"
2022.08.29_19.16.55",7.074215,43.616821,63.0,4G,LTE,-93.0,-5.0,19.0,11.0,-75,0.0,0.0,182.0,182.0,I,PERIODIC,4Me29
"
2022.08.29_19.16.56",7.074215,43.616821,63.0,4G,LTE,-93.0,-5.0,19.0,12.0,-77,0.0,0.0,182.0,182.0,I,PERIODIC,4Me29
"
2022.08.29_19.16.57",7.074215,43.616821,63.0,4G,LTE,-94.0,-8.0,20.0,12.0,-77,0.0,0.0,182.0,182.0,I,PERIODIC,4Me29
"
2022.08.29_19.16.58",7.074215,43.616821,63.0,4G,LTE,-94.0,-8.0,20.0,10.0,-75,19.0,2.0,182.0,182.0,D,PERIODIC,4Me29
"
2022.08.29_19.17.00",7.074215,43.616821,63.0,4G,LTE,-92.0,-8.0,15.0,10.0,-75,0.0,0.0,182.0,182.0,I,PERIODIC,4Me29
"
2022.08.29_19.17.01",7.074215,43.616821,63.0,4G,LTE,-92.0,-8.0,15.0,10.0,-75,0.0,0.0,182.0,182.0,I,PERIODIC,4Me29
"
2022.08.29_19.17.02",7.074215,43.616821,63.0,4G,LTE,-92.0,-7.0,16.0,11.0,-77,0.0,0.0,182.0,182.0,I,PERIODIC,4Me29
"
2022.08.29_19.17.02",7.074215,43.616821,63.0,4G,LTE,-92.0,-7.0,16.0,11.0,-77,0.0,1.0,182.0,182.0,D,PERIODIC,4Me29
"
2022.08.29_19.17.04",7.074215,43.616821,63.0,4G,LTE,-94.0,-5.0,20.0,11.0,-77,18.0,1.0,182.0,182.0,D,PERIODIC,4Me29
"
2022.08.29_19.17.05",7.074215,43.616821,63.0,4G,LTE,-94.0,-5.0,20.0,10.0,-79,0.0,0.0,182.0,182.0,I,PERIODIC,4Me29
"
2022.08.29_19.17.06",7.074215,43.616821,63.0,4G,LTE,-96.0,-8.0,18.0,10.0,-79,0.0,0.0,182.0,182.0,I,PERIODIC,4Me29
"
2022.08.29_19.17.06",7.074215,43.616821,63.0,4G,LTE,-96.0,-8.0,18.0,10.0,-79,0.0,0.0,182.0,182.0,I,PERIODIC,4Me29
"
2022.08.29_19.17.07",7.074215,43.616821,63.0,4G,LTE,-96.0,-8.0,18.0,9.0,-79,19.0,2.0,182.0,182.0,D,PERIODIC,4Me29
"
2022.08.29_19.17.09",7.074215,43.616821,63.0,4G,LTE,-96.0,-6.0,17.0,10.0,-76,19.0,24.0,182.0,182.0,D,PERIODIC,4Me29
"
2022.08.29_19.17.10",7.074215,43.616821,63.0,4G,LTE,-96.0,-6.0,17.0,9.0,-77,0.0,0.0,182.0,182.0,I,PERIODIC,4Me29
"
2022.08.29_19.17.11",7.074215,43.616821,63.0,4G,LTE,-96.0,-6.0,25.0,9.0,-77,56.0,18.0,182.0,182.0,D,PERIODIC,4Me29
"
2022.08.29_19.17.11",7.074215,43.616821,63.0,4G,LTE,-96.0,-6.0,25.0,9.0,-77,18.0,12.0,182.0,182.0,D,PERIODIC,4Me29
"
2022.08.29_19.17.13",7.074215,43.616821,63.0,4G,LTE,-93.0,-8.0,15.0,9.0,-77,19.0,2.0,182.0,182.0,D,PERIODIC,4Me29
"
2022.08.29_19.17.13",7.074215,43.616821,63.0,4G,LTE,-93.0,-8.0,15.0,9.0,-77,11.0,5.0,182.0,182.0,D,PERIODIC,4Me29
"
2022.08.29_19.17.15",7.074215,43.616821,63.0,4G,LTE,-94.0,-7.0,10.0,9.0,-77,0.0,2.0,182.0,182.0,D,PERIODIC,4Me29
"
2022.08.29_19.17.16",7.074215,43.616821,63.0,4G,LTE,-94.0,-7.0,10.0,9.0,-77,167.0,61.0,182.0,182.0,D,PERIODIC,4Me29
"
2022.08.29_19.17.17",7.074215,43.616821,63.0,4G,LTE,-94.0,-9.0,17.0,9.0,-77,5.0,0.0,182.0,182.0,D,PERIODIC,4Me29
"
2022.08.29_19.17.18",7.074215,43.616821,63.0,4G,LTE,-94.0,-9.0,17.0,9.0,-77,19.0,2.0,182.0,182.0,D,PERIODIC,4Me29
"
2022.08.29_19.17.19",7.074215,43.616821,63.0,4G,LTE,-93.0,-7.0,20.0,12.0,-75,0.0,0.0,182.0,182.0,D,PERIODIC,4Me29
"
2022.08.29_19.17.20",7.074215,43.616821,63.0,4G,LTE,-93.0,-7.0,20.0,12.0,-75,0.0,0.0,182.0,182.0,I,PERIODIC,4Me29
"
2022.08.29_19.17.21",7.074215,43.616821,63.0,4G,LTE,-91.0,-6.0,20.0,12.0,-75,0.0,0.0,182.0,182.0,I,PERIODIC,4Me29
"
2022.08.29_19.17.22",7.074215,43.616821,63.0,4G,LTE,-91.0,-6.0,20.0,10.0,-77,0.0,0.0,182.0,182.0,I,PERIODIC,4Me29
"
2022.08.29_19.17.23",7.074215,43.616821,63.0,4G,LTE,-93.0,-5.0,16.0,9.0,-75,19.0,2.0,182.0,182.0,D,PERIODIC,4Me29
