Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.09_17.38.30",7.099186,43.57447,62.0,4G,LTE,-100.0,-12.0,4.0,9.0,-,0.0,0.0,201.0,201.0,I,LOG START,4Mh9s
"
2022.09.09_17.38.30",7.099186,43.57447,62.0,4G,LTE,-100.0,-12.0,4.0,7.0,-79,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.31",7.099186,43.57447,62.0,4G,LTE,-96.0,-10.0,-7.0,7.0,-79,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.32",7.099186,43.57447,62.0,4G,LTE,-96.0,-10.0,-7.0,7.0,-82,18.0,3.0,201.0,201.0,D,PERIODIC,4Mh9s
"
2022.09.09_17.38.33",7.099186,43.57447,62.0,4G,LTE,-98.0,-10.0,3.0,7.0,-82,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.34",7.099186,43.57447,62.0,4G,LTE,-98.0,-10.0,3.0,7.0,-82,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.35",7.099186,43.57447,62.0,4G,LTE,-97.0,-11.0,2.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.36",7.099186,43.57447,62.0,4G,LTE,-97.0,-11.0,2.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.37",7.099186,43.57447,62.0,4G,LTE,-99.0,-14.0,3.0,7.0,-81,18.0,3.0,201.0,201.0,D,PERIODIC,4Mh9s
"
2022.09.09_17.38.38",7.099186,43.57447,62.0,4G,LTE,-99.0,-14.0,3.0,7.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.39",7.099186,43.57447,62.0,4G,LTE,-99.0,-11.0,-2.0,7.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.40",7.099186,43.57447,62.0,4G,LTE,-99.0,-11.0,-2.0,7.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.41",7.099186,43.57447,62.0,4G,LTE,-100.0,-10.0,-1.0,6.0,-83,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.42",7.099186,43.57447,62.0,4G,LTE,-100.0,-10.0,-1.0,6.0,-83,18.0,3.0,201.0,201.0,D,PERIODIC,4Mh9s
"
2022.09.09_17.38.43",7.099186,43.57447,62.0,4G,LTE,-101.0,-12.0,3.0,6.0,-83,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.44",7.099186,43.57447,62.0,4G,LTE,-101.0,-12.0,3.0,6.0,-83,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.45",7.099186,43.57447,62.0,4G,LTE,-101.0,-12.0,3.0,7.0,-83,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.46",7.099186,43.57447,62.0,4G,LTE,-101.0,-13.0,6.0,8.0,-,0.0,0.0,201.0,201.0,D,PERIODIC,4Mh9s
"
2022.09.09_17.38.47",7.099186,43.57447,62.0,4G,LTE,-101.0,-13.0,6.0,8.0,-,70.0,16.0,201.0,201.0,D,PERIODIC,4Mh9s
"
2022.09.09_17.38.48",7.099186,43.57447,62.0,4G,LTE,-100.0,-12.0,-4.0,9.0,-,46.0,11.0,201.0,201.0,D,PERIODIC,4Mh9s
"
2022.09.09_17.38.49",7.099186,43.57447,62.0,4G,LTE,-100.0,-12.0,-4.0,9.0,-,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.50",7.099186,43.57447,62.0,4G,LTE,-100.0,-11.0,9.0,9.0,-,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.51",7.099186,43.57447,62.0,4G,LTE,-100.0,-11.0,9.0,9.0,-,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.52",7.099186,43.57447,62.0,4G,LTE,-100.0,-11.0,8.0,9.0,-,18.0,3.0,201.0,201.0,D,PERIODIC,4Mh9s
"
2022.09.09_17.38.53",7.099186,43.57447,62.0,4G,LTE,-100.0,-11.0,8.0,9.0,-,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.54",7.099186,43.57447,62.0,4G,LTE,-100.0,-15.0,4.0,9.0,-,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.56",7.099186,43.57447,62.0,4G,LTE,-100.0,-15.0,4.0,9.0,-,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.56",7.099186,43.57447,62.0,4G,LTE,-100.0,-10.0,7.0,9.0,-,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.38.57",7.099186,43.57447,62.0,4G,LTE,-100.0,-10.0,7.0,9.0,-,18.0,3.0,201.0,201.0,D,PERIODIC,4Mh9s
"
2022.09.09_17.38.58",7.099186,43.57447,62.0,4G,LTE,-101.0,-10.0,-4.0,9.0,-,11.0,11.0,201.0,201.0,D,PERIODIC,4Mh9s
"
2022.09.09_17.38.59",7.099186,43.57447,62.0,4G,LTE,-101.0,-10.0,-4.0,9.0,-,0.0,0.0,201.0,201.0,D,PERIODIC,4Mh9s
"
2022.09.09_17.39.00",7.099186,43.57447,62.0,4G,LTE,-99.0,-10.0,-1.0,9.0,-,0.0,0.0,201.0,201.0,I,PERIODIC,4Mh9s
"
2022.09.09_17.39.01",7.099186,43.57447,62.0,4G,LTE,-99.0,-10.0,-1.0,9.0,-,22.0,37.0,201.0,201.0,D,PERIODIC,4Mh9s
