Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.15_13.14.41",7.225741999999999,43.673792,72.0,4G,LTE,-110.0,-18.0,-6.0,5.0,-93,38.0,49.0,193.0,193.0,D,LOG START,4Mnsq15
"
2022.09.15_13.14.42",7.225741999999999,43.673792,72.0,4G,LTE,-111.0,-19.0,-8.0,5.0,-93,0.0,20.0,193.0,193.0,D,PERIODIC,4Mnsq15
"
2022.09.15_13.14.43",7.225741999999999,43.673792,72.0,4G,LTE,-111.0,-19.0,-8.0,5.0,-93,19.0,2.0,193.0,193.0,D,PERIODIC,4Mnsq15
"
2022.09.15_13.14.44",7.225741999999999,43.673792,72.0,4G,LTE,-110.0,-18.0,-9.0,5.0,-93,0.0,23.0,193.0,193.0,D,PERIODIC,4Mnsq15
"
2022.09.15_13.14.45",7.225741999999999,43.673792,72.0,4G,LTE,-110.0,-18.0,-9.0,5.0,-93,65.0,73.0,193.0,193.0,D,PERIODIC,4Mnsq15
"
2022.09.15_13.14.46",7.225741999999999,43.673792,72.0,4G,LTE,-110.0,-18.0,-7.0,5.0,-93,26.0,20.0,193.0,193.0,D,PERIODIC,4Mnsq15
"
2022.09.15_13.14.47",7.225741999999999,43.673792,72.0,4G,LTE,-110.0,-18.0,-7.0,4.0,-94,32.0,14.0,193.0,193.0,D,PERIODIC,4Mnsq15
"
2022.09.15_13.14.48",7.225741999999999,43.673792,72.0,4G,LTE,-114.0,-19.0,-6.0,4.0,-94,19.0,2.0,193.0,193.0,D,PERIODIC,4Mnsq15
"
2022.09.15_13.14.49",7.225741999999999,43.673792,72.0,4G,LTE,-114.0,-19.0,-6.0,4.0,-92,184.0,110.0,193.0,193.0,D,PERIODIC,4Mnsq15
"
2022.09.15_13.14.50",7.225741999999999,43.673792,72.0,4G,LTE,-114.0,-19.0,-6.0,4.0,-92,53.0,13.0,193.0,193.0,D,PERIODIC,4Mnsq15
"
2022.09.15_13.14.51",7.225741999999999,43.673792,72.0,4G,LTE,-109.0,-17.0,-7.0,8.0,-87,0.0,0.0,193.0,193.0,D,PERIODIC,4Mnsq15
"
2022.09.15_13.14.52",7.225741999999999,43.673792,72.0,4G,LTE,-109.0,-17.0,-7.0,7.0,-90,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.14.53",7.225741999999999,43.673792,72.0,4G,LTE,-107.0,-16.0,-4.0,8.0,-88,19.0,2.0,193.0,193.0,D,PERIODIC,4Mnsq15
"
2022.09.15_13.14.54",7.225741999999999,43.673792,72.0,4G,LTE,-107.0,-16.0,-4.0,4.0,-93,0.0,3.0,193.0,193.0,D,PERIODIC,4Mnsq15
"
2022.09.15_13.14.55",7.225741999999999,43.673792,71.0,4G,LTE,-106.0,-16.0,-9.0,6.0,-89,133.0,5.0,193.0,193.0,D,HANDOVER_DATA_4G4G,4Mnsq15
"
2022.09.15_13.14.56",7.225741999999999,43.673792,71.0,4G,LTE,-106.0,-16.0,-9.0,9.0,-87,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.14.57",7.225741999999999,43.673792,71.0,4G,LTE,-105.0,-15.0,-6.0,8.0,-85,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.14.58",7.225741999999999,43.673792,71.0,4G,LTE,-105.0,-15.0,-6.0,6.0,-83,19.0,3.0,193.0,193.0,D,PERIODIC,4Mnsq15
"
2022.09.15_13.14.59",7.225741999999999,43.673792,71.0,4G,LTE,-101.0,-14.0,0.0,9.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.15.00",7.225741999999999,43.673792,71.0,4G,LTE,-101.0,-14.0,0.0,12.0,-81,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.15.01",7.225741999999999,43.673792,71.0,4G,LTE,-98.0,-11.0,3.0,12.0,-81,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.15.02",7.225741999999999,43.673792,71.0,4G,LTE,-98.0,-11.0,3.0,12.0,-81,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.15.03",7.225741999999999,43.673792,71.0,4G,LTE,-99.0,-13.0,2.0,12.0,-80,19.0,3.0,193.0,193.0,D,PERIODIC,4Mnsq15
"
2022.09.15_13.15.04",7.225741999999999,43.673792,71.0,4G,LTE,-99.0,-13.0,2.0,12.0,-80,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.15.05",7.225741999999999,43.673792,71.0,4G,LTE,-98.0,-13.0,3.0,7.0,-82,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.15.06",7.225741999999999,43.673792,71.0,4G,LTE,-98.0,-13.0,3.0,11.0,-82,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.15.07",7.225741999999999,43.673792,71.0,4G,LTE,-99.0,-13.0,0.0,11.0,-82,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.15.08",7.225741999999999,43.673792,71.0,4G,LTE,-99.0,-13.0,0.0,12.0,-79,19.0,3.0,193.0,193.0,D,PERIODIC,4Mnsq15
"
2022.09.15_13.15.09",7.225741999999999,43.673792,71.0,4G,LTE,-96.0,-13.0,1.0,7.0,-81,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.15.10",7.225741999999999,43.673792,71.0,4G,LTE,-96.0,-13.0,1.0,8.0,-81,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.15.11",7.225741999999999,43.673792,71.0,4G,LTE,-99.0,-12.0,5.0,15.0,-79,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.15.12",7.225741999999999,43.673792,71.0,4G,LTE,-99.0,-12.0,5.0,15.0,-77,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.15.13",7.225741999999999,43.673792,71.0,4G,LTE,-94.0,-11.0,12.0,15.0,-77,19.0,3.0,193.0,193.0,D,PERIODIC,4Mnsq15
"
2022.09.15_13.15.14",7.225741999999999,43.673792,71.0,4G,LTE,-94.0,-11.0,12.0,15.0,-77,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.15.15",7.225741999999999,43.673792,71.0,4G,LTE,-92.0,-12.0,13.0,11.0,-75,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.15.16",7.225741999999999,43.673792,71.0,4G,LTE,-92.0,-12.0,13.0,15.0,-77,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.15.17",7.225741999999999,43.673792,71.0,4G,LTE,-92.0,-9.0,6.0,13.0,-75,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsq15
"
2022.09.15_13.15.18",7.225741999999999,43.673792,71.0,4G,LTE,-92.0,-9.0,6.0,11.0,-77,19.0,3.0,193.0,193.0,D,PERIODIC,4Mnsq15
"
2022.09.15_13.15.19",7.225741999999999,43.673792,71.0,4G,LTE,-91.0,-13.0,3.0,10.0,-75,2.0,1.0,193.0,193.0,D,PERIODIC,4Mnsq15
