Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.15_13.22.46",7.202066,43.676817,63.0,4G,LTE,-90.0,-13.0,13.0,12.0,-67,0.0,0.0,193.0,193.0,I,LOG START,4Mnsr15
"
2022.09.15_13.22.46",7.202066,43.676817,63.0,4G,LTE,-85.0,-12.0,18.0,12.0,-67,0.0,1.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.22.47",7.202066,43.676817,63.0,4G,LTE,-85.0,-12.0,18.0,15.0,-63,18.0,1.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.22.48",7.202066,43.676817,63.0,4G,LTE,-79.0,-12.0,23.0,15.0,-59,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsr15
"
2022.09.15_13.22.49",7.202066,43.676817,63.0,4G,LTE,-79.0,-12.0,23.0,15.0,-61,39.0,48.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.22.50",7.202066,43.676817,63.0,4G,LTE,-77.0,-12.0,18.0,15.0,-61,19.0,17.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.22.51",7.202066,43.676817,63.0,4G,LTE,-77.0,-12.0,18.0,15.0,-61,158.0,51.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.22.52",7.202066,43.676817,63.0,4G,LTE,-78.0,-12.0,15.0,14.0,-63,19.0,1.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.22.53",7.202066,43.676817,63.0,4G,LTE,-78.0,-12.0,15.0,14.0,-63,202.0,91.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.22.54",7.202066,43.676817,63.0,4G,LTE,-81.0,-12.0,17.0,11.0,-64,15.0,3.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.22.55",7.202066,43.676817,63.0,4G,LTE,-81.0,-12.0,17.0,12.0,-61,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsr15
"
2022.09.15_13.22.56",7.202066,43.676817,63.0,4G,LTE,-80.0,-12.0,16.0,10.0,-63,0.0,1.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.22.57",7.202066,43.676817,63.0,4G,LTE,-80.0,-12.0,16.0,10.0,-77,18.0,1.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.22.58",7.202066,43.676817,63.0,4G,LTE,-95.0,-13.0,0.0,9.0,-81,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsr15
"
2022.09.15_13.22.59",7.202066,43.676817,63.0,4G,LTE,-95.0,-13.0,0.0,9.0,-81,4.0,3.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.00",7.202066,43.676817,63.0,4G,LTE,-98.0,-14.0,2.0,9.0,-81,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsr15
"
2022.09.15_13.23.01",7.202066,43.676817,63.0,4G,LTE,-98.0,-14.0,2.0,6.0,-79,2.0,2.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.02",7.202066,43.676817,63.0,4G,LTE,-96.0,-14.0,1.0,9.0,-76,18.0,1.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.03",7.202066,43.676817,63.0,4G,LTE,-96.0,-14.0,1.0,13.0,-67,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsr15
"
2022.09.15_13.23.04",7.202066,43.676817,63.0,4G,LTE,-84.0,-12.0,10.0,11.0,-68,19.0,4.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.05",7.202066,43.676817,63.0,4G,LTE,-84.0,-12.0,10.0,10.0,-66,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsr15
"
2022.09.15_13.23.06",7.202066,43.676817,63.0,4G,LTE,-84.0,-13.0,1.0,8.0,-76,0.0,1.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.07",7.202066,43.676817,63.0,4G,LTE,-84.0,-13.0,1.0,11.0,-,18.0,1.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.08",7.202066,43.676817,63.0,4G,LTE,-96.0,-14.0,6.0,11.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsr15
"
2022.09.15_13.23.09",7.202066,43.676817,63.0,4G,LTE,-96.0,-14.0,6.0,9.0,-82,4.0,3.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.10",7.202066,43.676817,63.0,4G,LTE,-99.0,-16.0,-2.0,9.0,-82,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsr15
"
2022.09.15_13.23.11",7.202066,43.676817,63.0,4G,LTE,-99.0,-16.0,-2.0,9.0,-84,0.0,2.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.13",7.202066,43.676817,63.0,4G,LTE,-101.0,-15.0,2.0,9.0,-82,0.0,0.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.14",7.202066,43.676817,63.0,4G,LTE,-101.0,-15.0,2.0,7.0,-84,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsr15
"
2022.09.15_13.23.15",7.202066,43.676817,63.0,4G,LTE,-98.0,-14.0,-1.0,8.0,-81,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsr15
"
2022.09.15_13.23.15",7.202066,43.676817,63.0,4G,LTE,-98.0,-14.0,-1.0,9.0,-79,0.0,0.0,193.0,193.0,I,PERIODIC,4Mnsr15
"
2022.09.15_13.23.16",7.202066,43.676817,63.0,4G,LTE,-89.0,-14.0,-1.0,14.0,-72,19.0,2.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.18",7.202066,43.676817,63.0,4G,LTE,-89.0,-14.0,-1.0,12.0,-71,3.0,8.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.18",7.202066,43.676817,63.0,4G,LTE,-92.0,-15.0,-5.0,14.0,-76,11.0,18.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.19",7.202066,43.676817,63.0,4G,LTE,-92.0,-15.0,-5.0,14.0,-76,0.0,0.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.21",7.202066,43.676817,63.0,4G,LTE,-90.0,-15.0,-1.0,11.0,-73,116.0,72.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.21",7.202066,43.676817,63.0,4G,LTE,-90.0,-15.0,-1.0,6.0,-94,491.0,82.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.23",7.202066,43.676817,72.0,4G,LTE,-84.0,-16.0,0.0,6.0,-,168.0,268.0,193.0,193.0,D,HANDOVER_DATA_4G4G,4Mnsr15
"
2022.09.15_13.23.24",7.202066,43.676817,72.0,4G,LTE,-84.0,-16.0,0.0,11.0,-69,8215.0,403.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.25",7.202066,43.676817,72.0,4G,LTE,-84.0,-16.0,0.0,11.0,-69,19015.0,113.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.26",7.202066,43.676817,72.0,4G,LTE,-81.0,-17.0,0.0,6.0,-64,13317.0,417.0,193.0,193.0,D,HANDOVER_DATA_4G4G,4Mnsr15
"
2022.09.15_13.23.27",7.202066,43.676817,72.0,4G,LTE,-81.0,-17.0,0.0,6.0,-64,11461.0,116.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.28",7.202066,43.676817,72.0,4G,LTE,-81.0,-16.0,-4.0,7.0,-62,14841.0,103.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.29",7.202066,43.676817,72.0,4G,LTE,-81.0,-16.0,-4.0,4.0,-69,11816.0,158.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.30",7.202066,43.676817,72.0,4G,LTE,-86.0,-17.0,-3.0,4.0,-69,8398.0,81.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.31",7.202066,43.676817,72.0,4G,LTE,-86.0,-17.0,-3.0,4.0,-69,2815.0,103.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.32",7.202066,43.676817,72.0,4G,LTE,-87.0,-17.0,-10.0,4.0,-69,3293.0,109.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.33",7.202066,43.676817,72.0,4G,LTE,-87.0,-17.0,-10.0,3.0,-71,5262.0,93.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.34",7.202066,43.676817,72.0,4G,LTE,-88.0,-17.0,-7.0,7.0,-67,5754.0,195.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.35",7.202066,43.676817,72.0,4G,LTE,-88.0,-17.0,-7.0,2.0,-73,5068.0,118.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.36",7.202066,43.676817,72.0,4G,LTE,-90.0,-20.0,-7.0,7.0,-70,5447.0,150.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.37",7.202066,43.676817,72.0,4G,LTE,-90.0,-20.0,-7.0,7.0,-70,11182.0,127.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.38",7.202066,43.676817,72.0,4G,LTE,-86.0,-17.0,-6.0,4.0,-74,9563.0,114.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.39",7.202066,43.676817,72.0,4G,LTE,-86.0,-17.0,-6.0,8.0,-69,8739.0,124.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.40",7.202066,43.676817,72.0,4G,LTE,-86.0,-15.0,-7.0,5.0,-71,6959.0,86.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.42",7.202066,43.676817,72.0,4G,LTE,-86.0,-15.0,-7.0,7.0,-69,6762.0,96.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.43",7.202066,43.676817,72.0,4G,LTE,-86.0,-16.0,-4.0,5.0,-72,10160.0,173.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.43",7.202066,43.676817,72.0,4G,LTE,-86.0,-16.0,-4.0,5.0,-72,6242.0,100.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.44",7.202066,43.676817,72.0,4G,LTE,-89.0,-17.0,-2.0,5.0,-72,10392.0,142.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.45",7.202066,43.676817,72.0,4G,LTE,-89.0,-17.0,-2.0,5.0,-72,10051.0,141.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.47",7.202066,43.676817,72.0,4G,LTE,-89.0,-18.0,-4.0,6.0,-71,6856.0,97.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.48",7.202066,43.676817,72.0,4G,LTE,-89.0,-18.0,-4.0,6.0,-71,13896.0,144.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.48",7.202066,43.676817,72.0,4G,LTE,-88.0,-16.0,-2.0,6.0,-73,8187.0,118.0,193.0,193.0,D,HANDOVER_DATA_4G4G,4Mnsr15
"
2022.09.15_13.23.49",7.202066,43.676817,72.0,4G,LTE,-88.0,-16.0,-2.0,6.0,-73,3445.0,88.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.50",7.202066,43.676817,72.0,4G,LTE,-90.0,-15.0,-11.0,2.0,-78,348.0,58.0,193.0,193.0,D,HANDOVER_DATA_4G4G,4Mnsr15
"
2022.09.15_13.23.51",7.202066,43.676817,72.0,4G,LTE,-90.0,-15.0,-11.0,2.0,-78,41.0,37.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.52",7.202066,43.676817,72.0,4G,LTE,-96.0,-20.0,-10.0,1.0,-,0.0,6.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.53",7.202066,43.676817,72.0,4G,LTE,-96.0,-20.0,-10.0,1.0,-,0.0,47.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.54",7.202066,43.676817,72.0,4G,LTE,-96.0,-20.0,-10.0,2.0,-81,534.0,43.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.55",7.202066,43.676817,72.0,4G,LTE,-96.0,-20.0,-10.0,2.0,-81,231.0,53.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.56",7.202066,43.676817,72.0,4G,LTE,-97.0,-18.0,-10.0,3.0,-79,327.0,42.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.57",7.202066,43.676817,72.0,4G,LTE,-97.0,-18.0,-10.0,6.0,-77,348.0,37.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.58",7.202066,43.676817,72.0,4G,LTE,-91.0,-16.0,-3.0,6.0,-74,1131.0,146.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.23.59",7.202066,43.676817,72.0,4G,LTE,-91.0,-16.0,-3.0,6.0,-74,199.0,31.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.00",7.202066,43.676817,72.0,4G,LTE,-91.0,-16.0,-4.0,6.0,-66,0.0,9.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.02",7.202066,43.676817,72.0,4G,LTE,-91.0,-16.0,-4.0,9.0,-,0.0,10.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.03",7.202066,43.676817,72.0,4G,LTE,-86.0,-14.0,-1.0,9.0,-69,0.0,44.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.04",7.202066,43.676817,72.0,4G,LTE,-86.0,-14.0,-1.0,6.0,-64,225.0,29.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.04",7.202066,43.676817,72.0,4G,LTE,-86.0,-16.0,1.0,6.0,-64,5704.0,65.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.05",7.202066,43.676817,72.0,4G,LTE,-86.0,-16.0,1.0,6.0,-64,4.0,14.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.06",7.202066,43.676817,72.0,4G,LTE,-87.0,-15.0,-3.0,9.0,-71,22.0,13.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.08",7.202066,43.676817,72.0,4G,LTE,-87.0,-15.0,-3.0,11.0,-64,116.0,17.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.09",7.202066,43.676817,72.0,4G,LTE,-81.0,-13.0,2.0,11.0,-64,1212.0,169.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.10",7.202066,43.676817,72.0,4G,LTE,-81.0,-13.0,2.0,7.0,-60,4754.0,110.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.11",7.202066,43.676817,72.0,4G,LTE,-77.0,-13.0,6.0,7.0,-60,4678.0,101.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.12",7.202066,43.676817,72.0,4G,LTE,-77.0,-13.0,6.0,11.0,-58,5197.0,126.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.13",7.202066,43.676817,72.0,4G,LTE,-75.0,-13.0,8.0,11.0,-51,3670.0,116.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.14",7.202066,43.676817,72.0,4G,LTE,-75.0,-13.0,8.0,11.0,-48,8105.0,81.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.15",7.202066,43.676817,72.0,4G,LTE,-65.0,-12.0,12.0,11.0,-48,6888.0,99.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.16",7.202066,43.676817,72.0,4G,LTE,-65.0,-12.0,12.0,11.0,-48,7184.0,78.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.17",7.202066,43.676817,72.0,4G,LTE,-65.0,-12.0,12.0,15.0,-50,6531.0,82.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.18",7.202066,43.676817,72.0,4G,LTE,-67.0,-12.0,14.0,15.0,-50,8738.0,101.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.19",7.202066,43.676817,72.0,4G,LTE,-67.0,-12.0,14.0,15.0,-50,4513.0,76.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.20",7.202066,43.676817,72.0,4G,LTE,-68.0,-11.0,15.0,11.0,-48,2374.0,33.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.21",7.202066,43.676817,72.0,4G,LTE,-68.0,-11.0,15.0,13.0,-50,7.0,10.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.22",7.202066,43.676817,72.0,4G,LTE,-65.0,-12.0,16.0,8.0,-48,26.0,13.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.23",7.202066,43.676817,72.0,4G,LTE,-65.0,-12.0,16.0,12.0,-53,7.0,10.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.24",7.202066,43.676817,72.0,4G,LTE,-69.0,-12.0,10.0,10.0,-53,8.0,12.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.25",7.202066,43.676817,72.0,4G,LTE,-69.0,-12.0,10.0,12.0,-55,8.0,10.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.26",7.202066,43.676817,72.0,4G,LTE,-70.0,-12.0,8.0,15.0,-53,317.0,35.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.27",7.202066,43.676817,72.0,4G,LTE,-70.0,-12.0,8.0,15.0,-53,5999.0,93.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.28",7.202066,43.676817,72.0,4G,LTE,-69.0,-11.0,11.0,15.0,-57,8389.0,100.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.29",7.202066,43.676817,72.0,4G,LTE,-69.0,-11.0,11.0,15.0,-57,4732.0,87.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.30",7.202066,43.676817,72.0,4G,LTE,-75.0,-12.0,8.0,7.0,-59,3525.0,74.0,193.0,193.0,D,PERIODIC,4Mnsr15
"
2022.09.15_13.24.31",7.202066,43.676817,72.0,4G,LTE,-75.0,-12.0,8.0,14.0,-56,3565.0,79.0,193.0,193.0,D,PERIODIC,4Mnsr15
