Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.10_17.07.36",7.103910000000001,43.572259,61.0,4G,LTE,-103.0,-10.0,1.0,12.0,-87,0.0,1.0,214.0,214.0,D,LOG START,4Mq
"
2022.09.10_17.07.36",7.103910000000001,43.572259,61.0,4G,LTE,-103.0,-10.0,1.0,12.0,-87,0.0,1.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.07.37",7.103910000000001,43.572259,61.0,4G,LTE,-104.0,-10.0,0.0,8.0,-85,18.0,1.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.07.38",7.103910000000001,43.572259,61.0,4G,LTE,-104.0,-10.0,0.0,8.0,-85,0.0,0.0,214.0,214.0,I,PERIODIC,4Mq
"
2022.09.10_17.07.39",7.103910000000001,43.572259,61.0,4G,LTE,-103.0,-12.0,1.0,12.0,-87,0.0,0.0,214.0,214.0,I,PERIODIC,4Mq
"
2022.09.10_17.07.40",7.103910000000001,43.572259,61.0,4G,LTE,-103.0,-12.0,1.0,11.0,-85,0.0,0.0,214.0,214.0,I,PERIODIC,4Mq
"
2022.09.10_17.07.41",7.103910000000001,43.572259,61.0,4G,LTE,-103.0,-8.0,-1.0,8.0,-87,18.0,3.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.07.42",7.103910000000001,43.572259,61.0,4G,LTE,-103.0,-8.0,-1.0,8.0,-87,59.0,21.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.07.43",7.103910000000001,43.572259,61.0,4G,LTE,-104.0,-11.0,-3.0,8.0,-87,2.0,3.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.07.44",7.103910000000001,43.572259,61.0,4G,LTE,-104.0,-11.0,-3.0,8.0,-87,45.0,10.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.07.45",7.103910000000001,43.572259,61.0,4G,LTE,-104.0,-9.0,-3.0,11.0,-87,2.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.07.46",7.103910000000001,43.572259,61.0,4G,LTE,-104.0,-9.0,-3.0,11.0,-87,18.0,2.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.07.47",7.103910000000001,43.572259,61.0,4G,LTE,-104.0,-8.0,-1.0,8.0,-85,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.07.48",7.103910000000001,43.572259,61.0,4G,LTE,-104.0,-8.0,-1.0,8.0,-85,0.0,0.0,214.0,214.0,I,PERIODIC,4Mq
"
2022.09.10_17.07.49",7.103910000000001,43.572259,61.0,4G,LTE,-104.0,-13.0,1.0,9.0,-87,0.0,0.0,214.0,214.0,I,PERIODIC,4Mq
"
2022.09.10_17.07.50",7.103910000000001,43.572259,61.0,4G,LTE,-104.0,-13.0,1.0,9.0,-87,0.0,0.0,214.0,214.0,I,PERIODIC,4Mq
"
2022.09.10_17.07.51",7.103910000000001,43.572259,61.0,4G,LTE,-103.0,-10.0,-4.0,9.0,-87,18.0,2.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.07.52",7.103910000000001,43.572259,61.0,4G,LTE,-103.0,-10.0,-4.0,12.0,-87,46.0,54.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.07.53",7.103910000000001,43.572259,61.0,4G,LTE,-104.0,-10.0,4.0,12.0,-87,91.0,15.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.07.54",7.103910000000001,43.572259,61.0,4G,LTE,-104.0,-10.0,4.0,13.0,-89,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.07.55",7.103910000000001,43.572259,61.0,4G,LTE,-105.0,-10.0,6.0,12.0,-87,0.0,0.0,214.0,214.0,I,PERIODIC,4Mq
"
2022.09.10_17.07.57",7.103910000000001,43.572259,61.0,4G,LTE,-105.0,-10.0,6.0,12.0,-87,18.0,2.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.07.57",7.103910000000001,43.572259,61.0,4G,LTE,-105.0,-10.0,4.0,12.0,-87,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.07.59",7.103910000000001,43.572259,61.0,4G,LTE,-105.0,-10.0,4.0,14.0,-89,0.0,0.0,214.0,214.0,I,PERIODIC,4Mq
"
2022.09.10_17.08.00",7.103910000000001,43.572259,61.0,4G,LTE,-106.0,-10.0,0.0,12.0,-87,0.0,0.0,214.0,214.0,I,PERIODIC,4Mq
"
2022.09.10_17.08.00",7.103910000000001,43.572259,61.0,4G,LTE,-106.0,-10.0,0.0,12.0,-87,0.0,0.0,214.0,214.0,I,PERIODIC,4Mq
"
2022.09.10_17.08.01",7.103910000000001,43.572259,61.0,4G,LTE,-106.0,-10.0,0.0,10.0,-85,18.0,2.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.03",7.103910000000001,43.572259,61.0,4G,LTE,-102.0,-10.0,-4.0,13.0,-87,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.04",7.103910000000001,43.572259,61.0,4G,LTE,-102.0,-10.0,-4.0,11.0,-89,0.0,0.0,214.0,214.0,I,PERIODIC,4Mq
"
2022.09.10_17.08.05",7.103910000000001,43.572259,61.0,4G,LTE,-104.0,-10.0,1.0,11.0,-87,0.0,0.0,214.0,214.0,I,PERIODIC,4Mq
"
2022.09.10_17.08.06",7.103910000000001,43.572259,61.0,4G,LTE,-104.0,-10.0,1.0,11.0,-87,0.0,0.0,214.0,214.0,I,PERIODIC,4Mq
"
2022.09.10_17.08.07",7.103910000000001,43.572259,61.0,4G,LTE,-101.0,-9.0,1.0,14.0,-84,0.0,1.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.08",7.103910000000001,43.572259,61.0,4G,LTE,-101.0,-9.0,1.0,9.0,-88,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.09",7.103910000000001,43.572259,61.0,4G,LTE,-108.0,-10.0,-1.0,7.0,-90,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.10",7.103910000000001,43.572259,61.0,4G,LTE,-108.0,-10.0,-1.0,11.0,-88,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.11",7.103910000000001,43.572259,61.0,4G,LTE,-99.0,-9.0,-3.0,10.0,-80,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.12",7.103910000000001,43.572259,61.0,4G,LTE,-99.0,-9.0,-3.0,6.0,-85,20.0,3.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.13",7.103910000000001,43.572259,61.0,4G,LTE,-102.0,-8.0,-1.0,7.0,-90,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.14",7.103910000000001,43.572259,61.0,4G,LTE,-102.0,-8.0,-1.0,12.0,-,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.15",7.103910000000001,43.572259,61.0,4G,LTE,-102.0,-12.0,0.0,12.0,-,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.16",7.103910000000001,43.572259,61.0,4G,LTE,-102.0,-12.0,0.0,10.0,-82,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.17",7.103910000000001,43.572259,61.0,4G,LTE,-100.0,-12.0,-4.0,10.0,-,18.0,3.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.18",7.103910000000001,43.572259,61.0,4G,LTE,-100.0,-12.0,-4.0,9.0,-86,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.19",7.103910000000001,43.572259,61.0,4G,LTE,-103.0,-10.0,1.0,10.0,-,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.20",7.103910000000001,43.572259,61.0,4G,LTE,-103.0,-10.0,1.0,10.0,-,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.21",7.103910000000001,43.572259,61.0,4G,LTE,-103.0,-11.0,-3.0,10.0,-,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.22",7.103910000000001,43.572259,61.0,4G,LTE,-103.0,-11.0,-3.0,10.0,-,114.0,29.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.23",7.103910000000001,43.572259,61.0,4G,LTE,-102.0,-10.0,-3.0,10.0,-,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.24",7.103910000000001,43.572259,61.0,4G,LTE,-102.0,-10.0,-3.0,6.0,-88,2.0,1.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.25",7.103910000000001,43.572259,61.0,4G,LTE,-105.0,-11.0,1.0,11.0,-86,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.26",7.103910000000001,43.572259,61.0,4G,LTE,-105.0,-11.0,1.0,12.0,-88,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.27",7.103910000000001,43.572259,61.0,4G,LTE,-104.0,-11.0,3.0,12.0,-88,18.0,3.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.28",7.103910000000001,43.572259,61.0,4G,LTE,-104.0,-11.0,3.0,11.0,-93,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.29",7.103910000000001,43.572259,61.0,4G,LTE,-106.0,-12.0,0.0,15.0,-88,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.30",7.103910000000001,43.572259,61.0,4G,LTE,-106.0,-12.0,0.0,13.0,-93,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
"
2022.09.10_17.08.31",7.103910000000001,43.572259,61.0,4G,LTE,-109.0,-12.0,0.0,13.0,-93,0.0,0.0,214.0,214.0,D,PERIODIC,4Mq
