Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.10_15.59.52",7.118989999999999,43.58798,63.0,4G,LTE,-100.0,-13.0,2.0,12.0,-80,0.0,0.0,214.0,214.0,I,LOG START,4Mr
"
2022.09.10_15.59.52",7.118989999999999,43.58798,63.0,4G,LTE,-98.0,-12.0,0.0,12.0,-80,0.0,0.0,214.0,214.0,I,PERIODIC,4Mr
"
2022.09.10_15.59.53",7.118989999999999,43.58798,63.0,4G,LTE,-98.0,-12.0,0.0,12.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Mr
"
2022.09.10_15.59.54",7.118989999999999,43.58798,63.0,4G,LTE,-100.0,-12.0,-1.0,11.0,-,0.0,1.0,214.0,214.0,D,PERIODIC,4Mr
"
2022.09.10_15.59.55",7.118989999999999,43.58798,63.0,4G,LTE,-100.0,-12.0,-1.0,12.0,-,17.0,0.0,214.0,214.0,D,PERIODIC,4Mr
"
2022.09.10_15.59.56",7.118989999999999,43.58798,63.0,4G,LTE,-101.0,-11.0,-1.0,12.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Mr
"
2022.09.10_15.59.57",7.118989999999999,43.58798,63.0,4G,LTE,-101.0,-11.0,-1.0,14.0,-84,0.0,0.0,214.0,214.0,I,PERIODIC,4Mr
"
2022.09.10_15.59.58",7.118989999999999,43.58798,63.0,4G,LTE,-101.0,-12.0,-3.0,14.0,-84,0.0,0.0,214.0,214.0,I,PERIODIC,4Mr
"
2022.09.10_15.59.59",7.118989999999999,43.58798,63.0,4G,LTE,-101.0,-12.0,-3.0,9.0,-86,18.0,2.0,214.0,214.0,D,PERIODIC,4Mr
"
2022.09.10_16.00.00",7.118989999999999,43.58798,63.0,4G,LTE,-102.0,-12.0,0.0,9.0,-86,0.0,0.0,214.0,214.0,I,PERIODIC,4Mr
"
2022.09.10_16.00.01",7.118989999999999,43.58798,63.0,4G,LTE,-102.0,-12.0,0.0,13.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Mr
"
2022.09.10_16.00.02",7.118989999999999,43.58798,63.0,4G,LTE,-98.0,-13.0,-3.0,12.0,-84,0.0,0.0,214.0,214.0,I,PERIODIC,4Mr
"
2022.09.10_16.00.03",7.118989999999999,43.58798,63.0,4G,LTE,-98.0,-13.0,-3.0,12.0,-84,41.0,29.0,214.0,214.0,D,PERIODIC,4Mr
"
2022.09.10_16.00.04",7.118989999999999,43.58798,63.0,4G,LTE,-101.0,-15.0,-3.0,12.0,-84,18.0,3.0,214.0,214.0,D,PERIODIC,4Mr
"
2022.09.10_16.00.05",7.118989999999999,43.58798,63.0,4G,LTE,-101.0,-15.0,-3.0,9.0,-86,23.0,39.0,214.0,214.0,D,PERIODIC,4Mr
"
2022.09.10_16.00.06",7.118989999999999,43.58798,63.0,4G,LTE,-102.0,-15.0,-4.0,9.0,-86,143.0,89.0,214.0,214.0,D,PERIODIC,4Mr
"
2022.09.10_16.00.07",7.118989999999999,43.58798,63.0,4G,LTE,-102.0,-15.0,-4.0,9.0,-86,0.0,0.0,214.0,214.0,D,PERIODIC,4Mr
"
2022.09.10_16.00.08",7.118989999999999,43.58798,63.0,4G,LTE,-102.0,-13.0,-4.0,9.0,-86,0.0,0.0,214.0,214.0,I,PERIODIC,4Mr
"
2022.09.10_16.00.09",7.118989999999999,43.58798,63.0,4G,LTE,-102.0,-13.0,-4.0,12.0,-84,18.0,8.0,214.0,214.0,D,PERIODIC,4Mr
"
2022.09.10_16.00.10",7.118989999999999,43.58798,63.0,4G,LTE,-101.0,-12.0,-2.0,11.0,-,2.0,0.0,214.0,214.0,D,PERIODIC,4Mr
