Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.26_15.46.33",7.117936,43.585728,71.0,4G,LTE,-92.0,-11.0,10.0,9.0,-,0.0,0.0,169.0,169.0,D,LOG START,4Mr26
"
2022.08.26_15.46.33",7.117936,43.585728,71.0,4G,LTE,-92.0,-11.0,10.0,9.0,-,0.0,0.0,169.0,169.0,D,PERIODIC,4Mr26
"
2022.08.26_15.46.35",7.117936,43.585728,71.0,4G,LTE,-91.0,-11.0,11.0,8.0,-75,0.0,0.0,169.0,169.0,I,PERIODIC,4Mr26
"
2022.08.26_15.46.35",7.117936,43.585728,71.0,4G,LTE,-91.0,-11.0,11.0,8.0,-75,0.0,0.0,169.0,169.0,I,PERIODIC,4Mr26
"
2022.08.26_15.46.36",7.117936,43.585728,71.0,4G,LTE,-93.0,-11.0,5.0,11.0,-77,0.0,0.0,169.0,169.0,I,PERIODIC,4Mr26
"
2022.08.26_15.46.38",7.117936,43.585728,71.0,4G,LTE,-93.0,-11.0,5.0,12.0,-74,19.0,3.0,169.0,169.0,D,PERIODIC,4Mr26
"
2022.08.26_15.46.38",7.117936,43.585728,71.0,4G,LTE,-92.0,-10.0,5.0,8.0,-78,19.0,13.0,169.0,169.0,D,PERIODIC,4Mr26
"
2022.08.26_15.46.39",7.117936,43.585728,71.0,4G,LTE,-92.0,-10.0,5.0,11.0,-78,0.0,0.0,169.0,169.0,D,PERIODIC,4Mr26
"
2022.08.26_15.46.40",7.117936,43.585728,71.0,4G,LTE,-95.0,-13.0,2.0,9.0,-77,18.0,11.0,169.0,169.0,D,PERIODIC,4Mr26
"
2022.08.26_15.46.41",7.117936,43.585728,71.0,4G,LTE,-95.0,-13.0,2.0,9.0,-77,0.0,0.0,169.0,169.0,D,PERIODIC,4Mr26
"
2022.08.26_15.46.42",7.117936,43.585728,71.0,4G,LTE,-93.0,-11.0,7.0,9.0,-75,19.0,2.0,169.0,169.0,D,PERIODIC,4Mr26
"
2022.08.26_15.46.43",7.117936,43.585728,71.0,4G,LTE,-93.0,-11.0,7.0,9.0,-75,11.0,5.0,169.0,169.0,D,PERIODIC,4Mr26
"
2022.08.26_15.46.45",7.117936,43.585728,71.0,4G,LTE,-92.0,-15.0,5.0,9.0,-75,0.0,0.0,169.0,169.0,D,PERIODIC,4Mr26
"
2022.08.26_15.46.45",7.117936,43.585728,71.0,4G,LTE,-92.0,-15.0,5.0,9.0,-75,169.0,63.0,169.0,169.0,D,PERIODIC,4Mr26
"
2022.08.26_15.46.47",7.117936,43.585728,71.0,4G,LTE,-92.0,-13.0,8.0,9.0,-75,5.0,1.0,169.0,169.0,D,PERIODIC,4Mr26
"
2022.08.26_15.46.48",7.117936,43.585728,71.0,4G,LTE,-92.0,-13.0,8.0,9.0,-75,19.0,2.0,169.0,169.0,D,PERIODIC,4Mr26
"
2022.08.26_15.46.49",7.117936,43.585728,71.0,4G,LTE,-93.0,-10.0,4.0,8.0,-77,0.0,0.0,169.0,169.0,I,PERIODIC,4Mr26
"
2022.08.26_15.46.50",7.117936,43.585728,71.0,4G,LTE,-93.0,-10.0,4.0,11.0,-77,0.0,0.0,169.0,169.0,I,PERIODIC,4Mr26
"
2022.08.26_15.46.51",7.117936,43.585728,71.0,4G,LTE,-94.0,-10.0,8.0,11.0,-77,0.0,0.0,169.0,169.0,I,PERIODIC,4Mr26
"
2022.08.26_15.46.52",7.117936,43.585728,71.0,4G,LTE,-94.0,-10.0,8.0,8.0,-75,0.0,0.0,169.0,169.0,I,PERIODIC,4Mr26
"
2022.08.26_15.46.53",7.117936,43.585728,71.0,4G,LTE,-94.0,-11.0,7.0,12.0,-77,19.0,2.0,169.0,169.0,D,PERIODIC,4Mr26
"
2022.08.26_15.46.54",7.117936,43.585728,71.0,4G,LTE,-94.0,-11.0,7.0,12.0,-75,0.0,0.0,169.0,169.0,I,PERIODIC,4Mr26
"
2022.08.26_15.46.55",7.117936,43.585728,71.0,4G,LTE,-93.0,-11.0,4.0,8.0,-77,0.0,0.0,169.0,169.0,I,PERIODIC,4Mr26
"
2022.08.26_15.46.56",7.117936,43.585728,71.0,4G,LTE,-93.0,-11.0,4.0,8.0,-77,0.0,0.0,169.0,169.0,I,PERIODIC,4Mr26
"
2022.08.26_15.46.57",7.117936,43.585728,71.0,4G,LTE,-94.0,-10.0,5.0,8.0,-77,0.0,0.0,169.0,169.0,I,PERIODIC,4Mr26
"
2022.08.26_15.46.58",7.117936,43.585728,71.0,4G,LTE,-94.0,-10.0,5.0,8.0,-77,0.0,0.0,169.0,169.0,I,PERIODIC,4Mr26
"
2022.08.26_15.46.59",7.117936,43.585728,71.0,4G,LTE,-95.0,-10.0,8.0,8.0,-77,0.0,0.0,169.0,169.0,I,PERIODIC,4Mr26
