Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.10.27_10.27.27",7.057173,43.624117,71.0,4G,4G,-77.0,-12.0,12.0,9,-77,0.0,0.0,188.0,188.0,I,LOG START,,,,4Mr27o
"
2022.10.27_10.27.27",7.057173,43.624117,71.0,4G,4G,-77.0,-12.0,12.0,9,-77,0.0,0.0,188.0,188.0,I,,,,,4Mr27o
"
2022.10.27_10.27.27",7.057173,43.624117,71.0,4G,4G,-76.0,-12.0,13.0,10,-77,0.0,0.0,188.0,188.0,I,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.28",7.057173,43.624117,71.0,4G,4G,-76.0,-12.0,13.0,10,-79,0.0,0.0,188.0,188.0,I,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.29",7.057173,43.624117,71.0,4G,4G,-79.0,-12.0,12.0,-,-79,0.0,0.0,188.0,188.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.30",7.057173,43.624117,71.0,4G,4G,-79.0,-12.0,12.0,-,-79,54.0,24.0,188.0,188.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.31",7.057173,43.624117,71.0,4G,4G,-77.0,-12.0,14.0,12,-77,36.0,3.0,188.0,188.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.32",7.057173,43.624117,71.0,4G,4G,-77.0,-12.0,14.0,12,-81,152.0,44.0,188.0,188.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.33",7.057173,43.624117,71.0,4G,4G,-80.0,-13.0,14.0,11,-81,43.0,14.0,188.0,188.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.34",7.057173,43.624117,71.0,4G,4G,-80.0,-13.0,14.0,11,-77,7.0,2.0,188.0,188.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.35",7.057173,43.624117,71.0,4G,4G,-77.0,-13.0,11.0,12,-77,0.0,0.0,188.0,188.0,I,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.36",7.057173,43.624117,71.0,4G,4G,-77.0,-13.0,11.0,12,-77,0.0,0.0,188.0,188.0,I,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.37",7.057173,43.624117,71.0,4G,4G,-77.0,-13.0,11.0,12,-79,0.0,0.0,188.0,188.0,I,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.38",7.057173,43.624117,71.0,4G,4G,-77.0,-13.0,11.0,12,-79,0.0,0.0,188.0,188.0,I,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.39",7.057173,43.624117,71.0,4G,4G,-77.0,-11.0,13.0,-,-79,0.0,0.0,188.0,188.0,I,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.40",7.057173,43.624117,71.0,4G,4G,-77.0,-11.0,13.0,-,-79,0.0,0.0,188.0,188.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.41",7.057173,43.624117,71.0,4G,4G,-78.0,-12.0,13.0,14,-79,8.0,12.0,188.0,188.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.42",7.057173,43.624117,71.0,4G,4G,-78.0,-12.0,13.0,14,-77,0.0,0.0,188.0,188.0,I,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.43",7.057173,43.624117,71.0,4G,4G,-78.0,-12.0,14.0,12,-77,0.0,0.0,188.0,188.0,I,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.44",7.057173,43.624117,71.0,4G,4G,-78.0,-12.0,14.0,12,-77,0.0,0.0,188.0,188.0,I,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.45",7.057173,43.624117,71.0,4G,4G,-79.0,-12.0,-8.0,11,-79,0.0,0.0,188.0,188.0,I,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.46",7.057173,43.624117,71.0,4G,4G,-79.0,-12.0,-8.0,11,-79,0.0,0.0,188.0,188.0,I,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.47",7.057173,43.624117,71.0,4G,4G,-79.0,-12.0,-8.0,11,-79,0.0,0.0,188.0,188.0,I,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.48",7.057173,43.624117,71.0,4G,4G,-79.0,-12.0,-8.0,11,-79,0.0,0.0,188.0,188.0,I,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.49",7.057173,43.624117,71.0,4G,4G,-77.0,-13.0,16.0,12,-77,306.0,81.0,188.0,188.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.50",7.057173,43.624117,71.0,4G,4G,-77.0,-13.0,16.0,12,-77,567.0,148.0,188.0,188.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.51",7.057173,43.624117,71.0,4G,4G,-77.0,-12.0,13.0,12,-77,624.0,144.0,188.0,188.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.52",7.057173,43.624117,71.0,4G,4G,-77.0,-12.0,13.0,12,-77,5.0,23.0,188.0,188.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.53",7.057173,43.624117,71.0,4G,4G,-76.0,-12.0,14.0,11,-77,24.0,152.0,188.0,188.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.54",7.057173,43.624117,71.0,4G,4G,-76.0,-12.0,14.0,11,-73,473.0,33.0,188.0,188.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.55",7.057173,43.624117,71.0,4G,4G,-71.0,-12.0,13.0,12,-73,607.0,67.0,188.0,188.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.56",7.057173,43.624117,71.0,4G,4G,-71.0,-12.0,13.0,12,-73,293.0,81.0,188.0,188.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.57",7.0571839999999995,43.623995,71.0,4G,4G,-71.0,-12.0,13.0,12,-73,293.0,81.0,187.0,187.0,D,,,,,4Mr27o
"
2022.10.27_10.27.57",7.0571839999999995,43.623995,71.0,4G,4G,-73.0,-12.0,11.0,11,-73,436.0,52.0,187.0,187.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.58",7.0571839999999995,43.623995,71.0,4G,4G,-73.0,-12.0,11.0,11,-73,545.0,86.0,187.0,187.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.27.59",7.057243,43.623878000000005,71.0,4G,4G,-73.0,-12.0,11.0,11,-73,545.0,86.0,186.0,186.0,D,,,,,4Mr27o
"
2022.10.27_10.27.59",7.057243,43.623878000000005,71.0,4G,4G,-73.0,-12.0,11.0,12,-73,483.0,123.0,186.0,186.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.28.00",7.057243,43.623878000000005,71.0,4G,4G,-73.0,-12.0,11.0,12,-79,748.0,142.0,186.0,186.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.28.01",7.057321000000001,43.623734999999996,71.0,4G,4G,-73.0,-12.0,11.0,12,-75,748.0,142.0,186.0,186.0,D,,,,,4Mr27o
"
2022.10.27_10.28.01",7.057321000000001,43.623734999999996,71.0,4G,4G,-74.0,-12.0,12.0,11,-75,176.0,12.0,186.0,186.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.28.02",7.057321000000001,43.623734999999996,71.0,4G,4G,-74.0,-12.0,12.0,11,-75,272.0,13.0,186.0,186.0,D,PERIODIC,,,,4Mr27o
"
2022.10.27_10.28.03",7.057419,43.623567,71.0,4G,4G,-74.0,-12.0,12.0,11,-71,272.0,13.0,185.0,185.0,D,,,,,4Mr27o
"
2022.10.27_10.28.03",7.057419,43.623567,71.0,4G,4G,-70.0,-11.0,12.0,11,-71,249.0,31.0,185.0,185.0,D,PERIODIC,,,,4Mr27o
