Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.09_16.07.15",7.118499000000001,43.585514,63.0,4G,LTE,-84.0,-13.0,2.0,9.0,-65,4.0,4.0,201.0,201.0,D,LOG START,4Mr9s
"
2022.09.09_16.07.15",7.118499000000001,43.585514,63.0,4G,LTE,-84.0,-13.0,2.0,8.0,-65,20.0,3.0,201.0,201.0,D,PERIODIC,4Mr9s
"
2022.09.09_16.07.16",7.118499000000001,43.585514,63.0,4G,LTE,-82.0,-13.0,7.0,11.0,-62,0.0,0.0,201.0,201.0,D,PERIODIC,4Mr9s
"
2022.09.09_16.07.17",7.118499000000001,43.585514,63.0,4G,LTE,-82.0,-13.0,7.0,5.0,-61,0.0,0.0,201.0,201.0,I,PERIODIC,4Mr9s
"
2022.09.09_16.07.18",7.118499000000001,43.585514,63.0,4G,LTE,-82.0,-13.0,7.0,9.0,-62,0.0,0.0,201.0,201.0,I,PERIODIC,4Mr9s
"
2022.09.09_16.07.19",7.118499000000001,43.585514,63.0,4G,LTE,-80.0,-13.0,8.0,9.0,-64,0.0,0.0,201.0,201.0,I,PERIODIC,4Mr9s
"
2022.09.09_16.07.20",7.118499000000001,43.585514,63.0,4G,LTE,-80.0,-13.0,8.0,11.0,-62,18.0,3.0,201.0,201.0,D,PERIODIC,4Mr9s
"
2022.09.09_16.07.21",7.118499000000001,43.585514,63.0,4G,LTE,-79.0,-11.0,12.0,9.0,-66,0.0,0.0,201.0,201.0,I,PERIODIC,4Mr9s
"
2022.09.09_16.07.22",7.118499000000001,43.585514,63.0,4G,LTE,-79.0,-11.0,12.0,10.0,-64,0.0,0.0,201.0,201.0,I,PERIODIC,4Mr9s
"
2022.09.09_16.07.23",7.118499000000001,43.585514,63.0,4G,LTE,-80.0,-15.0,3.0,9.0,-67,0.0,0.0,201.0,201.0,I,PERIODIC,4Mr9s
"
2022.09.09_16.07.24",7.118499000000001,43.585514,63.0,4G,LTE,-80.0,-15.0,3.0,10.0,-65,0.0,0.0,201.0,201.0,D,PERIODIC,4Mr9s
"
2022.09.09_16.07.25",7.118499000000001,43.585514,63.0,4G,LTE,-81.0,-9.0,2.0,8.0,-65,18.0,3.0,201.0,201.0,D,PERIODIC,4Mr9s
"
2022.09.09_16.07.26",7.118499000000001,43.585514,63.0,4G,LTE,-81.0,-9.0,2.0,9.0,-65,0.0,0.0,201.0,201.0,D,PERIODIC,4Mr9s
"
2022.09.09_16.07.27",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-9.0,10.0,8.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4Mr9s
"
2022.09.09_16.07.28",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-9.0,10.0,9.0,-65,0.0,0.0,201.0,201.0,I,PERIODIC,4Mr9s
"
2022.09.09_16.07.29",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-14.0,6.0,7.0,-67,0.0,0.0,201.0,201.0,D,PERIODIC,4Mr9s
"
2022.09.09_16.07.30",7.118499000000001,43.585514,63.0,4G,LTE,-83.0,-14.0,6.0,7.0,-67,29.0,14.0,201.0,201.0,D,PERIODIC,4Mr9s
"
2022.09.09_16.07.31",7.118499000000001,43.585514,63.0,4G,LTE,-85.0,-13.0,5.0,5.0,-70,0.0,0.0,201.0,201.0,I,PERIODIC,4Mr9s
"
2022.09.09_16.07.32",7.118499000000001,43.585514,63.0,4G,LTE,-85.0,-13.0,5.0,5.0,-68,0.0,0.0,201.0,201.0,I,PERIODIC,4Mr9s
