Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.09_16.15.06",7.117626,43.576809000000004,61.0,4G,LTE,-99.0,-17.0,-2.0,8.0,-76,90.0,4.0,201.0,201.0,D,LOG START,4Mu9s
"
2022.09.09_16.15.06",7.116528999999999,43.576671000000005,61.0,4G,LTE,-97.0,-14.0,-1.0,8.0,-76,90.0,4.0,201.0,201.0,D,PERIODIC,4Mu9s
"
2022.09.09_16.15.07",7.116528999999999,43.576671000000005,61.0,4G,LTE,-97.0,-14.0,-1.0,8.0,-74,28.0,1.0,201.0,201.0,D,PERIODIC,4Mu9s
"
2022.09.09_16.15.08",7.116528999999999,43.576671000000005,61.0,4G,LTE,-90.0,-11.0,1.0,8.0,-78,18.0,3.0,201.0,201.0,D,PERIODIC,4Mu9s
"
2022.09.09_16.15.09",7.116528999999999,43.576671000000005,61.0,4G,LTE,-90.0,-11.0,1.0,8.0,-78,22.0,36.0,201.0,201.0,D,PERIODIC,4Mu9s
"
2022.09.09_16.15.10",7.116528999999999,43.576671000000005,61.0,4G,LTE,-94.0,-13.0,-1.0,11.0,-90,0.0,0.0,201.0,201.0,I,PERIODIC,4Mu9s
"
2022.09.09_16.15.11",7.116528999999999,43.576671000000005,61.0,4G,LTE,-94.0,-13.0,-1.0,8.0,-81,51.0,33.0,201.0,201.0,D,PERIODIC,4Mu9s
"
2022.09.09_16.15.12",7.116528999999999,43.576671000000005,63.0,4G,LTE,-98.0,-14.0,0.0,6.0,-,4.0,16.0,201.0,201.0,D,HANDOVER_DATA_4G4G,4Mu9s
"
2022.09.09_16.15.13",7.116528999999999,43.576671000000005,63.0,4G,LTE,-98.0,-14.0,0.0,6.0,-,212.0,47.0,201.0,201.0,D,PERIODIC,4Mu9s
"
2022.09.09_16.15.14",7.116528999999999,43.576671000000005,63.0,4G,LTE,-98.0,-11.0,0.0,4.0,-,0.0,0.0,201.0,201.0,D,PERIODIC,4Mu9s
"
2022.09.09_16.15.15",7.116528999999999,43.576671000000005,63.0,4G,LTE,-98.0,-11.0,0.0,7.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Mu9s
"
2022.09.09_16.15.16",7.116528999999999,43.576671000000005,63.0,4G,LTE,-97.0,-11.0,4.0,9.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Mu9s
"
2022.09.09_16.15.17",7.116528999999999,43.576671000000005,63.0,4G,LTE,-97.0,-11.0,4.0,5.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Mu9s
"
2022.09.09_16.15.19",7.116528999999999,43.576671000000005,63.0,4G,LTE,-97.0,-13.0,0.0,5.0,-81,53.0,31.0,201.0,201.0,D,PERIODIC,4Mu9s
"
2022.09.09_16.15.19",7.116528999999999,43.576671000000005,63.0,4G,LTE,-97.0,-13.0,0.0,5.0,-81,688.0,175.0,201.0,201.0,D,PERIODIC,4Mu9s
"
2022.09.09_16.15.21",7.116528999999999,43.576671000000005,63.0,4G,LTE,-99.0,-13.0,2.0,5.0,-81,808.0,318.0,201.0,201.0,D,PERIODIC,4Mu9s
"
2022.09.09_16.15.22",7.116528999999999,43.576671000000005,63.0,4G,LTE,-99.0,-13.0,2.0,9.0,-90,8455.0,522.0,201.0,201.0,D,PERIODIC,4Mu9s
