Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.10_16.47.37",7.103581,43.572263,61.0,4G,LTE,-99.0,-12.0,1.0,9.0,-83,0.0,0.0,214.0,214.0,I,LOG START,4Mv
"
2022.09.10_16.47.37",7.103581,43.572263,61.0,4G,LTE,-99.0,-12.0,1.0,9.0,-83,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.47.38",7.103581,43.572263,61.0,4G,LTE,-99.0,-12.0,1.0,6.0,-81,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.47.39",7.103581,43.572263,61.0,4G,LTE,-98.0,-9.0,-1.0,6.0,-81,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.47.40",7.103581,43.572263,61.0,4G,LTE,-98.0,-9.0,-1.0,6.0,-81,18.0,3.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.47.41",7.103581,43.572263,61.0,4G,LTE,-99.0,-11.0,-3.0,8.0,-83,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.47.42",7.103581,43.572263,61.0,4G,LTE,-99.0,-11.0,-3.0,8.0,-81,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.47.43",7.103581,43.572263,61.0,4G,LTE,-98.0,-9.0,3.0,8.0,-81,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.47.44",7.103581,43.572263,61.0,4G,LTE,-98.0,-9.0,3.0,8.0,-81,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.47.45",7.103581,43.572263,61.0,4G,LTE,-97.0,-9.0,3.0,8.0,-81,18.0,3.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.47.46",7.103581,43.572263,61.0,4G,LTE,-97.0,-9.0,3.0,8.0,-83,0.0,0.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.47.47",7.103581,43.572263,61.0,4G,LTE,-99.0,-10.0,3.0,5.0,-81,0.0,0.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.47.48",7.103581,43.572263,61.0,4G,LTE,-99.0,-10.0,3.0,8.0,-83,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.47.50",7.103581,43.572263,61.0,4G,LTE,-102.0,-10.0,-1.0,8.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.47.51",7.103581,43.572263,61.0,4G,LTE,-102.0,-10.0,-1.0,8.0,-87,18.0,3.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.47.52",7.103581,43.572263,61.0,4G,LTE,-101.0,-11.0,-2.0,5.0,-85,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.47.52",7.103581,43.572263,61.0,4G,LTE,-101.0,-11.0,-2.0,8.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.47.53",7.103581,43.572263,61.0,4G,LTE,-101.0,-10.0,0.0,6.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.47.54",7.103581,43.572263,61.0,4G,LTE,-101.0,-10.0,0.0,6.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.47.56",7.103581,43.572263,61.0,4G,LTE,-100.0,-9.0,-1.0,7.0,-85,18.0,3.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.47.57",7.103581,43.572263,61.0,4G,LTE,-100.0,-9.0,-1.0,5.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.47.58",7.103581,43.572263,61.0,4G,LTE,-100.0,-13.0,-2.0,8.0,-86,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.47.59",7.103581,43.572263,61.0,4G,LTE,-100.0,-13.0,-2.0,9.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.00",7.103581,43.572263,61.0,4G,LTE,-100.0,-8.0,2.0,8.0,-84,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.01",7.103581,43.572263,61.0,4G,LTE,-100.0,-8.0,2.0,9.0,-82,18.0,2.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.48.02",7.103581,43.572263,61.0,4G,LTE,-100.0,-9.0,2.0,8.0,-84,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.03",7.103581,43.572263,61.0,4G,LTE,-100.0,-9.0,2.0,5.0,-82,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.04",7.103581,43.572263,61.0,4G,LTE,-99.0,-10.0,5.0,5.0,-82,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.05",7.103581,43.572263,61.0,4G,LTE,-99.0,-10.0,5.0,12.0,-82,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.06",7.103581,43.572263,61.0,4G,LTE,-99.0,-8.0,2.0,7.0,-84,18.0,2.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.48.07",7.103581,43.572263,61.0,4G,LTE,-99.0,-8.0,2.0,7.0,-84,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.08",7.103581,43.572263,61.0,4G,LTE,-100.0,-11.0,-2.0,7.0,-84,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.09",7.103581,43.572263,61.0,4G,LTE,-100.0,-11.0,-2.0,7.0,-84,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.10",7.103581,43.572263,61.0,4G,LTE,-98.0,-10.0,-6.0,8.0,-82,0.0,1.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.48.11",7.103581,43.572263,61.0,4G,LTE,-98.0,-10.0,-6.0,8.0,-82,18.0,1.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.48.12",7.103581,43.572263,61.0,4G,LTE,-100.0,-10.0,0.0,6.0,-84,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.13",7.103581,43.572263,61.0,4G,LTE,-100.0,-10.0,0.0,12.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.14",7.103581,43.572263,61.0,4G,LTE,-102.0,-9.0,1.0,6.0,-88,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.15",7.103581,43.572263,61.0,4G,LTE,-102.0,-9.0,1.0,9.0,-86,18.0,3.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.48.16",7.103581,43.572263,61.0,4G,LTE,-101.0,-10.0,1.0,5.0,-84,41.0,49.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.48.17",7.103581,43.572263,61.0,4G,LTE,-101.0,-10.0,1.0,8.0,-,17.0,16.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.48.18",7.103581,43.572263,61.0,4G,LTE,-101.0,-9.0,3.0,6.0,-82,86.0,70.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.48.19",7.103581,43.572263,61.0,4G,LTE,-101.0,-9.0,3.0,11.0,-82,24.0,9.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.48.20",7.103581,43.572263,61.0,4G,LTE,-101.0,-9.0,3.0,11.0,-82,18.0,3.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.48.21",7.103581,43.572263,61.0,4G,LTE,-99.0,-10.0,-6.0,11.0,-82,301.0,198.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.48.22",7.103581,43.572263,61.0,4G,LTE,-99.0,-10.0,-6.0,7.0,-82,21.0,8.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.48.23",7.103581,43.572263,61.0,4G,LTE,-100.0,-11.0,0.0,6.0,-86,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.24",7.103581,43.572263,61.0,4G,LTE,-100.0,-11.0,0.0,11.0,-82,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.25",7.103581,43.572263,61.0,4G,LTE,-98.0,-9.0,1.0,11.0,-82,18.0,2.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.48.26",7.103581,43.572263,61.0,4G,LTE,-98.0,-9.0,1.0,9.0,-,0.0,0.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.48.27",7.103581,43.572263,61.0,4G,LTE,-103.0,-9.0,1.0,9.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.28",7.103581,43.572263,61.0,4G,LTE,-103.0,-9.0,1.0,8.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.29",7.103581,43.572263,61.0,4G,LTE,-101.0,-9.0,7.0,7.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.30",7.103581,43.572263,61.0,4G,LTE,-101.0,-9.0,7.0,9.0,-,18.0,3.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.48.31",7.103581,43.572263,61.0,4G,LTE,-101.0,-9.0,3.0,9.0,-,0.0,0.0,214.0,214.0,D,PERIODIC,4Mv
"
2022.09.10_16.48.32",7.103581,43.572263,61.0,4G,LTE,-101.0,-9.0,3.0,9.0,-84,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.33",7.103581,43.572263,61.0,4G,LTE,-100.0,-10.0,-2.0,7.0,-,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.34",7.103581,43.572263,61.0,4G,LTE,-100.0,-10.0,-2.0,8.0,-82,0.0,0.0,214.0,214.0,I,PERIODIC,4Mv
"
2022.09.10_16.48.35",7.103581,43.572263,61.0,4G,LTE,-99.0,-9.0,7.0,8.0,-82,18.0,3.0,214.0,214.0,D,PERIODIC,4Mv
