Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.10.21_10.58.26",7.055371000000001,43.614157,4G,LTE,-81.0,-12.0,0.0,14.0,-79.0,0.0,4.0,187.0,187.0,D,LOG START,4My21o
"
2022.10.21_10.58.26",7.0552850000000005,43.614171999999996,4G,LTE,-81.0,-12.0,0.0,14.0,-79.0,0.0,4.0,187.0,187.0,D,,4My21o
"
2022.10.21_10.58.26",7.0552850000000005,43.614171999999996,4G,LTE,-81.0,-12.0,0.0,14.0,-79.0,0.0,0.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.27",7.0552850000000005,43.614171999999996,4G,LTE,-78.0,-9.0,0.0,14.0,-81.0,0.0,0.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.28",7.0552850000000005,43.614171999999996,4G,LTE,-78.0,-9.0,0.0,14.0,-85.0,0.0,1.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.29",7.0552850000000005,43.614171999999996,4G,LTE,-85.0,-10.0,-1.0,11.0,-93.0,0.0,2.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.30",7.0552850000000005,43.614171999999996,4G,LTE,-85.0,-10.0,-1.0,11.0,-89.0,37.0,7.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.31",7.0552850000000005,43.614171999999996,4G,LTE,-88.0,-13.0,-11.0,12.0,-85.0,29.0,7.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.32",7.0552850000000005,43.614171999999996,4G,LTE,-88.0,-13.0,-11.0,12.0,-85.0,42.0,31.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.33",7.0552850000000005,43.614171999999996,4G,LTE,-85.0,-12.0,-7.0,13.0,-85.0,30.0,7.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.34",7.0552850000000005,43.614171999999996,4G,LTE,-85.0,-12.0,-7.0,13.0,-85.0,52.0,18.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.35",7.0552850000000005,43.614171999999996,4G,LTE,-84.0,-11.0,-13.0,13.0,-87.0,0.0,0.0,187.0,187.0,I,PERIODIC,4My21o
"
2022.10.21_10.58.36",7.0552850000000005,43.614171999999996,4G,LTE,-84.0,-11.0,-13.0,13.0,-85.0,0.0,0.0,187.0,187.0,I,PERIODIC,4My21o
"
2022.10.21_10.58.37",7.0552850000000005,43.614171999999996,4G,LTE,-84.0,-12.0,-5.0,10.0,-85.0,0.0,0.0,187.0,187.0,I,PERIODIC,4My21o
"
2022.10.21_10.58.38",7.0552850000000005,43.614171999999996,4G,LTE,-84.0,-12.0,-5.0,10.0,-85.0,0.0,0.0,187.0,187.0,I,PERIODIC,4My21o
"
2022.10.21_10.58.39",7.0552850000000005,43.614171999999996,4G,LTE,-84.0,-12.0,-9.0,11.0,-85.0,0.0,0.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.40",7.0552850000000005,43.614171999999996,4G,LTE,-84.0,-12.0,-9.0,11.0,-85.0,0.0,0.0,187.0,187.0,I,PERIODIC,4My21o
"
2022.10.21_10.58.41",7.0552850000000005,43.614171999999996,4G,LTE,-90.0,-16.0,-11.0,9.0,-91.0,0.0,0.0,187.0,187.0,I,PERIODIC,4My21o
"
2022.10.21_10.58.42",7.0552850000000005,43.614171999999996,4G,LTE,-90.0,-16.0,-11.0,9.0,-87.0,0.0,0.0,187.0,187.0,I,PERIODIC,4My21o
"
2022.10.21_10.58.43",7.0552850000000005,43.614171999999996,4G,LTE,-86.0,-13.0,-9.0,10.0,-87.0,0.0,0.0,187.0,187.0,I,PERIODIC,4My21o
"
2022.10.21_10.58.44",7.0552850000000005,43.614171999999996,4G,LTE,-86.0,-13.0,-9.0,10.0,-87.0,0.0,2.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.45",7.0552850000000005,43.614171999999996,4G,LTE,-86.0,-11.0,-10.0,14.0,-87.0,31.0,43.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.46",7.0552850000000005,43.614171999999996,4G,LTE,-86.0,-11.0,-10.0,14.0,-87.0,89.0,60.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.47",7.0552850000000005,43.614171999999996,4G,LTE,-87.0,-13.0,-10.0,12.0,-87.0,1848.0,159.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.48",7.0552850000000005,43.614171999999996,4G,LTE,-87.0,-13.0,-10.0,12.0,-87.0,7575.0,340.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.49",7.0552850000000005,43.614171999999996,4G,LTE,-86.0,-11.0,-9.0,11.0,-87.0,2089.0,24.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.50",7.0552850000000005,43.614171999999996,4G,LTE,-86.0,-11.0,-9.0,11.0,-85.0,6477.0,102.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.51",7.0552850000000005,43.614171999999996,4G,LTE,-91.0,-14.0,-8.0,10.0,-91.0,9672.0,52.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.52",7.0552850000000005,43.614171999999996,4G,LTE,-91.0,-14.0,-8.0,10.0,-89.0,7.0,7.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.53",7.0552850000000005,43.614171999999996,4G,LTE,-87.0,-12.0,-15.0,8.0,-89.0,7.0,34.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.54",7.0552850000000005,43.614171999999996,4G,LTE,-87.0,-12.0,-15.0,8.0,-89.0,4.0,5.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.55",7.0552850000000005,43.614171999999996,4G,LTE,-88.0,-15.0,2.0,3.0,-89.0,5.0,14.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.56",7.0552850000000005,43.614171999999996,4G,LTE,-88.0,-15.0,2.0,3.0,-89.0,2748.0,20.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.57",7.0552850000000005,43.614171999999996,4G,LTE,-91.0,-15.0,-4.0,9.0,-91.0,13.0,27.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.58",7.0552850000000005,43.614171999999996,4G,LTE,-91.0,-15.0,-4.0,9.0,-93.0,4.0,5.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.58.59",7.0552850000000005,43.614171999999996,4G,LTE,-90.0,-13.0,-2.0,10.0,-91.0,7.0,14.0,187.0,187.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.00",7.055136,43.614203,4G,LTE,-90.0,-13.0,-2.0,10.0,-89.0,7.0,14.0,189.0,189.0,D,,4My21o
"
2022.10.21_10.59.00",7.055136,43.614203,4G,LTE,-90.0,-13.0,-2.0,10.0,-89.0,3.0,5.0,189.0,189.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.01",7.055136,43.614203,4G,LTE,-89.0,-15.0,-3.0,9.0,-93.0,3.0,5.0,189.0,189.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.02",7.055136,43.614203,4G,LTE,-89.0,-15.0,-3.0,9.0,-93.0,568.0,47.0,189.0,189.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.03",7.0549740000000005,43.61424,4G,LTE,-89.0,-15.0,-3.0,9.0,-87.0,568.0,47.0,190.0,190.0,D,,4My21o
"
2022.10.21_10.59.03",7.0549740000000005,43.61424,4G,LTE,-87.0,-11.0,-2.0,10.0,-95.0,8459.0,135.0,190.0,190.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.04",7.0549740000000005,43.61424,4G,LTE,-87.0,-11.0,-2.0,10.0,-89.0,10958.0,67.0,190.0,190.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.05",7.054811,43.61427,4G,LTE,-87.0,-11.0,-2.0,10.0,-89.0,10958.0,67.0,190.0,190.0,D,,4My21o
"
2022.10.21_10.59.05",7.054811,43.61427,4G,LTE,-88.0,-15.0,-2.0,8.0,-93.0,8679.0,57.0,190.0,190.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.06",7.054811,43.61427,4G,LTE,-88.0,-15.0,-2.0,8.0,-87.0,19193.0,100.0,190.0,190.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.07",7.054628,43.614289,4G,LTE,-88.0,-15.0,-2.0,8.0,-87.0,19193.0,100.0,190.0,190.0,D,,4My21o
"
2022.10.21_10.59.07",7.054628,43.614289,4G,LTE,-86.0,-13.0,-2.0,6.0,-91.0,15868.0,131.0,190.0,190.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.08",7.054628,43.614289,4G,LTE,-86.0,-13.0,-2.0,6.0,-95.0,7509.0,53.0,190.0,190.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.09",7.054444999999999,43.614261,4G,LTE,-86.0,-13.0,-2.0,6.0,-95.0,7509.0,53.0,192.0,192.0,D,,4My21o
"
2022.10.21_10.59.09",7.054444999999999,43.614261,4G,LTE,-94.0,-16.0,-6.0,8.0,-95.0,6427.0,64.0,192.0,192.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.10",7.054444999999999,43.614261,4G,LTE,-94.0,-16.0,-6.0,8.0,-95.0,8207.0,60.0,192.0,192.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.11",7.054297,43.614196,4G,LTE,-94.0,-16.0,-6.0,8.0,-95.0,8207.0,60.0,193.0,193.0,D,,4My21o
"
2022.10.21_10.59.11",7.054297,43.614196,4G,LTE,-94.0,-17.0,-8.0,6.0,-97.0,8771.0,63.0,193.0,193.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.12",7.054297,43.614196,4G,LTE,-94.0,-17.0,-8.0,6.0,-97.0,8024.0,66.0,193.0,193.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.13",7.054197,43.614144,4G,LTE,-94.0,-17.0,-8.0,6.0,-97.0,8024.0,66.0,194.0,194.0,D,,4My21o
"
2022.10.21_10.59.13",7.054197,43.614144,4G,LTE,-97.0,-18.0,-9.0,4.0,-97.0,5256.0,47.0,194.0,194.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.14",7.054197,43.614144,4G,LTE,-97.0,-18.0,-9.0,4.0,-97.0,4131.0,38.0,194.0,194.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.15",7.054197,43.614144,4G,LTE,-97.0,-17.0,-9.0,5.0,-97.0,5277.0,47.0,194.0,194.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.16",7.054197,43.614144,4G,LTE,-97.0,-17.0,-9.0,5.0,-95.0,8304.0,54.0,194.0,194.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.17",7.054067,43.614108,4G,LTE,-97.0,-17.0,-9.0,5.0,-95.0,8304.0,54.0,196.0,196.0,D,,4My21o
"
2022.10.21_10.59.17",7.054067,43.614108,4G,LTE,-95.0,-17.0,-10.0,6.0,-93.0,9557.0,98.0,196.0,196.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.18",7.054067,43.614108,4G,LTE,-95.0,-17.0,-10.0,6.0,-93.0,11025.0,72.0,196.0,196.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.19",7.054067,43.614108,4G,LTE,-93.0,-19.0,-11.0,7.0,-93.0,12096.0,86.0,196.0,196.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.20",7.054067,43.614108,4G,LTE,-93.0,-19.0,-11.0,7.0,-93.0,13710.0,77.0,196.0,196.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.21",7.054067,43.614108,4G,LTE,-93.0,-19.0,-12.0,6.0,-93.0,12985.0,74.0,196.0,196.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.22",7.054067,43.614108,4G,LTE,-89.0,-13.0,-12.0,6.0,-93.0,9856.0,111.0,196.0,196.0,D,HANDOVER_DATA_4G4G,4My21o
"
2022.10.21_10.59.24",7.054067,43.614108,4G,LTE,-93.0,-13.0,7.0,10.0,-93.0,17122.0,105.0,196.0,196.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.25",7.054067,43.614108,4G,LTE,-93.0,-13.0,7.0,10.0,-93.0,25058.0,131.0,196.0,196.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.26",7.054067,43.614108,4G,LTE,-91.0,-13.0,4.0,8.0,-93.0,21371.0,140.0,196.0,196.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.27",7.054067,43.614108,4G,LTE,-91.0,-13.0,4.0,8.0,-93.0,24639.0,130.0,196.0,196.0,D,PERIODIC,4My21o
"
2022.10.21_10.59.27",7.053945,43.614146999999996,4G,LTE,-91.0,-13.0,4.0,8.0,-93.0,24639.0,130.0,196.0,196.0,D,,4My21o
"
2022.10.21_10.59.28",7.053945,43.614146999999996,4G,LTE,-88.0,-13.0,2.0,15.0,-89.0,21498.0,132.0,196.0,196.0,D,PERIODIC,4My21o
