Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.15_16.35.06",7.0692,43.61524,4G,LTE,-103.0,-13.0,10.0,12.0,-92,0.0,0.0,178.0,178.0,I,LOG START,4O15ik
"
2022.09.15_16.35.06",7.0692,43.61524,4G,LTE,-103.0,-13.0,10.0,12.0,-93,19.0,3.0,178.0,178.0,D,PERIODIC,4O15ik
"
2022.09.15_16.35.07",7.0692,43.61524,4G,LTE,-112.0,-13.0,3.0,9.0,-84,0.0,0.0,178.0,178.0,I,PERIODIC,4O15ik
"
2022.09.15_16.35.08",7.0692,43.61524,4G,LTE,-112.0,-13.0,3.0,12.0,-,0.0,0.0,178.0,178.0,I,PERIODIC,4O15ik
"
2022.09.15_16.35.09",7.0692,43.61524,4G,LTE,-99.0,-13.0,1.0,8.0,-82,0.0,0.0,178.0,178.0,I,PERIODIC,4O15ik
"
2022.09.15_16.35.10",7.0692,43.61524,4G,LTE,-99.0,-13.0,1.0,7.0,-,0.0,0.0,178.0,178.0,I,PERIODIC,4O15ik
"
2022.09.15_16.35.11",7.0692,43.61524,4G,LTE,-102.0,-13.0,7.0,8.0,-94,19.0,3.0,178.0,178.0,D,PERIODIC,4O15ik
"
2022.09.15_16.35.12",7.0692,43.61524,4G,LTE,-102.0,-13.0,7.0,8.0,-83,0.0,0.0,178.0,178.0,I,PERIODIC,4O15ik
"
2022.09.15_16.35.13",7.0692,43.61524,4G,LTE,-98.0,-13.0,4.0,7.0,-81,120.0,53.0,178.0,178.0,D,PERIODIC,4O15ik
"
2022.09.15_16.35.14",7.0692,43.61524,4G,LTE,-98.0,-13.0,4.0,6.0,-94,1203.0,175.0,178.0,178.0,D,PERIODIC,4O15ik
"
2022.09.15_16.35.15",7.0692,43.61524,4G,LTE,-114.0,-14.0,4.0,6.0,-94,1228.0,51.0,178.0,178.0,D,PERIODIC,4O15ik
"
2022.09.15_16.35.16",7.0692,43.61524,4G,LTE,-114.0,-14.0,4.0,10.0,-,199.0,44.0,178.0,178.0,D,PERIODIC,4O15ik
"
2022.09.15_16.35.17",7.0692,43.61524,4G,LTE,-113.0,-14.0,6.0,10.0,-94,573.0,82.0,178.0,178.0,D,PERIODIC,4O15ik
"
2022.09.15_16.35.18",7.0692,43.61524,4G,LTE,-113.0,-14.0,6.0,15.0,-94,65.0,8.0,178.0,178.0,D,PERIODIC,4O15ik
"
2022.09.15_16.35.19",7.0692,43.61524,4G,LTE,-114.0,-13.0,13.0,14.0,-,0.0,0.0,178.0,178.0,I,PERIODIC,4O15ik
"
2022.09.15_16.35.20",7.0692,43.61524,4G,LTE,-114.0,-13.0,13.0,10.0,-80,0.0,0.0,178.0,178.0,I,PERIODIC,4O15ik
"
2022.09.15_16.35.21",7.0692,43.61524,4G,LTE,-108.0,-13.0,12.0,13.0,-,20.0,3.0,178.0,178.0,D,PERIODIC,4O15ik
"
2022.09.15_16.35.22",7.0692,43.61524,4G,LTE,-108.0,-13.0,12.0,11.0,-81,0.0,0.0,178.0,178.0,I,PERIODIC,4O15ik
"
2022.09.15_16.35.23",7.0692,43.61524,4G,LTE,-100.0,-13.0,1.0,12.0,-,127.0,43.0,178.0,178.0,D,PERIODIC,4O15ik
"
2022.09.15_16.35.24",7.0692,43.61524,4G,LTE,-100.0,-13.0,1.0,11.0,-,0.0,0.0,178.0,178.0,D,PERIODIC,4O15ik
"
2022.09.15_16.35.25",7.0692,43.61524,4G,LTE,-101.0,-14.0,7.0,10.0,-84,0.0,0.0,178.0,178.0,I,PERIODIC,4O15ik
"
2022.09.15_16.35.26",7.0692,43.61524,4G,LTE,-101.0,-14.0,7.0,13.0,-82,19.0,2.0,178.0,178.0,D,PERIODIC,4O15ik
"
2022.09.15_16.35.27",7.0692,43.61524,4G,LTE,-98.0,-13.0,8.0,11.0,-,0.0,0.0,178.0,178.0,I,PERIODIC,4O15ik
"
2022.09.15_16.35.28",7.0692,43.61524,4G,LTE,-98.0,-13.0,8.0,9.0,-80,0.0,0.0,178.0,178.0,I,PERIODIC,4O15ik
"
2022.09.15_16.35.29",7.0692,43.61524,4G,LTE,-99.0,-12.0,7.0,10.0,-82,0.0,0.0,178.0,178.0,I,PERIODIC,4O15ik
"
2022.09.15_16.35.30",7.0692,43.61524,4G,LTE,-99.0,-12.0,7.0,10.0,-82,1.0,0.0,178.0,178.0,D,PERIODIC,4O15ik
"
2022.09.15_16.35.31",7.0692,43.61524,4G,LTE,-113.0,-13.0,7.0,12.0,-,19.0,2.0,178.0,178.0,D,PERIODIC,4O15ik
