Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.26_13.23.33",7.119775,43.584726,4G,LTE,-81.0,-14.0,4.0,7.0,-64,0.0,0.0,169.0,169.0,I,LOG START,4O26
"
2022.08.26_13.23.33",7.119775,43.584726,4G,LTE,-81.0,-14.0,4.0,10.0,-62,0.0,1.0,169.0,169.0,D,PERIODIC,4O26
"
2022.08.26_13.23.35",7.119775,43.584726,4G,LTE,-80.0,-13.0,5.0,10.0,-64,18.0,1.0,169.0,169.0,D,PERIODIC,4O26
"
2022.08.26_13.23.35",7.119775,43.584726,4G,LTE,-80.0,-13.0,5.0,10.0,-64,0.0,0.0,169.0,169.0,I,PERIODIC,4O26
"
2022.08.26_13.23.37",7.119775,43.584726,4G,LTE,-80.0,-12.0,2.0,11.0,-66,0.0,0.0,169.0,169.0,I,PERIODIC,4O26
"
2022.08.26_13.23.37",7.119775,43.584726,4G,LTE,-80.0,-12.0,2.0,9.0,-64,0.0,0.0,169.0,169.0,I,PERIODIC,4O26
"
2022.08.26_13.23.39",7.119775,43.584726,4G,LTE,-82.0,-12.0,10.0,9.0,-64,0.0,1.0,169.0,169.0,D,PERIODIC,4O26
"
2022.08.26_13.23.40",7.119775,43.584726,4G,LTE,-82.0,-12.0,10.0,9.0,-64,18.0,1.0,169.0,169.0,D,PERIODIC,4O26
"
2022.08.26_13.23.41",7.119775,43.584726,4G,LTE,-83.0,-13.0,5.0,12.0,-66,0.0,0.0,169.0,169.0,I,PERIODIC,4O26
"
2022.08.26_13.23.42",7.119775,43.584726,4G,LTE,-83.0,-13.0,5.0,12.0,-66,0.0,0.0,169.0,169.0,I,PERIODIC,4O26
"
2022.08.26_13.23.42",7.119775,43.584726,4G,LTE,-83.0,-12.0,8.0,12.0,-66,0.0,0.0,169.0,169.0,I,PERIODIC,4O26
"
2022.08.26_13.23.44",7.119775,43.584726,4G,LTE,-83.0,-12.0,8.0,12.0,-64,1.0,0.0,169.0,169.0,D,PERIODIC,4O26
"
2022.08.26_13.23.45",7.119775,43.584726,4G,LTE,-82.0,-13.0,6.0,12.0,-64,0.0,0.0,169.0,169.0,I,PERIODIC,4O26
"
2022.08.26_13.23.46",7.119775,43.584726,4G,LTE,-82.0,-13.0,6.0,12.0,-64,0.0,0.0,169.0,169.0,I,PERIODIC,4O26
"
2022.08.26_13.23.47",7.119775,43.584726,4G,LTE,-81.0,-11.0,4.0,12.0,-64,0.0,0.0,169.0,169.0,I,PERIODIC,4O26
"
2022.08.26_13.23.48",7.119775,43.584726,4G,LTE,-81.0,-11.0,4.0,11.0,-66,0.0,0.0,169.0,169.0,I,PERIODIC,4O26
"
2022.08.26_13.23.49",7.119775,43.584726,4G,LTE,-82.0,-13.0,7.0,13.0,-64,0.0,0.0,169.0,169.0,D,PERIODIC,4O26
"
2022.08.26_13.23.50",7.119775,43.584726,4G,LTE,-82.0,-13.0,7.0,10.0,-70,19.0,2.0,169.0,169.0,D,PERIODIC,4O26
