Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.30_16.44.00",7.075112,43.618139,63.0,4G,LTE,-105.0,-10.0,-1.0,10.0,-89,20.0,3.0,182.0,182.0,D,LOG START,4O30
"
2022.08.30_16.44.00",7.075112,43.618139,63.0,4G,LTE,-105.0,-10.0,-1.0,10.0,-89,20.0,3.0,182.0,182.0,D,PERIODIC,4O30
"
2022.08.30_16.44.01",7.075112,43.618139,63.0,4G,LTE,-105.0,-10.0,-1.0,9.0,-91,0.0,0.0,182.0,182.0,I,PERIODIC,4O30
"
2022.08.30_16.44.02",7.075112,43.618139,63.0,4G,LTE,-106.0,-10.0,0.0,9.0,-89,0.0,0.0,182.0,182.0,I,PERIODIC,4O30
"
2022.08.30_16.44.03",7.075112,43.618139,63.0,4G,LTE,-106.0,-10.0,0.0,9.0,-92,0.0,0.0,182.0,182.0,I,PERIODIC,4O30
"
2022.08.30_16.44.04",7.075112,43.618139,63.0,4G,LTE,-108.0,-13.0,-4.0,6.0,-90,0.0,0.0,182.0,182.0,I,PERIODIC,4O30
"
2022.08.30_16.44.05",7.075112,43.618139,63.0,4G,LTE,-108.0,-13.0,-4.0,6.0,-90,0.0,0.0,182.0,182.0,D,PERIODIC,4O30
"
2022.08.30_16.44.06",7.075112,43.618139,63.0,4G,LTE,-108.0,-12.0,-7.0,6.0,-90,18.0,2.0,182.0,182.0,D,PERIODIC,4O30
"
2022.08.30_16.44.07",7.075112,43.618139,63.0,4G,LTE,-108.0,-12.0,-7.0,6.0,-90,39.0,35.0,182.0,182.0,D,PERIODIC,4O30
"
2022.08.30_16.44.08",7.075112,43.618139,63.0,4G,LTE,-107.0,-13.0,-5.0,6.0,-90,0.0,0.0,182.0,182.0,D,PERIODIC,4O30
"
2022.08.30_16.44.09",7.075112,43.618139,63.0,4G,LTE,-107.0,-13.0,-5.0,6.0,-90,25.0,31.0,182.0,182.0,D,PERIODIC,4O30
"
2022.08.30_16.44.10",7.075112,43.618139,63.0,4G,LTE,-108.0,-11.0,0.0,6.0,-90,40.0,8.0,182.0,182.0,D,PERIODIC,4O30
"
2022.08.30_16.44.11",7.075112,43.618139,63.0,4G,LTE,-108.0,-11.0,0.0,6.0,-90,0.0,10.0,182.0,182.0,D,PERIODIC,4O30
"
2022.08.30_16.44.12",7.075112,43.618139,63.0,4G,LTE,-108.0,-11.0,-2.0,8.0,-92,21.0,17.0,182.0,182.0,D,PERIODIC,4O30
"
2022.08.30_16.44.13",7.075112,43.618139,63.0,4G,LTE,-108.0,-11.0,-2.0,10.0,-90,0.0,0.0,182.0,182.0,I,PERIODIC,4O30
"
2022.08.30_16.44.14",7.075112,43.618139,63.0,4G,LTE,-107.0,-12.0,2.0,10.0,-90,0.0,0.0,182.0,182.0,I,PERIODIC,4O30
"
2022.08.30_16.44.15",7.075112,43.618139,63.0,4G,LTE,-107.0,-12.0,2.0,10.0,-90,29.0,8.0,182.0,182.0,D,PERIODIC,4O30
"
2022.08.30_16.44.16",7.075112,43.618139,63.0,4G,LTE,-107.0,-8.0,3.0,8.0,-92,0.0,0.0,182.0,182.0,I,PERIODIC,4O30
"
2022.08.30_16.44.17",7.075112,43.618139,63.0,4G,LTE,-107.0,-8.0,3.0,10.0,-92,0.0,0.0,182.0,182.0,I,PERIODIC,4O30
"
2022.08.30_16.44.18",7.075112,43.618139,63.0,4G,LTE,-110.0,-11.0,0.0,10.0,-92,0.0,0.0,182.0,182.0,I,PERIODIC,4O30
