Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.26_13.42.33",7.120055000000001,43.583766,71.0,4G,LTE,-93.0,-13.0,9.0,10.0,-,0.0,0.0,169.0,169.0,D,LOG START,4Ocro26
"
2022.08.26_13.42.34",7.120055000000001,43.583766,71.0,4G,LTE,-93.0,-13.0,9.0,10.0,-74,19.0,2.0,169.0,169.0,D,PERIODIC,4Ocro26
"
2022.08.26_13.42.35",7.120055000000001,43.583766,71.0,4G,LTE,-97.0,-14.0,7.0,8.0,-80,0.0,0.0,169.0,169.0,D,PERIODIC,4Ocro26
"
2022.08.26_13.42.36",7.120055000000001,43.583766,71.0,4G,LTE,-97.0,-14.0,7.0,8.0,-78,0.0,0.0,169.0,169.0,I,PERIODIC,4Ocro26
"
2022.08.26_13.42.37",7.120055000000001,43.583766,71.0,4G,LTE,-95.0,-13.0,14.0,8.0,-78,19.0,13.0,169.0,169.0,D,PERIODIC,4Ocro26
"
2022.08.26_13.42.38",7.120055000000001,43.583766,71.0,4G,LTE,-95.0,-13.0,14.0,8.0,-78,91.0,74.0,169.0,169.0,D,PERIODIC,4Ocro26
"
2022.08.26_13.42.39",7.120055000000001,43.583766,71.0,4G,LTE,-95.0,-13.0,10.0,8.0,-78,38.0,9.0,169.0,169.0,D,PERIODIC,4Ocro26
"
2022.08.26_13.42.40",7.120055000000001,43.583766,71.0,4G,LTE,-95.0,-13.0,10.0,8.0,-78,39.0,32.0,169.0,169.0,D,PERIODIC,4Ocro26
"
2022.08.26_13.42.41",7.120055000000001,43.583766,71.0,4G,LTE,-93.0,-14.0,12.0,10.0,-76,135.0,30.0,169.0,169.0,D,PERIODIC,4Ocro26
"
2022.08.26_13.42.42",7.120055000000001,43.583766,71.0,4G,LTE,-93.0,-14.0,12.0,8.0,-78,0.0,0.0,169.0,169.0,D,PERIODIC,4Ocro26
"
2022.08.26_13.42.43",7.120055000000001,43.583766,71.0,4G,LTE,-94.0,-13.0,10.0,8.0,-76,0.0,0.0,169.0,169.0,I,PERIODIC,4Ocro26
"
2022.08.26_13.42.44",7.120055000000001,43.583766,71.0,4G,LTE,-94.0,-13.0,10.0,8.0,-76,19.0,2.0,169.0,169.0,D,PERIODIC,4Ocro26
"
2022.08.26_13.42.45",7.120055000000001,43.583766,71.0,4G,LTE,-94.0,-12.0,9.0,8.0,-76,0.0,0.0,169.0,169.0,D,PERIODIC,4Ocro26
"
2022.08.26_13.42.46",7.120055000000001,43.583766,71.0,4G,LTE,-94.0,-12.0,9.0,8.0,-76,0.0,0.0,169.0,169.0,I,PERIODIC,4Ocro26
"
2022.08.26_13.42.47",7.120055000000001,43.583766,71.0,4G,LTE,-93.0,-12.0,10.0,8.0,-76,0.0,0.0,169.0,169.0,I,PERIODIC,4Ocro26
"
2022.08.26_13.42.48",7.120055000000001,43.583766,71.0,4G,LTE,-93.0,-12.0,10.0,8.0,-76,0.0,1.0,169.0,169.0,D,PERIODIC,4Ocro26
"
2022.08.26_13.42.49",7.120055000000001,43.583766,71.0,4G,LTE,-94.0,-13.0,13.0,8.0,-76,18.0,1.0,169.0,169.0,D,PERIODIC,4Ocro26
"
2022.08.26_13.42.50",7.120055000000001,43.583766,71.0,4G,LTE,-94.0,-13.0,13.0,8.0,-76,0.0,0.0,169.0,169.0,I,PERIODIC,4Ocro26
"
2022.08.26_13.42.51",7.120055000000001,43.583766,71.0,4G,LTE,-94.0,-13.0,12.0,8.0,-76,0.0,0.0,169.0,169.0,I,PERIODIC,4Ocro26
"
2022.08.26_13.42.52",7.120055000000001,43.583766,71.0,4G,LTE,-94.0,-13.0,12.0,8.0,-76,0.0,0.0,169.0,169.0,I,PERIODIC,4Ocro26
"
2022.08.26_13.42.53",7.120055000000001,43.583766,71.0,4G,LTE,-94.0,-13.0,12.0,8.0,-76,0.0,1.0,169.0,169.0,D,PERIODIC,4Ocro26
"
2022.08.26_13.42.54",7.120055000000001,43.583766,71.0,4G,LTE,-94.0,-13.0,9.0,8.0,-76,18.0,1.0,169.0,169.0,D,PERIODIC,4Ocro26
"
2022.08.26_13.42.55",7.120055000000001,43.583766,71.0,4G,LTE,-94.0,-13.0,9.0,8.0,-76,0.0,0.0,169.0,169.0,I,PERIODIC,4Ocro26
"
2022.08.26_13.42.56",7.120055000000001,43.583766,71.0,4G,LTE,-94.0,-13.0,12.0,8.0,-76,0.0,0.0,169.0,169.0,I,PERIODIC,4Ocro26
"
2022.08.26_13.42.57",7.120055000000001,43.583766,71.0,4G,LTE,-94.0,-13.0,12.0,9.0,-78,0.0,0.0,169.0,169.0,I,PERIODIC,4Ocro26
"
2022.08.26_13.42.58",7.120055000000001,43.583766,71.0,4G,LTE,-96.0,-12.0,12.0,9.0,-78,19.0,2.0,169.0,169.0,D,PERIODIC,4Ocro26
"
2022.08.26_13.42.59",7.120055000000001,43.583766,71.0,4G,LTE,-96.0,-12.0,12.0,9.0,-78,0.0,0.0,169.0,169.0,D,PERIODIC,4Ocro26
"
2022.08.26_13.43.00",7.120055000000001,43.583766,71.0,4G,LTE,-97.0,-13.0,14.0,13.0,-80,81.0,31.0,169.0,169.0,D,PERIODIC,4Ocro26
