Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.26_14.25.33",7.120355,43.579511,62.0,4G,LTE,-110.0,-15.0,3.0,12.0,-93,0.0,0.0,169.0,169.0,D,LOG START,4Oi26
"
2022.08.26_14.25.34",7.120355,43.579511,62.0,4G,LTE,-110.0,-15.0,3.0,12.0,-93,19.0,2.0,169.0,169.0,D,PERIODIC,4Oi26
"
2022.08.26_14.25.35",7.120355,43.579511,62.0,4G,LTE,-111.0,-17.0,2.0,12.0,-93,3.0,2.0,169.0,169.0,D,PERIODIC,4Oi26
"
2022.08.26_14.25.36",7.120355,43.579511,62.0,4G,LTE,-111.0,-17.0,2.0,12.0,-93,0.0,0.0,169.0,169.0,D,PERIODIC,4Oi26
"
2022.08.26_14.25.37",7.120355,43.579511,62.0,4G,LTE,-111.0,-17.0,2.0,11.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4Oi26
"
2022.08.26_14.25.38",7.120355,43.579511,62.0,4G,LTE,-111.0,-17.0,3.0,11.0,-,20.0,15.0,169.0,169.0,D,PERIODIC,4Oi26
"
2022.08.26_14.25.40",7.120355,43.579511,62.0,4G,LTE,-111.0,-17.0,3.0,11.0,-,18.0,1.0,169.0,169.0,D,PERIODIC,4Oi26
"
2022.08.26_14.25.40",7.120355,43.579511,62.0,4G,LTE,-110.0,-17.0,4.0,11.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4Oi26
"
2022.08.26_14.25.42",7.120355,43.579511,62.0,4G,LTE,-110.0,-17.0,4.0,11.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4Oi26
"
2022.08.26_14.25.42",7.120355,43.579511,62.0,4G,LTE,-110.0,-16.0,3.0,11.0,-,0.0,0.0,169.0,169.0,D,PERIODIC,4Oi26
"
2022.08.26_14.25.43",7.120355,43.579511,62.0,4G,LTE,-110.0,-16.0,3.0,11.0,-,36.0,39.0,169.0,169.0,D,PERIODIC,4Oi26
"
2022.08.26_14.25.44",7.120355,43.579511,62.0,4G,LTE,-109.0,-17.0,2.0,9.0,-94,96.0,56.0,169.0,169.0,D,PERIODIC,4Oi26
"
2022.08.26_14.25.45",7.120355,43.579511,62.0,4G,LTE,-109.0,-17.0,2.0,10.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4Oi26
"
2022.08.26_14.25.47",7.120355,43.579511,62.0,4G,LTE,-111.0,-18.0,-1.0,10.0,-,180.0,64.0,169.0,169.0,D,PERIODIC,4Oi26
"
2022.08.26_14.25.47",7.120355,43.579511,62.0,4G,LTE,-111.0,-18.0,-1.0,11.0,-93,401.0,39.0,169.0,169.0,D,PERIODIC,4Oi26
"
2022.08.26_14.25.49",7.120355,43.579511,62.0,4G,LTE,-110.0,-17.0,0.0,11.0,-93,0.0,1.0,169.0,169.0,D,PERIODIC,4Oi26
"
2022.08.26_14.25.49",7.120355,43.579511,62.0,4G,LTE,-110.0,-17.0,0.0,10.0,-,0.0,0.0,169.0,169.0,D,PERIODIC,4Oi26
"
2022.08.26_14.25.50",7.120355,43.579511,62.0,4G,LTE,-111.0,-14.0,1.0,10.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4Oi26
"
2022.08.26_14.25.51",7.120355,43.579511,62.0,4G,LTE,-111.0,-14.0,1.0,11.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4Oi26
"
2022.08.26_14.25.52",7.120355,43.579511,62.0,4G,LTE,-111.0,-17.0,3.0,11.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4Oi26
"
2022.08.26_14.25.54",7.120355,43.579511,62.0,4G,LTE,-111.0,-17.0,3.0,10.0,-,19.0,2.0,169.0,169.0,D,PERIODIC,4Oi26
"
2022.08.26_14.25.55",7.120355,43.579511,62.0,4G,LTE,-110.0,-17.0,4.0,10.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4Oi26
"
2022.08.26_14.25.56",7.120355,43.579511,62.0,4G,LTE,-110.0,-17.0,4.0,9.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4Oi26
"
2022.08.26_14.25.57",7.120355,43.579511,62.0,4G,LTE,-110.0,-17.0,2.0,9.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4Oi26
"
2022.08.26_14.25.58",7.120355,43.579511,62.0,4G,LTE,-110.0,-17.0,2.0,11.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4Oi26
"
2022.08.26_14.25.59",7.120355,43.579511,62.0,4G,LTE,-112.0,-17.0,1.0,11.0,-,19.0,3.0,169.0,169.0,D,PERIODIC,4Oi26
