Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.13_11.57.56",7.074215,43.616821,4G,LTE,-93.0,-6.0,23.0,12.0,-,0.0,0.0,139.0,139.0,I,LOG START,4P13s
"
2022.09.13_11.57.56",7.074215,43.616821,4G,LTE,-93.0,-6.0,23.0,12.0,-,0.0,0.0,139.0,139.0,I,PERIODIC,4P13s
"
2022.09.13_11.57.57",7.074215,43.616821,4G,LTE,-94.0,-8.0,22.0,11.0,-78,0.0,0.0,139.0,139.0,I,PERIODIC,4P13s
"
2022.09.13_11.57.58",7.074215,43.616821,4G,LTE,-94.0,-8.0,22.0,14.0,-76,0.0,0.0,139.0,139.0,I,PERIODIC,4P13s
"
2022.09.13_11.57.59",7.074215,43.616821,4G,LTE,-92.0,-10.0,24.0,15.0,-,0.0,0.0,139.0,139.0,I,PERIODIC,4P13s
"
2022.09.13_11.58.00",7.074215,43.616821,4G,LTE,-92.0,-10.0,24.0,15.0,-,10.0,7.0,139.0,139.0,D,PERIODIC,4P13s
"
2022.09.13_11.58.01",7.074215,43.616821,4G,LTE,-91.0,-11.0,24.0,10.0,-,75.0,25.0,139.0,139.0,D,PERIODIC,4P13s
"
2022.09.13_11.58.02",7.074215,43.616821,4G,LTE,-91.0,-11.0,24.0,14.0,-74,66.0,11.0,139.0,139.0,D,PERIODIC,4P13s
"
2022.09.13_11.58.03",7.074215,43.616821,4G,LTE,-89.0,-6.0,26.0,15.0,-,1.0,4.0,139.0,139.0,D,PERIODIC,4P13s
"
2022.09.13_11.58.04",7.074215,43.616821,4G,LTE,-89.0,-6.0,26.0,15.0,-,5.0,45.0,139.0,139.0,D,PERIODIC,4P13s
"
2022.09.13_11.58.05",7.074215,43.616821,4G,LTE,-92.0,-8.0,20.0,12.0,-74,50.0,14.0,139.0,139.0,D,PERIODIC,4P13s
