Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.20_18.39.12",7.069077,43.615328999999996,62.0,4G,LTE,-105.0,-9.0,9.0,11.0,-88,19.0,3.0,181.0,181.0,D,LOG START,4P20s
"
2022.09.20_18.39.13",7.069077,43.615328999999996,62.0,4G,LTE,-105.0,-10.0,10.0,11.0,-88,0.0,0.0,181.0,181.0,I,PERIODIC,4P20s
"
2022.09.20_18.39.14",7.069077,43.615328999999996,62.0,4G,LTE,-105.0,-10.0,10.0,11.0,-88,0.0,0.0,181.0,181.0,I,PERIODIC,4P20s
"
2022.09.20_18.39.15",7.069077,43.615328999999996,62.0,4G,LTE,-104.0,-12.0,10.0,10.0,-86,0.0,0.0,181.0,181.0,I,PERIODIC,4P20s
"
2022.09.20_18.39.16",7.069077,43.615328999999996,62.0,4G,LTE,-104.0,-12.0,10.0,10.0,-86,0.0,0.0,181.0,181.0,I,PERIODIC,4P20s
"
2022.09.20_18.39.17",7.069077,43.615328999999996,62.0,4G,LTE,-103.0,-8.0,10.0,8.0,-88,19.0,3.0,181.0,181.0,D,PERIODIC,4P20s
"
2022.09.20_18.39.18",7.069077,43.615328999999996,62.0,4G,LTE,-103.0,-8.0,10.0,8.0,-88,0.0,0.0,181.0,181.0,I,PERIODIC,4P20s
"
2022.09.20_18.39.20",7.069077,43.615328999999996,62.0,4G,LTE,-104.0,-8.0,10.0,9.0,-88,0.0,0.0,181.0,181.0,I,PERIODIC,4P20s
"
2022.09.20_18.39.20",7.069077,43.615328999999996,62.0,4G,LTE,-104.0,-8.0,10.0,9.0,-88,0.0,0.0,181.0,181.0,I,PERIODIC,4P20s
"
2022.09.20_18.39.21",7.069077,43.615328999999996,62.0,4G,LTE,-104.0,-12.0,14.0,10.0,-88,13.0,7.0,181.0,181.0,D,PERIODIC,4P20s
"
2022.09.20_18.39.22",7.069077,43.615328999999996,62.0,4G,LTE,-104.0,-12.0,14.0,10.0,-86,80.0,27.0,181.0,181.0,D,PERIODIC,4P20s
"
2022.09.20_18.39.23",7.069077,43.615328999999996,62.0,4G,LTE,-105.0,-13.0,12.0,9.0,-88,4.0,0.0,181.0,181.0,D,PERIODIC,4P20s
"
2022.09.20_18.39.24",7.069077,43.615328999999996,62.0,4G,LTE,-105.0,-13.0,12.0,9.0,-88,53.0,4.0,181.0,181.0,D,PERIODIC,4P20s
"
2022.09.20_18.39.25",7.069077,43.615328999999996,62.0,4G,LTE,-102.0,-12.0,16.0,11.0,-86,5.0,15.0,181.0,181.0,D,PERIODIC,4P20s
"
2022.09.20_18.39.26",7.069077,43.615328999999996,62.0,4G,LTE,-102.0,-12.0,16.0,12.0,-88,2.0,5.0,181.0,181.0,D,PERIODIC,4P20s
"
2022.09.20_18.39.27",7.069077,43.615328999999996,62.0,4G,LTE,-102.0,-12.0,16.0,11.0,-87,19.0,2.0,181.0,181.0,D,PERIODIC,4P20s
"
2022.09.20_18.39.28",7.069077,43.615328999999996,62.0,4G,LTE,-104.0,-12.0,10.0,11.0,-87,0.0,0.0,181.0,181.0,I,PERIODIC,4P20s
