Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.10.21_18.09.23",7.0674339999999995,43.616087,4G,LTE,-81.0,-9.0,23.0,14.0,-81.0,0.0,0.0,178.0,178.0,I,LOG START,4P21o
"
2022.10.21_18.09.23",7.067369,43.616113,4G,LTE,-81.0,-9.0,23.0,14.0,-81.0,0.0,0.0,177.0,177.0,I,,4P21o
"
2022.10.21_18.09.23",7.067369,43.616113,4G,LTE,-80.0,-6.0,23.0,13.0,-81.0,0.0,0.0,177.0,177.0,I,PERIODIC,4P21o
"
2022.10.21_18.09.24",7.067369,43.616113,4G,LTE,-80.0,-6.0,23.0,13.0,-83.0,4.0,1.0,177.0,177.0,D,PERIODIC,4P21o
"
2022.10.21_18.09.25",7.067369,43.616113,4G,LTE,-77.0,-11.0,13.0,14.0,-77.0,0.0,0.0,177.0,177.0,D,PERIODIC,4P21o
"
2022.10.21_18.09.26",7.067369,43.616113,4G,LTE,-77.0,-11.0,13.0,14.0,-83.0,292.0,129.0,177.0,177.0,D,PERIODIC,4P21o
"
2022.10.21_18.09.27",7.067369,43.616113,4G,LTE,-79.0,-12.0,15.0,13.0,-79.0,174.0,55.0,177.0,177.0,D,PERIODIC,4P21o
"
2022.10.21_18.09.28",7.067369,43.616113,4G,LTE,-79.0,-12.0,15.0,13.0,-85.0,0.0,0.0,177.0,177.0,D,PERIODIC,4P21o
"
2022.10.21_18.09.29",7.067369,43.616113,4G,LTE,-82.0,-11.0,15.0,12.0,-83.0,283.0,53.0,177.0,177.0,D,PERIODIC,4P21o
"
2022.10.21_18.09.30",7.067369,43.616113,4G,LTE,-82.0,-11.0,15.0,12.0,-87.0,10.0,21.0,177.0,177.0,D,PERIODIC,4P21o
"
2022.10.21_18.09.31",7.067369,43.616113,4G,LTE,-82.0,-7.0,17.0,12.0,-83.0,292.0,85.0,177.0,177.0,D,PERIODIC,4P21o
"
2022.10.21_18.09.32",7.067369,43.616113,4G,LTE,-82.0,-7.0,17.0,12.0,-83.0,12.0,12.0,177.0,177.0,D,PERIODIC,4P21o
"
2022.10.21_18.09.33",7.067369,43.616113,4G,LTE,-87.0,-6.0,17.0,13.0,-87.0,0.0,1.0,177.0,177.0,D,PERIODIC,4P21o
"
2022.10.21_18.09.34",7.067238000000001,43.616105,4G,LTE,-87.0,-6.0,17.0,13.0,-87.0,0.0,1.0,175.0,175.0,D,,4P21o
"
2022.10.21_18.09.34",7.067238000000001,43.616105,4G,LTE,-87.0,-6.0,17.0,13.0,-87.0,0.0,0.0,175.0,175.0,D,PERIODIC,4P21o
"
2022.10.21_18.09.35",7.067238000000001,43.616105,4G,LTE,-84.0,-12.0,17.0,12.0,-85.0,0.0,0.0,175.0,175.0,I,PERIODIC,4P21o
"
2022.10.21_18.09.36",7.067238000000001,43.616105,4G,LTE,-84.0,-12.0,17.0,12.0,-89.0,25.0,9.0,175.0,175.0,D,PERIODIC,4P21o
"
2022.10.21_18.09.37",7.067238000000001,43.616105,4G,LTE,-90.0,-12.0,13.0,11.0,-91.0,0.0,0.0,175.0,175.0,D,PERIODIC,4P21o
"
2022.10.21_18.09.38",7.067238000000001,43.616105,4G,LTE,-90.0,-12.0,13.0,11.0,-87.0,0.0,0.0,175.0,175.0,I,PERIODIC,4P21o
