Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.27_14.00.38",7.118453999999999,43.58641,4G,LTE,-77.0,-13.0,0.0,9.0,-60,0.0,0.0,204.0,204.0,I,LOG START,4P27
"
2022.08.27_14.00.38",7.118453999999999,43.58641,4G,LTE,-77.0,-9.0,0.0,9.0,-60,0.0,0.0,204.0,204.0,I,PERIODIC,4P27
"
2022.08.27_14.00.39",7.118453999999999,43.58641,4G,LTE,-77.0,-9.0,0.0,9.0,-60,0.0,0.0,204.0,204.0,I,PERIODIC,4P27
"
2022.08.27_14.00.40",7.118453999999999,43.58641,4G,LTE,-78.0,-9.0,3.0,9.0,-60,0.0,0.0,204.0,204.0,D,PERIODIC,4P27
"
2022.08.27_14.00.42",7.118453999999999,43.58641,4G,LTE,-78.0,-9.0,3.0,9.0,-60,19.0,2.0,204.0,204.0,D,PERIODIC,4P27
"
2022.08.27_14.00.42",7.118453999999999,43.58641,4G,LTE,-77.0,-11.0,-2.0,9.0,-60,0.0,0.0,204.0,204.0,D,PERIODIC,4P27
"
2022.08.27_14.00.43",7.118453999999999,43.58641,4G,LTE,-77.0,-11.0,-2.0,9.0,-60,0.0,0.0,204.0,204.0,I,PERIODIC,4P27
"
2022.08.27_14.00.44",7.118453999999999,43.58641,4G,LTE,-76.0,-12.0,-2.0,9.0,-60,0.0,0.0,204.0,204.0,I,PERIODIC,4P27
"
2022.08.27_14.00.46",7.118453999999999,43.58641,4G,LTE,-76.0,-12.0,-2.0,9.0,-60,0.0,1.0,204.0,204.0,D,PERIODIC,4P27
"
2022.08.27_14.00.47",7.118453999999999,43.58641,4G,LTE,-77.0,-14.0,-1.0,9.0,-60,20.0,2.0,204.0,204.0,D,PERIODIC,4P27
"
2022.08.27_14.00.47",7.118453999999999,43.58641,4G,LTE,-77.0,-14.0,-1.0,11.0,-58,0.0,0.0,204.0,204.0,D,PERIODIC,4P27
"
2022.08.27_14.00.48",7.118453999999999,43.58641,4G,LTE,-77.0,-10.0,-2.0,9.0,-60,0.0,0.0,204.0,204.0,I,PERIODIC,4P27
"
2022.08.27_14.00.49",7.118453999999999,43.58641,4G,LTE,-77.0,-10.0,-2.0,9.0,-60,18.0,13.0,204.0,204.0,D,PERIODIC,4P27
"
2022.08.27_14.00.51",7.118453999999999,43.58641,4G,LTE,-75.0,-9.0,6.0,15.0,-58,19.0,2.0,204.0,204.0,D,PERIODIC,4P27
