Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.29_12.41.31",7.0756179999999995,43.618164,63.0,4G,LTE,-106.0,-12.0,-1.0,10.0,-89,0.0,0.0,204.0,204.0,I,LOG START,4P29
"
2022.08.29_12.41.31",7.0756179999999995,43.618164,63.0,4G,LTE,-106.0,-12.0,-1.0,10.0,-89,0.0,1.0,204.0,204.0,D,PERIODIC,4P29
"
2022.08.29_12.41.32",7.0756179999999995,43.618164,63.0,4G,LTE,-107.0,-11.0,-6.0,9.0,-91,18.0,1.0,204.0,204.0,D,PERIODIC,4P29
"
2022.08.29_12.41.33",7.0756179999999995,43.618164,63.0,4G,LTE,-107.0,-11.0,-6.0,9.0,-88,0.0,0.0,204.0,204.0,I,PERIODIC,4P29
"
2022.08.29_12.41.35",7.0756179999999995,43.618164,63.0,4G,LTE,-105.0,-10.0,-4.0,9.0,-88,0.0,0.0,204.0,204.0,I,PERIODIC,4P29
"
2022.08.29_12.41.36",7.0756179999999995,43.618164,63.0,4G,LTE,-105.0,-10.0,-4.0,9.0,-88,0.0,0.0,204.0,204.0,I,PERIODIC,4P29
"
2022.08.29_12.41.37",7.0756179999999995,43.618164,63.0,4G,LTE,-103.0,-10.0,-6.0,8.0,-86,0.0,0.0,204.0,204.0,D,PERIODIC,4P29
"
2022.08.29_12.41.38",7.0756179999999995,43.618164,63.0,4G,LTE,-103.0,-10.0,-6.0,8.0,-86,0.0,0.0,204.0,204.0,D,PERIODIC,4P29
"
2022.08.29_12.41.38",7.0756179999999995,43.618164,63.0,4G,LTE,-103.0,-9.0,-6.0,8.0,-86,0.0,0.0,204.0,204.0,D,PERIODIC,4P29
"
2022.08.29_12.41.40",7.0756179999999995,43.618164,63.0,4G,LTE,-103.0,-9.0,-6.0,8.0,-88,0.0,0.0,204.0,204.0,I,PERIODIC,4P29
"
2022.08.29_12.41.41",7.0756179999999995,43.618164,63.0,4G,LTE,-105.0,-12.0,-6.0,8.0,-88,0.0,0.0,204.0,204.0,D,PERIODIC,4P29
"
2022.08.29_12.41.42",7.0756179999999995,43.618164,63.0,4G,LTE,-105.0,-12.0,-6.0,8.0,-88,0.0,1.0,204.0,204.0,D,PERIODIC,4P29
"
2022.08.29_12.41.43",7.0756179999999995,43.618164,63.0,4G,LTE,-104.0,-9.0,-5.0,8.0,-88,25.0,2.0,204.0,204.0,D,PERIODIC,4P29
"
2022.08.29_12.41.44",7.0756179999999995,43.618164,63.0,4G,LTE,-104.0,-9.0,-5.0,8.0,-88,11.0,0.0,204.0,204.0,D,PERIODIC,4P29
"
2022.08.29_12.41.45",7.075606,43.618255,63.0,4G,LTE,-103.0,-13.0,-7.0,7.0,-86,11.0,0.0,204.0,204.0,D,PERIODIC,4P29
"
2022.08.29_12.41.46",7.075606,43.618255,63.0,4G,LTE,-103.0,-13.0,-7.0,11.0,-86,0.0,0.0,204.0,204.0,D,PERIODIC,4P29
"
2022.08.29_12.41.46",7.075606,43.618255,63.0,4G,LTE,-102.0,-9.0,1.0,11.0,-86,19.0,3.0,204.0,204.0,D,PERIODIC,4P29
"
2022.08.29_12.41.48",7.075606,43.618255,63.0,4G,LTE,-102.0,-9.0,1.0,9.0,-89,19.0,23.0,204.0,204.0,D,PERIODIC,4P29
"
2022.08.29_12.41.49",7.075606,43.618255,63.0,4G,LTE,-103.0,-8.0,7.0,12.0,-85,0.0,0.0,204.0,204.0,I,PERIODIC,4P29
